%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 18     Instances: 76
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute '9' numeric
@attribute '10' numeric
@attribute '11' numeric
@attribute '12' numeric
@attribute '13' numeric
@attribute '14' numeric
@attribute '15' numeric
@attribute 'y' {' negative'}

@data
34,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,' negative'
35,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,' negative'
36,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,' negative'
37,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,' negative'
38,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,' negative'
39,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,' negative'
40,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,' negative'
41,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,' negative'
42,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,' negative'
43,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,' negative'
44,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,' negative'
45,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,' negative'
46,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,' negative'
47,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,' negative'
48,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,4.0,' negative'
49,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,' negative'
50,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,' negative'
51,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,' negative'
52,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,' negative'
53,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,' negative'
54,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
55,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,' negative'
56,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,' negative'
57,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,' negative'
58,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,4.0,4.0,' negative'
59,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,' negative'
60,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,' negative'
61,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,4.0,' negative'
62,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,' negative'
63,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,4.0,0.0,' negative'
64,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,' negative'
65,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,' negative'
66,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,' negative'
67,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,' negative'
68,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,4.0,4.0,' negative'
69,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,' negative'
70,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,' negative'
71,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,' negative'
72,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,' negative'
73,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,' negative'
74,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,' negative'
75,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,' negative'
