var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,y,fold,train_test
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,4,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0, negative,4,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,4,tra
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0, negative,4,tra
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0, negative,4,tra
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0, negative,4,tra
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0, negative,4,tra
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0, negative,4,tra
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0, negative,4,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,4,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,4,tra
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0, negative,4,tra
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0, negative,4,tra
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1, negative,4,tra
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1, negative,4,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,4,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,4,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1, negative,4,tra
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0, negative,4,tra
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0, negative,4,tra
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0, negative,4,tra
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0, negative,4,tra
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0, negative,4,tra
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1, negative,4,tra
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0, negative,4,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1, negative,4,tra
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0, negative,4,tra
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0, negative,4,tra
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0, negative,4,tra
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0, negative,4,tra
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0, negative,4,tra
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0, negative,4,tra
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,5,tra
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0, negative,5,tra
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0, negative,5,tra
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0, negative,5,tra
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0, negative,5,tra
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1, negative,5,tra
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1, negative,5,tra
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0, negative,5,tra
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0, negative,5,tra
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1, negative,5,tra
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1, negative,5,tra
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0, negative,5,tra
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0, negative,5,tra
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,5,tra
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1, negative,5,tra
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1, negative,5,tra
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0, negative,5,tra
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1, negative,5,tra
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1, negative,5,tra
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,5,tra
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1, negative,5,tra
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0, negative,5,tra
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0, negative,5,tra
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0, negative,5,tra
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0, negative,5,tra
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,5,tra
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0, negative,5,tra
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0, negative,5,tra
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0, negative,5,tra
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0, negative,5,tra
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0, negative,5,tra
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0, negative,5,tra
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0, negative,5,tra
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1, negative,5,tra
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0, negative,5,tra
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0, negative,5,tra
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1, negative,5,tra
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0, negative,5,tra
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0, negative,5,tra
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0, negative,5,tra
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,5,tra
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0, negative,5,tra
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1, negative,5,tra
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0, negative,5,tra
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0, negative,5,tra
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0, negative,5,tra
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0, negative,5,tra
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0, negative,5,tra
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0, negative,5,tra
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0, negative,5,tra
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0, negative,3,tst
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,3,tst
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0, negative,3,tst
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0, negative,3,tst
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0, negative,3,tst
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0, negative,3,tst
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1, negative,3,tst
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1, negative,3,tst
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1, negative,3,tst
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1, negative,3,tst
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0, negative,3,tst
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0, positive,3,tst
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,3,tst
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1, negative,3,tst
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1, negative,3,tst
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0, negative,3,tst
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0, negative,3,tst
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0, negative,3,tst
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0, negative,3,tst
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0, negative,3,tst
