var0,var1,var2,var3,var4,var5,var6,var7,y,fold,train_test
I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455, negative,4,tst
M,0.465,0.355,0.12,0.5315,0.2725,0.09699999999999999,0.1395, negative,4,tst
M,0.57,0.45,0.14,0.9275,0.47700000000000004,0.1605,0.2515, negative,4,tst
I,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055, negative,4,tst
I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525, negative,4,tst
I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925, negative,4,tst
I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075, negative,4,tst
M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415, negative,4,tst
I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185, negative,4,tst
I,0.485,0.375,0.11,0.46399999999999997,0.2015,0.09,0.149, negative,4,tst
M,0.55,0.385,0.13,0.7275,0.34299999999999997,0.1625,0.19, negative,4,tst
I,0.56,0.42,0.14,0.8370000000000001,0.414,0.214,0.2, negative,4,tst
I,0.5,0.385,0.12,0.516,0.19699999999999998,0.1305,0.165, negative,4,tst
M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146, negative,4,tst
I,0.45,0.355,0.11,0.4585,0.19399999999999998,0.067,0.14, negative,4,tst
F,0.37,0.275,0.1,0.2225,0.09300000000000001,0.026000000000000002,0.08, negative,4,tst
M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495, negative,4,tst
M,0.51,0.405,0.15,0.7035,0.34700000000000003,0.134,0.1885, negative,4,tst
M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.20600000000000002, negative,4,tst
F,0.455,0.355,1.13,0.594,0.332,0.11599999999999999,0.1335, negative,4,tst
M,0.39,0.285,0.095,0.271,0.11,0.06,0.08, negative,4,tst
M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135, negative,4,tst
I,0.47,0.375,0.125,0.5225,0.2265,0.10400000000000001,0.162, negative,4,tst
I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14, negative,4,tst
M,0.505,0.39,0.115,0.5585,0.2575,0.11900000000000001,0.1535, negative,4,tst
I,0.35,0.26,0.095,0.221,0.0985,0.043,0.07, negative,4,tst
M,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58, positive,4,tst
M,0.64,0.51,0.175,1.368,0.515,0.266,0.57, positive,4,tst
F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39, positive,4,tst
F,0.56,0.455,0.125,0.943,0.344,0.129,0.375, positive,4,tst
M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58, positive,4,tst
I,0.53,0.415,0.145,0.9440000000000001,0.3845,0.185,0.265, positive,4,tst
F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205, positive,4,tst
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445, positive,4,tst
F,0.68,0.55,0.2,1.5959999999999999,0.525,0.4075,0.585, positive,4,tst
M,0.67,0.55,0.17,1.247,0.47200000000000003,0.2455,0.4, positive,4,tst
F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725, positive,4,tst
M,0.64,0.51,0.175,1.368,0.515,0.266,0.57, positive,2,tst
F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205, positive,2,tst
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445, positive,2,tst
M,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125, negative,2,tst
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145, negative,2,tst
M,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135, negative,2,tst
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145, negative,2,tst
I,0.385,0.29,0.085,0.2505,0.11199999999999999,0.061,0.08, negative,2,tst
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04, negative,2,tst
M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905, negative,2,tst
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24, negative,2,tst
M,0.355,0.265,0.09,0.168,0.05,0.040999999999999995,0.063, negative,2,tst
M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085, negative,2,tst
M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225, negative,2,tst
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14, negative,2,tst
F,0.47,0.365,0.12,0.5820000000000001,0.29,0.092,0.146, negative,2,tst
M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695, negative,2,tst
I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185, negative,2,tst
F,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23, negative,2,tst
F,0.57,0.455,0.15,1.107,0.54,0.255,0.27, negative,2,tst
M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24, negative,2,tst
I,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998, negative,2,tst
I,0.53,0.4,0.125,0.617,0.27899999999999997,0.127,0.19, negative,2,tst
M,0.665,0.525,0.16,1.3630000000000002,0.629,0.27899999999999997,0.34, negative,2,tst
I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065, negative,2,tst
I,0.455,0.33,0.1,0.37200000000000005,0.358,0.0775,0.11, negative,2,tst
I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495, negative,2,tst
I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18, negative,2,tst
M,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.21899999999999997, negative,2,tst
M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237, negative,2,tst
I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855, negative,2,tst
M,0.53,0.4,0.125,0.7575,0.39799999999999996,0.151,0.175, negative,2,tst
M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25, negative,2,tst
I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.16899999999999998, negative,2,tst
I,0.545,0.375,0.12,0.5429999999999999,0.2375,0.1155,0.1725, negative,2,tst
F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21, negative,2,tst
F,0.58,0.435,0.15,0.8340000000000001,0.428,0.1515,0.23, negative,2,tst
F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265, negative,2,tst
I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235, negative,2,tst
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27, negative,2,tst
I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253, negative,2,tst
I,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12, negative,2,tst
I,0.435,0.33,0.105,0.335,0.156,0.0555,0.105, negative,2,tst
I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147, negative,2,tst
I,0.495,0.375,0.14,0.494,0.18100000000000002,0.0975,0.191, negative,2,tst
F,0.61,0.46,0.155,0.9570000000000001,0.4255,0.1975,0.265, negative,2,tst
I,0.445,0.32,0.12,0.37799999999999995,0.152,0.0825,0.12, negative,2,tst
M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132, negative,2,tst
F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175, negative,2,tst
M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115, negative,2,tst
F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935, negative,2,tst
F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155, negative,2,tst
M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135, negative,2,tst
I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065, negative,2,tst
I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163, negative,2,tst
F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135, negative,2,tst
M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195, negative,2,tst
F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248, negative,2,tst
I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.16699999999999998, negative,2,tst
I,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105, negative,2,tst
M,0.59,0.47,0.15,0.861,0.413,0.16399999999999998,0.249, negative,2,tst
F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565, negative,2,tst
M,0.63,0.465,0.15,1.0270000000000001,0.537,0.188,0.17600000000000002, negative,2,tst
I,0.41,0.325,0.11,0.326,0.1325,0.075,0.10099999999999999, negative,2,tst
I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1, negative,2,tst
I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805, negative,2,tst
I,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2, negative,2,tst
M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28, negative,2,tst
F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131, negative,2,tst
I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17, negative,2,tst
I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204, negative,2,tst
I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16, negative,2,tst
I,0.53,0.38,0.125,0.616,0.292,0.113,0.185, negative,2,tst
I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455, negative,2,tst
I,0.59,0.47,0.145,0.9740000000000001,0.45299999999999996,0.23600000000000002,0.289, negative,2,tst
I,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895, negative,2,tst
I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.10300000000000001, negative,2,tst
M,0.51,0.415,0.145,0.7509999999999999,0.3295,0.1835,0.203, negative,2,tst
I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034, negative,2,tst
F,0.51,0.385,0.135,0.632,0.282,0.145,0.17, negative,2,tst
I,0.455,0.375,0.125,0.5329999999999999,0.233,0.106,0.185, negative,2,tst
I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535, negative,2,tst
M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27, negative,2,tst
M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23, negative,2,tst
M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23, negative,2,tst
M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225, negative,2,tst
M,0.6,0.41,0.145,0.9390000000000001,0.4475,0.196,0.268, negative,2,tst
I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11, negative,2,tst
I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126, negative,2,tst
I,0.575,0.44,0.15,0.983,0.486,0.215,0.239, negative,2,tst
M,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445, negative,2,tst
F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315, negative,2,tst
F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325, negative,2,tst
I,0.525,0.4,0.125,0.5655,0.2435,0.11900000000000001,0.175, negative,2,tst
I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965, negative,2,tst
M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135, negative,2,tst
I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555, negative,2,tst
F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255, negative,2,tst
F,0.58,0.46,0.135,0.9259999999999999,0.4025,0.20800000000000002,0.275, negative,2,tst
I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615, negative,2,tst
M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139, negative,2,tst
M,0.475,0.36,0.14,0.5135,0.24100000000000002,0.1045,0.155, negative,2,tst
F,0.52,0.405,0.115,0.7759999999999999,0.32,0.1845,0.22, negative,2,tst
F,0.36,0.265,0.09,0.2065,0.078,0.057,0.06, negative,2,tst
M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239, negative,2,tst
I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182, negative,2,tst
M,0.63,0.47,0.155,1.1325,0.589,0.21100000000000002,0.287, negative,2,tst
I,0.56,0.44,0.13,0.7235,0.349,0.149,0.2, negative,2,tst
I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304, negative,2,tst
I,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228, negative,2,tst
I,0.47,0.375,0.12,0.48700000000000004,0.196,0.099,0.135, negative,2,tst
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185, negative,2,tst
I,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068, negative,2,tst
I,0.405,0.31,0.11,0.91,0.41600000000000004,0.2075,0.0995, negative,2,tst
I,0.5,0.375,0.12,0.529,0.2235,0.12300000000000001,0.16, negative,2,tst
M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23, negative,2,tst
M,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58, positive,2,tst
F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39, positive,2,tst
F,0.56,0.455,0.125,0.943,0.344,0.129,0.375, positive,2,tst
M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58, positive,2,tst
I,0.53,0.415,0.145,0.9440000000000001,0.3845,0.185,0.265, positive,2,tst
M,0.49,0.39,0.15,0.573,0.225,0.124,0.17, positive,2,tst
F,0.68,0.55,0.2,1.5959999999999999,0.525,0.4075,0.585, positive,2,tst
M,0.67,0.55,0.17,1.247,0.47200000000000003,0.2455,0.4, positive,2,tst
F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725, positive,2,tst
F,0.67,0.535,0.185,1.597,0.6275,0.35,0.47, positive,2,tst
M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465, positive,2,tst
M,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125, negative,3,tra
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145, negative,3,tra
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22, negative,3,tra
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135, negative,3,tra
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17, negative,3,tra
M,0.52,0.4,0.12,0.58,0.23399999999999999,0.1315,0.185, negative,3,tra
M,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135, negative,3,tra
F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1, negative,3,tra
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145, negative,3,tra
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085, negative,3,tra
I,0.385,0.29,0.085,0.2505,0.11199999999999999,0.061,0.08, negative,3,tra
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355, negative,3,tra
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285, negative,3,tra
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05, negative,3,tra
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15, negative,3,tra
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12, negative,3,tra
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12, negative,3,tra
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135, negative,3,tra
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105, negative,3,tra
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04, negative,3,tra
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06, negative,3,tra
M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905, negative,3,tra
M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.07400000000000001, negative,3,tra
M,0.36,0.295,0.105,0.24100000000000002,0.0865,0.053,0.095, negative,3,tra
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09, negative,3,tra
F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095, negative,3,tra
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24, negative,3,tra
F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245, negative,3,tra
M,0.47,0.38,0.145,0.5865,0.2385,0.14400000000000002,0.185, negative,3,tra
M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15, negative,3,tra
M,0.57,0.44,0.095,0.8270000000000001,0.3395,0.2215,0.235, negative,3,tra
I,0.29,0.225,0.07,0.10099999999999999,0.036000000000000004,0.0235,0.035, negative,3,tra
I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07, negative,3,tra
M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.11699999999999999, negative,3,tra
M,0.255,0.195,0.065,0.08,0.0315,0.018000000000000002,0.027000000000000003, negative,3,tra
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09, negative,3,tra
M,0.355,0.265,0.09,0.168,0.05,0.040999999999999995,0.063, negative,3,tra
M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695, negative,3,tra
M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085, negative,3,tra
I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405, negative,3,tra
F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175, negative,3,tra
M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775, negative,3,tra
M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225, negative,3,tra
F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321, negative,3,tra
I,0.315,0.23,0.07,0.14400000000000002,0.053,0.0305,0.04, negative,3,tra
I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125, negative,3,tra
I,0.45,0.355,0.105,0.4445,0.19699999999999998,0.09300000000000001,0.1335, negative,3,tra
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14, negative,3,tra
F,0.47,0.365,0.12,0.5820000000000001,0.29,0.092,0.146, negative,3,tra
M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695, negative,3,tra
I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185, negative,3,tra
M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19, negative,3,tra
M,0.51,0.41,0.145,0.7959999999999999,0.3865,0.1815,0.1955, negative,3,tra
F,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23, negative,3,tra
F,0.525,0.415,0.14,0.7240000000000001,0.3475,0.17300000000000001,0.175, negative,3,tra
F,0.53,0.425,0.15,0.8495,0.32799999999999996,0.23199999999999998,0.20199999999999999, negative,3,tra
F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205, negative,3,tra
M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155, negative,3,tra
M,0.535,0.435,0.14,0.8740000000000001,0.3735,0.22899999999999998,0.2195, negative,3,tra
F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18, negative,3,tra
F,0.57,0.455,0.15,1.107,0.54,0.255,0.27, negative,3,tra
M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24, negative,3,tra
F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276, negative,3,tra
F,0.58,0.45,0.145,1.137,0.5585,0.22,0.29, negative,3,tra
M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309, negative,3,tra
F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33, negative,3,tra
M,0.63,0.485,0.155,1.278,0.637,0.275,0.31, negative,3,tra
M,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4, negative,3,tra
F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336, negative,3,tra
I,0.445,0.335,0.11,0.41100000000000003,0.1985,0.0935,0.109, negative,3,tra
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665, negative,3,tra
I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134, negative,3,tra
I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15, negative,3,tra
I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157, negative,3,tra
I,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998, negative,3,tra
I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405, negative,3,tra
I,0.53,0.4,0.125,0.617,0.27899999999999997,0.127,0.19, negative,3,tra
F,0.55,0.415,0.135,0.8145,0.42700000000000005,0.1855,0.175, negative,3,tra
F,0.55,0.43,0.15,0.84,0.395,0.195,0.223, negative,3,tra
M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215, negative,3,tra
