var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,y,fold,train_test
X, O,1,2,1,2,2,1,0,0,0, negative,2,tst
X, I,1,3,1,1,2,1,0,0,0, negative,2,tst
S, X,1,3,1,2,2,1,0,0,0, negative,2,tst
R, O,1,3,1,1,2,1,0,0,0, negative,2,tst
A, X,1,2,1,2,2,1,0,0,0, negative,2,tst
S, X,1,3,1,1,1,1,0,0,0, negative,2,tst
X, O,1,3,1,1,2,1,0,0,0, negative,2,tst
A, I,2,3,1,1,2,1,3,0,0, negative,2,tst
A, O,1,3,1,2,2,1,0,0,0, negative,2,tst
S, X,1,2,1,2,1,1,0,0,0, negative,2,tst
S, X,1,2,1,1,2,1,0,0,0, negative,2,tst
S, O,1,3,1,1,2,1,0,0,0, negative,2,tst
S, X,1,3,1,2,1,1,0,0,0, negative,2,tst
R, O,1,3,1,1,2,1,0,0,0, negative,2,tst
K, I,1,3,1,2,2,2,0,0,0, negative,2,tst
A, I,1,2,1,2,2,1,3,0,0, negative,2,tst
S, O,1,3,1,1,2,1,2,1,0, negative,2,tst
K, C,2,2,1,2,2,1,4,0,0, positive,2,tst
A, C,2,3,1,2,2,2,2,0,0, positive,2,tst
A, I,2,2,1,2,2,1,2,0,0, positive,2,tst
A, C,2,2,1,2,2,1,1,0,0, positive,2,tst
K, C,2,3,3,2,2,2,1,0,0, positive,2,tst
K, I,2,3,1,2,2,2,3,0,0, positive,2,tst
K, I,2,2,3,2,2,1,0,0,0, positive,2,tst
S, O,1,1,1,2,2,1,0,0,0, positive,2,tst
A, I,2,2,1,2,2,1,0,0,0, positive,2,tst
A, I,1,1,1,2,2,1,0,0,0, positive,2,tst
H, O,1,2,1,1,2,1,0,0,0, positive,2,tst
S, I,1,3,1,2,2,1,2,0,0, positive,2,tst
S, I,1,3,1,2,2,1,1,0,0, positive,2,tst
H, O,1,3,1,2,2,1,0,0,0, positive,2,tst
K, I,1,2,1,2,2,1,4,0,0, positive,2,tst
A, I,2,3,1,2,2,2,1,1,0, positive,2,tst
A, I,2,3,1,2,2,1,0,0,0, positive,2,tst
A, I,2,2,1,2,2,1,1,0,0, positive,2,tst
A, I,1,3,1,1,2,1,0,0,0, positive,2,tst
K, C,1,2,1,2,2,2,0,1,1, positive,2,tst
K, C,1,3,1,2,2,2,0,0,0, positive,2,tst
K, I,1,2,1,2,2,2,0,0,0, positive,2,tst
S, I,2,2,1,2,2,1,2,0,0, positive,2,tst
A, I,2,2,1,2,2,1,0,0,0, positive,2,tst
A, I,1,2,1,2,2,1,0,0,0, positive,2,tst
A, I,1,2,1,2,2,2,1,0,0, positive,2,tst
K, C,2,3,1,2,2,2,0,0,0, positive,2,tst
A, I,2,2,1,2,2,1,1,0,1, positive,2,tst
A, I,2,2,1,2,2,1,3,0,0, positive,2,tst
S, O,2,2,1,1,2,1,0,0,0, positive,2,tst
H, O,1,2,1,2,2,1,1,0,0, positive,2,tst
K, I,1,2,1,2,2,1,1,0,0, positive,2,tst
A, I,2,2,3,2,2,1,0,0,0, positive,2,tst
S, I,1,3,1,2,2,1,0,0,0, positive,2,tst
S, O,1,3,1,1,2,1,0,0,0, negative,5,tst
A, O,1,2,1,1,2,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, O,2,2,1,1,2,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
X, O,1,2,1,1,2,1,0,0,0, negative,5,tst
X, O,1,2,1,1,2,1,0,0,0, negative,5,tst
X, O,2,2,1,2,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,5,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, O,2,3,1,2,2,1,5,0,0, negative,5,tst
A, I,2,3,1,2,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,1,1,0, negative,5,tst
S, O,1,3,1,2,2,1,0,0,0, negative,5,tst
S, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, O,1,2,1,1,2,1,0,0,0, negative,5,tst
R, O,1,2,1,1,2,1,0,0,0, negative,5,tst
A, X,1,2,1,2,2,1,0,0,0, negative,5,tst
S, I,2,2,1,2,2,1,0,0,0, negative,5,tst
X, O,1,2,1,1,2,1,0,0,0, negative,5,tst
X, O,1,1,1,1,2,1,0,0,0, negative,5,tst
A, C,2,3,1,2,2,2,2,0,0, positive,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,1,1,2,2,1,1,0,0, negative,5,tst
X, O,1,2,1,1,2,1,0,0,0, negative,5,tst
A, C,2,2,1,2,2,1,1,0,0, positive,5,tst
S, O,1,3,1,1,2,1,1,0,0, negative,5,tst
A, O,1,3,1,1,2,1,2,0,0, negative,5,tst
S, O,1,1,1,2,2,1,0,0,0, negative,5,tst
A, I,1,2,1,2,2,1,0,0,0, negative,5,tst
A, O,1,3,1,1,2,1,0,0,0, negative,5,tst
H, X,1,2,1,1,1,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
H, X,1,3,1,1,1,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
A, I,1,3,1,2,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,0,0, negative,5,tst
K, C,2,3,3,2,2,2,1,0,0, positive,5,tst
A, O,2,2,1,2,2,1,1,0,0, negative,5,tst
A, O,2,2,1,2,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,2,1,0,0,0, negative,5,tst
S, X,1,1,1,1,2,1,0,0,0, negative,5,tst
A, O,2,3,1,1,2,1,0,0,0, negative,5,tst
A, O,1,2,1,1,2,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,1,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,0,0, negative,5,tst
R, I,2,2,1,2,2,1,0,0,0, negative,5,tst
R, O,1,1,1,2,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,2,1,0,0,0, negative,5,tst
S, I,1,3,1,1,2,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
R, O,1,2,1,2,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
A, X,1,2,1,2,2,1,0,1,0, negative,5,tst
S, X,1,3,1,2,2,1,0,0,0, negative,5,tst
R, I,1,2,1,2,2,1,0,0,0, negative,5,tst
R, O,1,2,1,1,2,1,0,0,0, negative,5,tst
S, O,1,2,1,1,2,1,1,0,0, negative,5,tst
R, O,1,2,1,2,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
R, O,1,2,1,2,2,1,0,0,0, negative,5,tst
A, O,1,2,1,2,2,1,0,0,0, negative,5,tst
X, O,2,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,3,1,2,2,1,0,0,0, negative,5,tst
X, O,1,2,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,1,0, negative,5,tst
K, I,1,3,1,2,2,1,4,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
A, I,1,3,1,1,2,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
X, O,1,2,1,1,2,1,0,0,0, negative,5,tst
A, I,1,2,1,2,2,1,0,0,0, negative,5,tst
S, O,1,2,1,2,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
R, I,1,3,1,2,2,1,0,0,0, negative,5,tst
A, I,1,3,1,2,2,1,0,0,0, negative,5,tst
R, O,1,1,1,2,2,1,0,0,0, negative,5,tst
R, X,1,2,1,1,1,1,0,0,0, negative,5,tst
A, O,1,2,1,2,2,1,1,0,0, negative,5,tst
A, C,1,2,1,2,2,1,0,0,0, negative,5,tst
R, X,1,3,1,1,1,1,0,0,0, negative,5,tst
A, I,1,3,1,2,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,1,0,0, negative,5,tst
A, O,1,2,1,2,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,1,1,0,0,0, negative,5,tst
S, X,1,2,1,2,2,1,0,0,0, negative,5,tst
S, I,2,2,1,2,2,1,0,0,0, negative,5,tst
A, I,2,2,1,2,2,1,1,0,0, negative,5,tst
S, O,1,2,1,1,2,1,0,0,0, negative,5,tst
S, X,1,3,1,1,2,1,1,0,0, negative,5,tst
S, O,1,3,1,1,2,1,0,0,0, negative,5,tst
A, I,2,2,1,2,2,1,1,0,0, negative,5,tst
R, X,1,3,1,1,1,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, O,1,3,1,1,2,1,0,0,0, negative,5,tst
A, I,2,3,1,2,2,1,0,0,0, negative,5,tst
K, X,1,3,1,1,1,1,0,0,0, negative,5,tst
A, I,1,2,1,2,2,1,1,0,0, negative,5,tst
K, I,2,2,1,2,2,1,2,0,0, negative,5,tst
H, O,1,3,1,2,2,1,0,0,0, positive,5,tst
R, X,1,1,1,2,2,1,0,0,0, negative,5,tst
S, X,1,3,1,1,1,1,0,0,0, negative,5,tst
A, I,2,3,1,2,2,1,0,0,0, positive,5,tst
S, X,1,3,1,2,2,1,0,0,0, negative,5,tst
H, O,2,2,2,2,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,2,1,0,0,0, negative,5,tst
S, O,1,1,1,2,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,1,1,0,0,0, negative,5,tst
S, X,1,3,1,2,1,1,0,0,0, negative,5,tst
A, X,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,1,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
R, X,1,1,1,1,2,1,1,0,0, negative,5,tst
S, I,1,3,1,1,2,1,1,0,0, negative,5,tst
S, O,1,2,1,1,2,1,0,0,0, negative,5,tst
X, O,2,2,1,1,2,1,0,0,0, negative,5,tst
R, X,1,2,1,1,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, O,2,2,1,1,2,1,0,0,0, negative,5,tst
A, X,1,2,1,2,2,1,0,0,0, negative,5,tst
H, X,1,2,1,1,2,1,0,0,0, negative,5,tst
R, O,1,2,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,2,1,0,0,0, negative,5,tst
S, O,2,2,1,1,2,1,0,0,0, negative,5,tst
S, O,2,3,1,1,2,1,0,0,0, negative,5,tst
X, O,2,3,1,1,2,1,0,0,0, negative,5,tst
A, X,1,3,1,1,1,1,0,0,0, negative,5,tst
A, X,1,2,1,1,1,1,0,0,0, negative,5,tst
A, I,1,3,1,1,2,1,0,1,0, negative,5,tst
A, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,0,0, negative,5,tst
A, I,1,3,1,2,2,1,0,1,0, negative,5,tst
A, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,3,1,1,1,1,2,0,0, negative,5,tst
S, O,1,3,1,1,2,1,3,0,0, negative,5,tst
K, I,2,3,1,2,2,1,2,0,0, negative,5,tst
R, O,1,2,1,1,2,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,2,1,0,0,0, negative,5,tst
S, X,1,1,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,1,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,2,1,0,0,0, negative,5,tst
S, X,1,3,1,1,2,1,0,0,0, negative,5,tst
X, O,1,1,1,1,2,1,0,0,0, negative,5,tst
A, O,1,2,1,2,2,1,0,1,0, negative,5,tst
S, O,1,1,1,2,2,1,0,0,0, negative,5,tst
S, I,1,3,1,1,2,1,0,0,0, negative,5,tst
K, I,1,2,1,2,2,1,1,0,0, negative,5,tst
A, I,1,2,1,2,2,1,1,0,0, negative,5,tst
S, X,1,3,1,1,1,1,0,0,0, negative,5,tst
S, X,2,2,1,2,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,0,0, negative,5,tst
R, X,1,3,1,1,2,1,0,0,0, negative,5,tst
S, I,2,2,1,2,2,1,2,0,0, positive,5,tst
S, O,1,3,1,2,2,1,0,0,0, negative,5,tst
A, X,1,3,1,1,1,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,0,0, negative,5,tst
H, O,1,3,1,2,2,1,0,0,0, negative,5,tst
S, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,1,1,2,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,0,0, negative,5,tst
H, O,1,3,1,2,2,1,0,0,0, negative,5,tst
A, I,2,2,1,2,2,1,0,0,0, negative,5,tst
S, X,1,2,1,1,1,1,0,0,0, negative,5,tst
S, X,2,2,1,1,2,1,0,0,0, negative,5,tst
X, O,1,1,1,1,2,1,0,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
A, I,1,2,1,2,2,2,1,0,0, positive,5,tst
A, I,1,2,1,2,2,1,1,0,0, negative,5,tst
S, X,2,2,1,1,1,1,0,0,0, negative,5,tst
S, X,1,1,1,1,2,1,0,0,0, negative,5,tst
S, O,1,2,1,2,2,1,0,0,0, negative,5,tst
R, O,1,1,1,1,2,1,0,0,0, negative,5,tst
S, X,1,3,1,1,2,1,0,0,0, negative,5,tst
R, X,1,3,1,1,2,1,0,0,0, negative,5,tst
R, O,1,2,1,2,2,1,0,0,0, negative,5,tst
A, X,1,2,1,2,2,1,0,0,0, negative,5,tst
R, O,1,2,1,1,2,1,1,0,0, negative,5,tst
S, X,1,3,1,1,2,1,0,0,0, negative,5,tst
A, O,1,1,1,2,2,1,0,0,0, negative,5,tst
R, O,2,2,1,1,2,1,0,0,0, negative,5,tst
R, I,1,3,1,2,2,1,0,0,0, negative,5,tst
A, X,1,2,1,1,1,1,0,0,0, negative,5,tst
A, I,2,2,1,2,2,1,3,0,0, negative,5,tst
R, O,1,3,1,1,2,1,0,0,0, negative,5,tst
S, X,2,2,1,1,1,1,1,0,0, negative,5,tst
S, O,2,2,3,2,2,1,0,0,0, negative,5,tst
H, O,1,2,1,2,2,1,1,0,0, positive,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
A, O,1,2,1,2,2,1,0,0,0, negative,5,tst
S, X,1,3,1,1,2,1,0,0,0, negative,5,tst
A, I,1,3,1,2,2,1,2,0,0, negative,5,tst
S, O,2,2,3,2,2,1,0,0,0, negative,5,tst
S, O,2,2,2,1,2,1,0,0,0, negative,5,tst
S, X,1,2,1,2,2,1,0,0,0, negative,5,tst
R, X,1,2,1,1,2,1,0,0,0, negative,5,tst
K, I,1,3,1,2,2,1,1,0,0, negative,5,tst
A, I,1,2,1,2,2,1,0,0,0, negative,5,tst
X, O,1,3,1,1,2,1,0,0,0, negative,5,tst
K, C,2,3,3,2,2,2,0,5,1, negative,5,tst
X, I,1,2,1,1,2,1,0,0,0, negative,5,tst
S, O,1,3,1,2,2,1,0,0,0, negative,5,tst
K, C,2,3,1,2,2,2,0,0,0, positive,5,tst
K, C,2,2,1,2,2,1,4,0,0, positive,5,tst
A, I,2,2,1,2,2,1,2,0,0, positive,5,tst
