fingerprint,minutia,x,y,angle
B105X2I_1_1,v7,605,471,319.0
B105X2I_1_1,v8,660,501,317.0
B105X2I_1_1,v9,585,521,310.0
B105X2I_1_1,v10,666,442,309.0
B105X2I_1_1,v11,771,411,238.0
B105X2I_1_1,v12,743,429,231.0
B105X2I_1_1,v13,731,436,210.0
B105X2I_1_1,v14,765,481,203.0
B105X2I_1_1,v15,735,529,182.0
B105X2I_1_1,v16,719,486,175.0
B105X2I_1_1,v17,717,357,122.0
B105X2I_1_1,v18,705,383,119.0
B106X8I_1_1,v0,454,437,87.0
B106X8I_1_1,v1,460,398,83.0
B106X8I_1_1,v2,472,407,78.0
B106X8I_1_1,v3,468,380,60.0
B106X8I_1_1,v4,430,327,315.0
B106X8I_1_1,v5,364,347,304.0
B106X8I_1_1,v6,380,431,297.0
B106X8I_1_1,v7,484,326,207.0
B106X8I_1_1,v8,361,454,132.0
B106X8I_1_1,v9,421,299,131.0
B106X8I_1_1,v10,440,350,128.0
B106X8I_1_1,v11,458,360,129.0
B106X8I_1_1,v12,450,378,102.0
B106X8I_1_1,v13,428,449,105.0
B106X8I_1_1,v14,434,472,103.0
B106X8I_1_1,v15,440,414,103.0
B106X8I_1_1,v16,441,482,92.0
B107X9I_1_1,v0,392,405,88.0
B107X9I_1_1,v1,540,308,80.0
B107X9I_1_1,v2,403,390,80.0
B107X9I_1_1,v3,485,224,9.0
B107X9I_1_1,v4,412,460,356.0
B107X9I_1_1,v5,484,504,345.0
B107X9I_1_1,v6,461,286,325.0
B107X9I_1_1,v7,478,452,322.0
B107X9I_1_1,v8,443,278,312.0
B107X9I_1_1,v9,521,466,289.0
B107X9I_1_1,v10,517,392,284.0
B107X9I_1_1,v11,414,422,236.0
B107X9I_1_1,v12,499,234,176.0
B107X9I_1_1,v13,436,443,175.0
B107X9I_1_1,v14,456,411,153.0
B107X9I_1_1,v15,493,447,142.0
B107X9I_1_1,v16,455,254,141.0
B107X9I_1_1,v17,490,436,138.0
B107X9I_1_1,v18,527,440,116.0
B107X9I_1_1,v19,497,344,113.0
B107X9I_1_1,v20,382,403,112.0
B107X9I_1_1,v21,502,361,104.0
B107X9I_1_1,v22,442,338,98.0
B107X9I_1_1,v23,517,324,90.0
B108X6I_1_1,v0,460,340,51.0
B108X6I_1_1,v1,414,646,5.0
B108X6I_1_1,v2,478,628,5.0
B108X6I_1_1,v3,394,613,353.0
B108X6I_1_1,v4,453,611,351.0
B108X6I_1_1,v5,443,582,337.0
B108X6I_1_1,v6,468,526,331.0
B108X6I_1_1,v7,435,570,322.0
B108X6I_1_1,v8,412,575,321.0
B108X6I_1_1,v9,414,547,317.0
B108X6I_1_1,v10,450,527,320.0
B108X6I_1_1,v11,395,538,310.0
B108X6I_1_1,v12,497,547,168.0
B108X6I_1_1,v13,407,545,148.0
B108X6I_1_1,v14,445,374,92.0
B108X6I_1_1,v15,470,456,95.0
B108X6I_1_1,v16,452,404,90.0
B108X6I_1_1,v17,409,395,94.0
B109X4I_1_1,v0,461,407,53.0
B109X4I_1_1,v1,416,415,17.0
B109X4I_1_1,v2,401,528,12.0
B109X4I_1_1,v3,353,499,354.0
B109X4I_1_1,v4,370,477,348.0
B109X4I_1_1,v5,392,458,342.0
B109X4I_1_1,v6,330,480,333.0
B109X4I_1_1,v7,333,450,317.0
B109X4I_1_1,v8,373,462,315.0
B109X4I_1_1,v9,361,459,309.0
B109X4I_1_1,v10,405,416,302.0
B109X4I_1_1,v11,336,410,295.0
B109X4I_1_1,v12,319,284,297.0
B109X4I_1_1,v13,392,423,288.0
B109X4I_1_1,v14,340,324,291.0
B109X4I_1_1,v15,380,385,289.0
B109X4I_1_1,v16,407,397,275.0
B109X4I_1_1,v17,466,422,238.0
B109X4I_1_1,v18,444,407,235.0
B109X4I_1_1,v19,488,438,223.0
B109X4I_1_1,v20,454,456,200.0
B109X4I_1_1,v21,324,348,117.0
B109X4I_1_1,v22,390,349,106.0
B109X4I_1_1,v23,424,358,99.0
B110X6I_1_1,v0,405,503,346.0
B110X6I_1_1,v1,363,491,338.0
B110X6I_1_1,v2,365,476,329.0
B110X6I_1_1,v3,410,491,330.0
B110X6I_1_1,v4,435,181,324.0
B110X6I_1_1,v5,451,473,314.0
B110X6I_1_1,v6,366,457,300.0
B110X6I_1_1,v7,386,193,300.0
B110X6I_1_1,v8,428,451,295.0
B110X6I_1_1,v9,281,284,294.0
B110X6I_1_1,v10,376,261,296.0
B110X6I_1_1,v11,416,449,295.0
B110X6I_1_1,v12,419,375,288.0
B110X6I_1_1,v13,468,354,287.0
B110X6I_1_1,v14,400,428,289.0
B110X6I_1_1,v15,471,407,285.0
B110X6I_1_1,v16,323,391,285.0
B110X6I_1_1,v17,418,349,286.0
B110X6I_1_1,v18,262,276,135.0
B110X6I_1_1,v19,317,266,113.0
B110X6I_1_1,v20,434,425,114.0
B110X6I_1_1,v21,380,179,115.0
B110X6I_1_1,v22,484,405,117.0
B110X6I_1_1,v23,312,307,117.0
B110X6I_1_1,v24,334,353,107.0
B110X6I_1_1,v25,482,336,108.0
B110X6I_1_1,v26,554,369,103.0
B110X6I_1_1,v27,303,362,105.0
B110X6I_1_1,v28,497,316,101.0
B110X6I_1_1,v29,447,367,101.0
B110X6I_1_1,v30,499,340,94.0
B111X7I_1_1,v0,403,482,86.0
B111X7I_1_1,v1,431,494,57.0
B111X7I_1_1,v2,421,463,59.0
B111X7I_1_1,v3,490,429,46.0
B111X7I_1_1,v4,500,323,44.0
B111X7I_1_1,v5,396,412,45.0
B111X7I_1_1,v6,421,395,42.0
B111X7I_1_1,v7,444,377,30.0
B111X7I_1_1,v8,429,338,19.0
B111X7I_1_1,v9,336,362,349.0
B111X7I_1_1,v10,474,372,209.0
B111X7I_1_1,v11,452,271,198.0
B111X7I_1_1,v12,375,353,168.0
B111X7I_1_1,v13,305,280,151.0
B111X7I_1_1,v14,299,337,143.0
B111X7I_1_1,v15,423,510,117.0
B112X2I_1_1,v0,342,486,86.0
B112X2I_1_1,v1,444,409,67.0
B112X2I_1_1,v2,401,298,15.0
B112X2I_1_1,v3,389,358,9.0
B112X2I_1_1,v4,372,253,356.0
B112X2I_1_1,v5,416,498,276.0
B112X2I_1_1,v6,305,573,242.0
B112X2I_1_1,v7,321,578,235.0
B112X2I_1_1,v8,447,391,223.0
B112X2I_1_1,v9,401,385,167.0
B112X2I_1_1,v10,379,299,157.0
B112X2I_1_1,v11,344,281,144.0
B112X2I_1_1,v12,411,428,130.0
B112X2I_1_1,v13,424,515,119.0
B112X2I_1_1,v14,327,447,98.0
B114X3I_1_1,v0,489,364,78.0
B114X3I_1_1,v1,498,335,78.0
B114X3I_1_1,v2,494,379,59.0
B114X3I_1_1,v3,478,434,325.0
B114X3I_1_1,v4,504,290,317.0
B114X3I_1_1,v5,457,438,317.0
B114X3I_1_1,v6,461,416,309.0
B114X3I_1_1,v7,469,426,307.0
B114X3I_1_1,v8,388,346,293.0
B114X3I_1_1,v9,417,351,289.0
B114X3I_1_1,v10,518,334,270.0
B114X3I_1_1,v11,511,396,231.0
B114X3I_1_1,v12,545,309,203.0
B114X3I_1_1,v13,542,245,195.0
B114X3I_1_1,v14,510,276,133.0
B114X3I_1_1,v15,441,319,104.0
B114X3I_1_1,v16,486,316,92.0
B115X8I_1_1,v0,487,348,351.0
B115X8I_1_1,v1,418,332,303.0
B115X8I_1_1,v2,394,511,291.0
B115X8I_1_1,v3,381,300,292.0
B115X8I_1_1,v4,426,478,287.0
B115X8I_1_1,v5,439,398,285.0
B115X8I_1_1,v6,390,392,284.0
B115X8I_1_1,v7,457,436,285.0
B115X8I_1_1,v8,403,428,281.0
B115X8I_1_1,v9,325,436,278.0
B115X8I_1_1,v10,492,364,131.0
B115X8I_1_1,v11,452,380,119.0
B115X8I_1_1,v12,355,504,118.0
B115X8I_1_1,v13,439,378,112.0
B115X8I_1_1,v14,417,478,109.0
B115X8I_1_1,v15,397,423,100.0
B116X6I_1_1,v0,430,322,39.0
B116X6I_1_1,v1,444,224,3.0
B116X6I_1_1,v2,403,452,293.0
B116X6I_1_1,v3,451,265,182.0
B116X6I_1_1,v4,422,407,111.0
B116X6I_1_1,v5,402,367,104.0
B116X6I_1_1,v6,412,363,92.0
B117X0I_1_1,v0,298,360,84.0
B117X0I_1_1,v1,291,283,50.0
B117X0I_1_1,v2,268,298,50.0
B117X0I_1_1,v3,243,234,7.0
B117X0I_1_1,v4,282,434,348.0
B117X0I_1_1,v5,258,236,188.0
B117X0I_1_1,v6,259,358,125.0
B117X0I_1_1,v7,269,384,125.0
B117X0I_1_1,v8,264,366,115.0
B117X0I_1_1,v9,165,346,118.0
B117X0I_1_1,v10,186,338,103.0
B117X0I_1_1,v11,287,347,90.0
B118X8I_1_1,v0,404,301,51.0
B118X8I_1_1,v1,424,311,52.0
B118X8I_1_1,v2,376,346,325.0
B118X8I_1_1,v3,377,297,326.0
B118X8I_1_1,v4,365,366,311.0
B118X8I_1_1,v5,341,263,312.0
B118X8I_1_1,v6,349,355,305.0
B118X8I_1_1,v7,372,334,309.0
B118X8I_1_1,v8,350,321,292.0
B118X8I_1_1,v9,406,327,204.0
B118X8I_1_1,v10,327,256,122.0
B119X0I_1_1,v0,470,458,85.0
B119X0I_1_1,v1,553,493,80.0
B119X0I_1_1,v2,484,382,33.0
B119X0I_1_1,v3,481,400,23.0
B119X0I_1_1,v4,436,333,339.0
B119X0I_1_1,v5,458,392,341.0
B119X0I_1_1,v6,460,411,324.0
B119X0I_1_1,v7,416,367,316.0
B119X0I_1_1,v8,436,386,313.0
B119X0I_1_1,v9,338,374,297.0
B119X0I_1_1,v10,470,380,150.0
B119X0I_1_1,v11,472,402,143.0
B119X0I_1_1,v12,516,501,97.0
B120X9I_1_1,v0,442,586,346.0
B120X9I_1_1,v1,410,586,338.0
B120X9I_1_1,v2,411,558,328.0
B120X9I_1_1,v3,380,565,330.0
B120X9I_1_1,v4,442,539,324.0
B120X9I_1_1,v5,402,529,316.0
B120X9I_1_1,v6,374,524,317.0
B120X9I_1_1,v7,464,376,316.0
B120X9I_1_1,v8,360,408,293.0
B120X9I_1_1,v9,466,452,282.0
B120X9I_1_1,v10,468,440,278.0
B120X9I_1_1,v11,475,429,278.0
B120X9I_1_1,v12,408,593,171.0
B120X9I_1_1,v13,484,446,122.0
B120X9I_1_1,v14,448,372,118.0
B120X9I_1_1,v15,364,389,117.0
B120X9I_1_1,v16,498,456,112.0
B120X9I_1_1,v17,478,415,104.0
B120X9I_1_1,v18,456,422,99.0
B121X7I_1_1,v0,453,367,62.0
B121X7I_1_1,v1,339,423,42.0
B121X7I_1_1,v2,349,519,9.0
B121X7I_1_1,v3,391,511,2.0
B121X7I_1_1,v4,451,509,356.0
B121X7I_1_1,v5,442,471,347.0
B121X7I_1_1,v6,465,449,346.0
B121X7I_1_1,v7,388,479,345.0
B121X7I_1_1,v8,407,463,333.0
B121X7I_1_1,v9,458,427,327.0
B121X7I_1_1,v10,383,405,324.0
B121X7I_1_1,v11,440,422,321.0
B121X7I_1_1,v12,387,434,320.0
B121X7I_1_1,v13,381,385,315.0
B121X7I_1_1,v14,352,487,194.0
B121X7I_1_1,v15,405,513,192.0
B121X7I_1_1,v16,359,535,192.0
B121X7I_1_1,v17,466,506,166.0
B121X7I_1_1,v18,401,400,144.0
B121X7I_1_1,v19,393,371,135.0
B121X7I_1_1,v20,421,366,132.0
B122X4I_1_1,v0,429,312,75.0
B122X4I_1_1,v1,354,377,62.0
B122X4I_1_1,v2,423,251,44.0
B122X4I_1_1,v3,343,411,39.0
B122X4I_1_1,v4,427,236,37.0
B122X4I_1_1,v5,387,380,135.0
B122X4I_1_1,v6,409,394,113.0
B122X4I_1_1,v7,398,336,98.0
B122X4I_1_1,v8,354,327,91.0
B122X4I_1_1,v9,427,352,94.0
B123X1I_1_1,v0,294,444,81.0
B123X1I_1_1,v1,404,443,74.0
B123X1I_1_1,v2,420,410,69.0
B123X1I_1_1,v3,418,438,62.0
B123X1I_1_1,v4,379,464,65.0
B123X1I_1_1,v5,450,402,51.0
B123X1I_1_1,v6,475,340,54.0
B123X1I_1_1,v7,471,536,14.0
B123X1I_1_1,v8,413,384,7.0
B123X1I_1_1,v9,245,501,8.0
B123X1I_1_1,v10,405,360,350.0
B123X1I_1_1,v11,357,368,310.0
B123X1I_1_1,v12,364,403,294.0
B123X1I_1_1,v13,355,504,250.0
B123X1I_1_1,v14,323,482,245.0
B123X1I_1_1,v15,487,385,233.0
B123X1I_1_1,v16,386,537,231.0
B123X1I_1_1,v17,356,536,220.0
B123X1I_1_1,v18,310,496,224.0
B123X1I_1_1,v19,396,562,217.0
B123X1I_1_1,v20,420,555,216.0
B123X1I_1_1,v21,479,529,210.0
B123X1I_1_1,v22,302,522,210.0
B123X1I_1_1,v23,330,541,213.0
B123X1I_1_1,v24,459,547,208.0
B123X1I_1_1,v25,451,320,196.0
B123X1I_1_1,v26,433,386,184.0
B123X1I_1_1,v27,427,365,178.0
B123X1I_1_1,v28,400,374,130.0
B123X1I_1_1,v29,325,355,127.0
B123X1I_1_1,v30,324,384,125.0
B123X1I_1_1,v31,367,370,121.0
B123X1I_1_1,v32,311,425,96.0
B124X5I_1_1,v0,360,332,24.0
B124X5I_1_1,v1,377,282,24.0
B124X5I_1_1,v2,328,372,13.0
B124X5I_1_1,v3,460,502,237.0
B124X5I_1_1,v4,357,417,214.0
B124X5I_1_1,v5,342,376,199.0
B124X5I_1_1,v6,396,291,201.0
B124X5I_1_1,v7,366,284,196.0
B126X1I_1_1,v0,333,421,86.0
B126X1I_1_1,v1,289,500,81.0
B126X1I_1_1,v2,293,528,44.0
B126X1I_1_1,v3,489,595,352.0
B126X1I_1_1,v4,276,575,344.0
B126X1I_1_1,v5,458,653,346.0
B126X1I_1_1,v6,273,599,342.0
B126X1I_1_1,v7,261,568,316.0
B126X1I_1_1,v8,239,514,288.0
B126X1I_1_1,v9,416,522,228.0
B126X1I_1_1,v10,340,539,230.0
B126X1I_1_1,v11,409,549,218.0
B126X1I_1_1,v12,394,569,218.0
B126X1I_1_1,v13,351,564,215.0
B126X1I_1_1,v14,310,553,203.0
B126X1I_1_1,v15,383,592,200.0
B126X1I_1_1,v16,431,595,196.0
B126X1I_1_1,v17,495,579,193.0
B126X1I_1_1,v18,474,581,192.0
B126X1I_1_1,v19,453,620,186.0
B126X1I_1_1,v20,420,619,191.0
B126X1I_1_1,v21,470,596,187.0
B126X1I_1_1,v22,396,633,185.0
B126X1I_1_1,v23,329,601,181.0
B126X1I_1_1,v24,407,649,176.0
B126X1I_1_1,v25,544,571,179.0
B126X1I_1_1,v26,359,659,175.0
B126X1I_1_1,v27,517,590,170.0
B126X1I_1_1,v28,409,681,170.0
B126X1I_1_1,v29,486,647,164.0
B126X1I_1_1,v30,365,223,161.0
B126X1I_1_1,v31,291,584,162.0
B126X1I_1_1,v32,471,680,156.0
B126X1I_1_1,v33,362,265,151.0
B126X1I_1_1,v34,495,681,151.0
B126X1I_1_1,v35,221,439,114.0
B126X1I_1_1,v36,211,399,117.0
B126X1I_1_1,v37,307,381,107.0
B126X1I_1_1,v38,261,364,112.0
B126X1I_1_1,v39,247,441,104.0
B126X1I_1_1,v40,271,443,98.0
B126X1I_1_1,v41,323,385,97.0
B126X1I_1_1,v42,285,428,96.0
B126X1I_1_1,v43,282,519,93.0
B127X6I_1_1,v0,444,591,322.0
B127X6I_1_1,v1,473,550,318.0
B127X6I_1_1,v2,525,574,308.0
B127X6I_1_1,v3,433,517,143.0
B127X6I_1_1,v4,297,347,136.0
B127X6I_1_1,v5,274,316,135.0
B127X6I_1_1,v6,473,526,131.0
B127X6I_1_1,v7,427,438,129.0
B127X6I_1_1,v8,321,370,126.0
B127X6I_1_1,v9,239,404,122.0
B127X6I_1_1,v10,526,469,106.0
B127X6I_1_1,v11,471,434,101.0
B129X7I_1_1,v0,393,355,89.0
B129X7I_1_1,v1,335,303,86.0
B129X7I_1_1,v2,326,343,83.0
B129X7I_1_1,v3,424,317,75.0
B129X7I_1_1,v4,455,385,76.0
B129X7I_1_1,v5,396,303,69.0
B129X7I_1_1,v6,463,347,62.0
B129X7I_1_1,v7,396,245,57.0
B129X7I_1_1,v8,435,228,47.0
B129X7I_1_1,v9,365,231,31.0
B129X7I_1_1,v10,323,232,14.0
B129X7I_1_1,v11,323,207,6.0
B129X7I_1_1,v12,288,487,354.0
B129X7I_1_1,v13,291,199,348.0
B129X7I_1_1,v14,438,519,346.0
B129X7I_1_1,v15,241,415,334.0
B129X7I_1_1,v16,300,275,332.0
B129X7I_1_1,v17,411,524,330.0
B129X7I_1_1,v18,234,412,316.0
B129X7I_1_1,v19,458,507,318.0
B129X7I_1_1,v20,401,501,316.0
B129X7I_1_1,v21,305,451,311.0
B129X7I_1_1,v22,449,489,304.0
B129X7I_1_1,v23,466,479,303.0
B129X7I_1_1,v24,253,370,289.0
B129X7I_1_1,v25,235,374,282.0
B129X7I_1_1,v26,235,340,284.0
B129X7I_1_1,v27,339,378,274.0
B129X7I_1_1,v28,232,395,275.0
B129X7I_1_1,v29,330,381,264.0
B129X7I_1_1,v30,357,328,258.0
B129X7I_1_1,v31,377,218,195.0
B129X7I_1_1,v32,312,194,167.0
B129X7I_1_1,v33,314,270,136.0
B129X7I_1_1,v34,271,359,114.0
B129X7I_1_1,v35,381,417,109.0
B129X7I_1_1,v36,378,365,105.0
B129X7I_1_1,v37,309,364,96.0
B129X7I_1_1,v38,315,320,93.0
B129X7I_1_1,v39,468,419,90.0
B130X1I_1_1,v0,349,441,70.0
B130X1I_1_1,v1,513,323,68.0
B130X1I_1_1,v2,370,430,55.0
B130X1I_1_1,v3,330,473,50.0
B130X1I_1_1,v4,355,512,24.0
B130X1I_1_1,v5,439,504,324.0
B130X1I_1_1,v6,437,448,294.0
B130X1I_1_1,v7,427,428,254.0
B130X1I_1_1,v8,431,400,244.0
B130X1I_1_1,v9,370,493,234.0
B130X1I_1_1,v10,439,353,213.0
B130X1I_1_1,v11,442,314,208.0
B130X1I_1_1,v12,385,306,192.0
B130X1I_1_1,v13,319,381,130.0
B130X1I_1_1,v14,457,473,130.0
B130X1I_1_1,v15,482,495,129.0
B130X1I_1_1,v16,477,464,113.0
B130X1I_1_1,v17,452,421,103.0
B130X1I_1_1,v18,524,433,90.0
B130X1I_1_1,v19,499,424,92.0
B132X7I_1_1,v0,377,287,52.0
B132X7I_1_1,v1,377,321,21.0
B132X7I_1_1,v2,470,294,226.0
B132X7I_1_1,v3,517,294,225.0
B132X7I_1_1,v4,438,291,223.0
B132X7I_1_1,v5,538,297,224.0
B132X7I_1_1,v6,408,308,217.0
B132X7I_1_1,v7,481,311,214.0
B132X7I_1_1,v8,488,331,214.0
B132X7I_1_1,v9,506,345,209.0
B132X7I_1_1,v10,534,336,208.0
B132X7I_1_1,v11,458,339,208.0
B132X7I_1_1,v12,395,312,202.0
B132X7I_1_1,v13,484,362,201.0
B132X7I_1_1,v14,531,381,182.0
B132X7I_1_1,v15,396,344,184.0
B132X7I_1_1,v16,365,277,117.0
B134X9I_1_1,v0,337,552,33.0
B134X9I_1_1,v1,367,496,298.0
B134X9I_1_1,v2,364,364,145.0
B134X9I_1_1,v3,324,472,120.0
B134X9I_1_1,v4,299,503,119.0
B134X9I_1_1,v5,324,496,115.0
B134X9I_1_1,v6,382,480,111.0
B134X9I_1_1,v7,417,472,107.0
B134X9I_1_1,v8,275,545,105.0
B134X9I_1_1,v9,328,511,98.0
B134X9I_1_1,v10,348,507,93.0
B135X8I_1_1,v0,456,370,87.0
B135X8I_1_1,v1,453,406,89.0
B135X8I_1_1,v2,492,400,88.0
B135X8I_1_1,v3,311,390,73.0
B135X8I_1_1,v4,457,335,71.0
B135X8I_1_1,v5,371,336,64.0
B135X8I_1_1,v6,377,325,53.0
B135X8I_1_1,v7,406,563,356.0
B135X8I_1_1,v8,413,550,349.0
B135X8I_1_1,v9,436,534,327.0
B135X8I_1_1,v10,381,513,323.0
B135X8I_1_1,v11,404,532,315.0
B135X8I_1_1,v12,419,512,298.0
B135X8I_1_1,v13,436,367,270.0
B135X8I_1_1,v14,469,423,260.0
B135X8I_1_1,v15,417,481,117.0
B135X8I_1_1,v16,392,360,107.0
B135X8I_1_1,v17,304,337,106.0
B135X8I_1_1,v18,406,369,106.0
B135X8I_1_1,v19,464,479,106.0
B135X8I_1_1,v20,335,339,97.0
B135X8I_1_1,v21,418,408,101.0
B135X8I_1_1,v22,308,352,90.0
B135X8I_1_1,v23,291,384,90.0
B136X8I_1_1,v0,355,504,88.0
B136X8I_1_1,v1,362,459,65.0
B136X8I_1_1,v2,387,461,58.0
B136X8I_1_1,v3,364,509,59.0
B136X8I_1_1,v4,437,466,51.0
B136X8I_1_1,v5,447,349,47.0
B136X8I_1_1,v6,420,458,237.0
B136X8I_1_1,v7,439,514,231.0
B136X8I_1_1,v8,409,346,234.0
B136X8I_1_1,v9,479,590,217.0
B136X8I_1_1,v10,437,559,204.0
B136X8I_1_1,v11,453,570,202.0
B136X8I_1_1,v12,449,591,191.0
B136X8I_1_1,v13,429,572,189.0
B136X8I_1_1,v14,474,614,191.0
B136X8I_1_1,v15,275,485,102.0
B136X8I_1_1,v16,248,443,103.0
B136X8I_1_1,v17,298,445,96.0
B137X6I_1_1,v0,451,333,10.0
B137X6I_1_1,v1,322,271,322.0
B137X6I_1_1,v2,395,570,321.0
B137X6I_1_1,v3,378,354,312.0
B137X6I_1_1,v4,291,342,305.0
B137X6I_1_1,v5,416,549,308.0
B137X6I_1_1,v6,246,304,308.0
B137X6I_1_1,v7,284,455,281.0
B137X6I_1_1,v8,324,492,274.0
B137X6I_1_1,v9,496,350,215.0
B137X6I_1_1,v10,375,303,137.0
B137X6I_1_1,v11,279,287,128.0
B137X6I_1_1,v12,269,324,122.0
B137X6I_1_1,v13,326,378,112.0
B137X6I_1_1,v14,421,491,107.0
B137X6I_1_1,v15,245,470,104.0
B137X6I_1_1,v16,492,431,96.0
B137X6I_1_1,v17,460,424,98.0
B137X6I_1_1,v18,300,442,95.0
B138X3I_1_1,v0,436,488,82.0
B138X3I_1_1,v1,459,519,69.0
B138X3I_1_1,v2,502,523,65.0
B138X3I_1_1,v3,540,434,61.0
B138X3I_1_1,v4,522,341,40.0
B138X3I_1_1,v5,448,441,18.0
B138X3I_1_1,v6,533,403,234.0
B138X3I_1_1,v7,526,409,231.0
B138X3I_1_1,v8,545,336,205.0
B138X3I_1_1,v9,473,444,201.0
B138X3I_1_1,v10,416,406,135.0
B138X3I_1_1,v11,393,451,108.0
B139X2I_1_1,v0,445,378,82.0
B139X2I_1_1,v1,445,353,76.0
B139X2I_1_1,v2,473,270,40.0
B139X2I_1_1,v3,423,234,356.0
B139X2I_1_1,v4,442,177,346.0
B139X2I_1_1,v5,528,259,223.0
B139X2I_1_1,v6,477,327,216.0
B139X2I_1_1,v7,510,261,210.0
B139X2I_1_1,v8,442,274,162.0
B139X2I_1_1,v9,442,327,151.0
B139X2I_1_1,v10,388,258,142.0
B139X2I_1_1,v11,351,312,135.0
B139X2I_1_1,v12,352,343,126.0
B139X2I_1_1,v13,390,342,122.0
B139X2I_1_1,v14,432,337,118.0
B139X2I_1_1,v15,364,364,108.0
B139X2I_1_1,v16,408,338,110.0
B139X2I_1_1,v17,382,386,103.0
B139X2I_1_1,v18,438,359,94.0
B139X2I_1_1,v19,405,402,94.0
B140X8I_1_1,v0,368,541,83.0
B140X8I_1_1,v1,480,607,79.0
B140X8I_1_1,v2,418,564,78.0
B140X8I_1_1,v3,439,564,75.0
B140X8I_1_1,v4,385,521,77.0
B140X8I_1_1,v5,436,524,69.0
B140X8I_1_1,v6,471,570,67.0
B140X8I_1_1,v7,440,473,60.0
B140X8I_1_1,v8,501,584,57.0
B140X8I_1_1,v9,381,419,43.0
B140X8I_1_1,v10,357,429,23.0
B140X8I_1_1,v11,332,472,6.0
B140X8I_1_1,v12,320,479,326.0
B140X8I_1_1,v13,305,453,306.0
B140X8I_1_1,v14,448,591,255.0
B141X4I_1_1,v0,424,409,70.0
B141X4I_1_1,v1,349,471,68.0
B141X4I_1_1,v2,420,447,49.0
B141X4I_1_1,v3,403,519,30.0
B141X4I_1_1,v4,303,266,329.0
B141X4I_1_1,v5,331,287,325.0
B141X4I_1_1,v6,347,329,322.0
B141X4I_1_1,v7,280,335,307.0
B141X4I_1_1,v8,313,572,189.0
B141X4I_1_1,v9,425,381,166.0
B141X4I_1_1,v10,333,270,150.0
B141X4I_1_1,v11,394,339,144.0
B141X4I_1_1,v12,291,258,130.0
B141X4I_1_1,v13,298,322,124.0
B141X4I_1_1,v14,332,345,122.0
B141X4I_1_1,v15,257,501,112.0
B141X4I_1_1,v16,353,383,110.0
B141X4I_1_1,v17,310,425,102.0
B141X4I_1_1,v18,399,393,105.0
B141X4I_1_1,v19,357,414,99.0
B141X4I_1_1,v20,285,502,96.0
B141X4I_1_1,v21,314,469,91.0
B142X1I_1_1,v0,402,436,88.0
B142X1I_1_1,v1,354,501,81.0
B142X1I_1_1,v2,426,441,77.0
B142X1I_1_1,v3,382,497,69.0
B142X1I_1_1,v4,398,518,54.0
B142X1I_1_1,v5,436,512,47.0
B142X1I_1_1,v6,455,452,42.0
B142X1I_1_1,v7,283,573,353.0
B142X1I_1_1,v8,363,469,273.0
B142X1I_1_1,v9,392,528,249.0
B142X1I_1_1,v10,388,578,233.0
B142X1I_1_1,v11,451,483,236.0
B142X1I_1_1,v12,434,560,228.0
B142X1I_1_1,v13,358,567,221.0
B142X1I_1_1,v14,467,378,188.0
