fingerprint,X,Y,Angle,Type
B107X9I_1_1,484,504,345.0,Bifurcation
B107X9I_1_1,461,286,325.0,Bifurcation
B107X9I_1_1,478,452,322.0,End
B107X9I_1_1,443,278,312.0,Bifurcation
B107X9I_1_1,521,466,289.0,End
B107X9I_1_1,517,392,284.0,End
B107X9I_1_1,414,422,236.0,Bifurcation
B107X9I_1_1,499,234,176.0,Bifurcation
B107X9I_1_1,436,443,175.0,End
B107X9I_1_1,456,411,153.0,Bifurcation
B107X9I_1_1,493,447,142.0,End
B107X9I_1_1,455,254,141.0,Bifurcation
B107X9I_1_1,490,436,138.0,Bifurcation
B107X9I_1_1,527,440,116.0,Bifurcation
B107X9I_1_1,497,344,113.0,End
B107X9I_1_1,382,403,112.0,Bifurcation
B107X9I_1_1,502,361,104.0,End
B107X9I_1_1,442,338,98.0,Bifurcation
B107X9I_1_1,517,324,90.0,End
B108X6I_1_1,460,340,51.0,End
B108X6I_1_1,414,646,5.0,End
B108X6I_1_1,478,628,5.0,Bifurcation
B108X6I_1_1,394,613,353.0,End
B108X6I_1_1,453,611,351.0,End
B108X6I_1_1,443,582,337.0,End
B108X6I_1_1,468,526,331.0,Bifurcation
B108X6I_1_1,435,570,322.0,End
B108X6I_1_1,412,575,321.0,End
B108X6I_1_1,414,547,317.0,End
B108X6I_1_1,450,527,320.0,End
B108X6I_1_1,395,538,310.0,End
B108X6I_1_1,497,547,168.0,Bifurcation
B108X6I_1_1,407,545,148.0,End
B108X6I_1_1,445,374,92.0,Bifurcation
B108X6I_1_1,470,456,95.0,End
B108X6I_1_1,452,404,90.0,Bifurcation
B108X6I_1_1,409,395,94.0,Bifurcation
B109X4I_1_1,461,407,53.0,Bifurcation
B109X4I_1_1,416,415,17.0,End
B109X4I_1_1,401,528,12.0,End
B109X4I_1_1,353,499,354.0,Bifurcation
B109X4I_1_1,370,477,348.0,End
B109X4I_1_1,392,458,342.0,End
B109X4I_1_1,330,480,333.0,Bifurcation
B109X4I_1_1,333,450,317.0,End
B109X4I_1_1,373,462,315.0,End
B109X4I_1_1,361,459,309.0,Bifurcation
B109X4I_1_1,405,416,302.0,End
B109X4I_1_1,336,410,295.0,Bifurcation
B109X4I_1_1,319,284,297.0,Bifurcation
B109X4I_1_1,392,423,288.0,Bifurcation
B109X4I_1_1,340,324,291.0,Bifurcation
B109X4I_1_1,380,385,289.0,End
B109X4I_1_1,407,397,275.0,Bifurcation
B109X4I_1_1,466,422,238.0,End
B109X4I_1_1,444,407,235.0,End
B109X4I_1_1,488,438,223.0,End
B109X4I_1_1,454,456,200.0,End
B109X4I_1_1,324,348,117.0,End
B109X4I_1_1,390,349,106.0,End
B109X4I_1_1,424,358,99.0,Bifurcation
B110X6I_1_1,405,503,346.0,End
B110X6I_1_1,363,491,338.0,End
B110X6I_1_1,365,476,329.0,End
B110X6I_1_1,410,491,330.0,End
B110X6I_1_1,435,181,324.0,End
B110X6I_1_1,451,473,314.0,End
B110X6I_1_1,366,457,300.0,End
B110X6I_1_1,386,193,300.0,Bifurcation
B110X6I_1_1,428,451,295.0,Bifurcation
B110X6I_1_1,281,284,294.0,Bifurcation
B110X6I_1_1,376,261,296.0,End
B110X6I_1_1,416,449,295.0,Bifurcation
B110X6I_1_1,419,375,288.0,End
B110X6I_1_1,468,354,287.0,Bifurcation
B110X6I_1_1,400,428,289.0,Bifurcation
B110X6I_1_1,471,407,285.0,Bifurcation
B110X6I_1_1,323,391,285.0,End
B110X6I_1_1,418,349,286.0,End
B110X6I_1_1,262,276,135.0,End
B110X6I_1_1,317,266,113.0,Bifurcation
B110X6I_1_1,434,425,114.0,Bifurcation
B110X6I_1_1,380,179,115.0,End
B110X6I_1_1,484,405,117.0,End
B110X6I_1_1,312,307,117.0,Bifurcation
B110X6I_1_1,334,353,107.0,End
B110X6I_1_1,482,336,108.0,End
B110X6I_1_1,554,369,103.0,Bifurcation
B110X6I_1_1,303,362,105.0,End
B110X6I_1_1,497,316,101.0,End
B110X6I_1_1,447,367,101.0,End
B110X6I_1_1,499,340,94.0,End
B111X7I_1_1,403,482,86.0,End
B111X7I_1_1,431,494,57.0,Bifurcation
B111X7I_1_1,421,463,59.0,Bifurcation
B111X7I_1_1,490,429,46.0,Bifurcation
B111X7I_1_1,500,323,44.0,Bifurcation
B111X7I_1_1,396,412,45.0,Bifurcation
B111X7I_1_1,421,395,42.0,Bifurcation
B111X7I_1_1,444,377,30.0,End
B111X7I_1_1,429,338,19.0,End
B111X7I_1_1,336,362,349.0,Bifurcation
B111X7I_1_1,474,372,209.0,Bifurcation
B111X7I_1_1,452,271,198.0,End
B111X7I_1_1,375,353,168.0,End
B111X7I_1_1,305,280,151.0,Bifurcation
B111X7I_1_1,299,337,143.0,Bifurcation
B111X7I_1_1,423,510,117.0,Bifurcation
B112X2I_1_1,342,486,86.0,Bifurcation
B112X2I_1_1,444,409,67.0,End
B112X2I_1_1,401,298,15.0,End
B112X2I_1_1,389,358,9.0,End
B112X2I_1_1,372,253,356.0,Bifurcation
B112X2I_1_1,416,498,276.0,Bifurcation
B112X2I_1_1,305,573,242.0,Bifurcation
B112X2I_1_1,321,578,235.0,Bifurcation
B112X2I_1_1,447,391,223.0,Bifurcation
B112X2I_1_1,401,385,167.0,End
B112X2I_1_1,379,299,157.0,End
B112X2I_1_1,344,281,144.0,End
B112X2I_1_1,411,428,130.0,Bifurcation
B112X2I_1_1,424,515,119.0,Bifurcation
B112X2I_1_1,327,447,98.0,End
B114X3I_1_1,489,364,78.0,Bifurcation
B114X3I_1_1,498,335,78.0,End
B114X3I_1_1,494,379,59.0,Bifurcation
B114X3I_1_1,478,434,325.0,End
B114X3I_1_1,504,290,317.0,Bifurcation
B114X3I_1_1,457,438,317.0,End
B114X3I_1_1,461,416,309.0,Bifurcation
B114X3I_1_1,469,426,307.0,End
B114X3I_1_1,388,346,293.0,End
B114X3I_1_1,417,351,289.0,End
B114X3I_1_1,518,334,270.0,Bifurcation
B114X3I_1_1,511,396,231.0,End
B114X3I_1_1,545,309,203.0,End
B114X3I_1_1,542,245,195.0,Bifurcation
B114X3I_1_1,510,276,133.0,Bifurcation
B114X3I_1_1,441,319,104.0,Bifurcation
B114X3I_1_1,486,316,92.0,Bifurcation
B115X8I_1_1,487,348,351.0,Bifurcation
B115X8I_1_1,418,332,303.0,Bifurcation
B115X8I_1_1,394,511,291.0,End
B115X8I_1_1,381,300,292.0,End
B115X8I_1_1,426,478,287.0,End
B115X8I_1_1,439,398,285.0,End
B115X8I_1_1,390,392,284.0,Bifurcation
B115X8I_1_1,457,436,285.0,Bifurcation
B115X8I_1_1,403,428,281.0,Bifurcation
B115X8I_1_1,325,436,278.0,End
B115X8I_1_1,492,364,131.0,End
B115X8I_1_1,452,380,119.0,End
B115X8I_1_1,355,504,118.0,End
B115X8I_1_1,439,378,112.0,End
B115X8I_1_1,417,478,109.0,Bifurcation
B115X8I_1_1,397,423,100.0,End
B116X6I_1_1,430,322,39.0,Bifurcation
B116X6I_1_1,444,224,3.0,End
B116X6I_1_1,403,452,293.0,Bifurcation
B116X6I_1_1,451,265,182.0,End
B116X6I_1_1,422,407,111.0,Bifurcation
B116X6I_1_1,402,367,104.0,Bifurcation
B116X6I_1_1,412,363,92.0,End
B117X0I_1_1,298,360,84.0,End
B117X0I_1_1,291,283,50.0,End
B117X0I_1_1,268,298,50.0,Bifurcation
B117X0I_1_1,243,234,7.0,End
B117X0I_1_1,282,434,348.0,End
B117X0I_1_1,258,236,188.0,End
B117X0I_1_1,259,358,125.0,End
B117X0I_1_1,269,384,125.0,End
B117X0I_1_1,264,366,115.0,End
B117X0I_1_1,165,346,118.0,Bifurcation
B117X0I_1_1,186,338,103.0,End
B117X0I_1_1,287,347,90.0,End
B118X8I_1_1,404,301,51.0,End
B118X8I_1_1,424,311,52.0,End
B118X8I_1_1,376,346,325.0,Bifurcation
B118X8I_1_1,377,297,326.0,End
B118X8I_1_1,365,366,311.0,Bifurcation
B118X8I_1_1,341,263,312.0,Bifurcation
B118X8I_1_1,349,355,305.0,Bifurcation
B118X8I_1_1,372,334,309.0,End
B118X8I_1_1,350,321,292.0,Bifurcation
B118X8I_1_1,406,327,204.0,End
B118X8I_1_1,327,256,122.0,Bifurcation
B119X0I_1_1,470,458,85.0,Bifurcation
B119X0I_1_1,553,493,80.0,End
B119X0I_1_1,484,382,33.0,End
B119X0I_1_1,481,400,23.0,Bifurcation
B119X0I_1_1,436,333,339.0,End
B119X0I_1_1,458,392,341.0,Bifurcation
B119X0I_1_1,460,411,324.0,End
B119X0I_1_1,416,367,316.0,End
B119X0I_1_1,436,386,313.0,End
B119X0I_1_1,338,374,297.0,End
B119X0I_1_1,470,380,150.0,Bifurcation
B119X0I_1_1,472,402,143.0,End
B119X0I_1_1,516,501,97.0,End
B120X9I_1_1,442,586,346.0,End
B120X9I_1_1,410,586,338.0,Bifurcation
B120X9I_1_1,411,558,328.0,End
B120X9I_1_1,380,565,330.0,End
B120X9I_1_1,442,539,324.0,Bifurcation
B120X9I_1_1,402,529,316.0,End
B120X9I_1_1,374,524,317.0,End
B120X9I_1_1,464,376,316.0,Bifurcation
B120X9I_1_1,360,408,293.0,End
B120X9I_1_1,466,452,282.0,Bifurcation
B120X9I_1_1,468,440,278.0,Bifurcation
B120X9I_1_1,475,429,278.0,End
B120X9I_1_1,408,593,171.0,End
B120X9I_1_1,484,446,122.0,Bifurcation
B120X9I_1_1,448,372,118.0,Bifurcation
B120X9I_1_1,364,389,117.0,End
B120X9I_1_1,498,456,112.0,Bifurcation
B120X9I_1_1,478,415,104.0,End
B120X9I_1_1,456,422,99.0,Bifurcation
B121X7I_1_1,453,367,62.0,Bifurcation
B121X7I_1_1,339,423,42.0,Bifurcation
B121X7I_1_1,349,519,9.0,End
B121X7I_1_1,391,511,2.0,End
B121X7I_1_1,451,509,356.0,End
B121X7I_1_1,442,471,347.0,End
B121X7I_1_1,465,449,346.0,End
B121X7I_1_1,388,479,345.0,End
B121X7I_1_1,407,463,333.0,End
B121X7I_1_1,458,427,327.0,Bifurcation
B121X7I_1_1,383,405,324.0,End
B121X7I_1_1,440,422,321.0,Bifurcation
B121X7I_1_1,387,434,320.0,End
B121X7I_1_1,381,385,315.0,End
B121X7I_1_1,352,487,194.0,Bifurcation
B121X7I_1_1,405,513,192.0,End
B121X7I_1_1,359,535,192.0,End
B121X7I_1_1,466,506,166.0,End
B121X7I_1_1,401,400,144.0,End
B121X7I_1_1,393,371,135.0,Bifurcation
B121X7I_1_1,421,366,132.0,End
B122X4I_1_1,429,312,75.0,Bifurcation
B122X4I_1_1,354,377,62.0,Bifurcation
B122X4I_1_1,423,251,44.0,End
B122X4I_1_1,343,411,39.0,End
B122X4I_1_1,427,236,37.0,End
B122X4I_1_1,387,380,135.0,End
B122X4I_1_1,409,394,113.0,Bifurcation
B122X4I_1_1,398,336,98.0,Bifurcation
B122X4I_1_1,354,327,91.0,End
B122X4I_1_1,427,352,94.0,Bifurcation
B123X1I_1_1,294,444,81.0,End
B123X1I_1_1,404,443,74.0,Bifurcation
B123X1I_1_1,420,410,69.0,End
B123X1I_1_1,418,438,62.0,Bifurcation
B123X1I_1_1,379,464,65.0,End
B123X1I_1_1,450,402,51.0,End
B123X1I_1_1,475,340,54.0,End
B123X1I_1_1,471,536,14.0,End
B123X1I_1_1,413,384,7.0,End
B123X1I_1_1,245,501,8.0,End
B123X1I_1_1,405,360,350.0,End
B123X1I_1_1,357,368,310.0,End
B123X1I_1_1,364,403,294.0,End
B123X1I_1_1,355,504,250.0,End
B123X1I_1_1,323,482,245.0,End
B123X1I_1_1,487,385,233.0,Bifurcation
B123X1I_1_1,386,537,231.0,Bifurcation
B123X1I_1_1,356,536,220.0,Bifurcation
B123X1I_1_1,310,496,224.0,End
B123X1I_1_1,396,562,217.0,End
B123X1I_1_1,420,555,216.0,Bifurcation
B123X1I_1_1,479,529,210.0,End
B123X1I_1_1,302,522,210.0,End
B123X1I_1_1,330,541,213.0,Bifurcation
B123X1I_1_1,459,547,208.0,End
B123X1I_1_1,451,320,196.0,End
B123X1I_1_1,433,386,184.0,End
B123X1I_1_1,427,365,178.0,End
B123X1I_1_1,400,374,130.0,End
B123X1I_1_1,325,355,127.0,End
B123X1I_1_1,324,384,125.0,End
B123X1I_1_1,367,370,121.0,End
B123X1I_1_1,311,425,96.0,End
B124X5I_1_1,360,332,24.0,Bifurcation
B124X5I_1_1,377,282,24.0,End
B124X5I_1_1,328,372,13.0,End
B124X5I_1_1,460,502,237.0,Bifurcation
B124X5I_1_1,357,417,214.0,End
B124X5I_1_1,342,376,199.0,End
B124X5I_1_1,396,291,201.0,End
B124X5I_1_1,366,284,196.0,Bifurcation
B126X1I_1_1,333,421,86.0,Bifurcation
B126X1I_1_1,289,500,81.0,Bifurcation
B126X1I_1_1,293,528,44.0,End
B126X1I_1_1,489,595,352.0,End
B126X1I_1_1,276,575,344.0,Bifurcation
B126X1I_1_1,458,653,346.0,End
B126X1I_1_1,273,599,342.0,End
B126X1I_1_1,261,568,316.0,End
B126X1I_1_1,239,514,288.0,End
B126X1I_1_1,416,522,228.0,Bifurcation
B126X1I_1_1,340,539,230.0,Bifurcation
B126X1I_1_1,409,549,218.0,End
B126X1I_1_1,394,569,218.0,End
B126X1I_1_1,351,564,215.0,End
B126X1I_1_1,310,553,203.0,End
B126X1I_1_1,383,592,200.0,Bifurcation
B126X1I_1_1,431,595,196.0,End
B126X1I_1_1,495,579,193.0,End
B126X1I_1_1,474,581,192.0,End
B126X1I_1_1,453,620,186.0,Bifurcation
B126X1I_1_1,420,619,191.0,End
B126X1I_1_1,470,596,187.0,End
B126X1I_1_1,396,633,185.0,End
B126X1I_1_1,329,601,181.0,Bifurcation
B126X1I_1_1,407,649,176.0,End
B126X1I_1_1,544,571,179.0,End
B126X1I_1_1,359,659,175.0,End
B126X1I_1_1,517,590,170.0,End
B126X1I_1_1,409,681,170.0,End
B126X1I_1_1,486,647,164.0,End
B126X1I_1_1,365,223,161.0,Bifurcation
B126X1I_1_1,291,584,162.0,End
B126X1I_1_1,471,680,156.0,End
B126X1I_1_1,362,265,151.0,End
B126X1I_1_1,495,681,151.0,End
B126X1I_1_1,221,439,114.0,End
B126X1I_1_1,211,399,117.0,Bifurcation
B126X1I_1_1,307,381,107.0,Bifurcation
B126X1I_1_1,261,364,112.0,End
B126X1I_1_1,247,441,104.0,Bifurcation
B126X1I_1_1,271,443,98.0,End
B126X1I_1_1,323,385,97.0,End
B126X1I_1_1,285,428,96.0,End
B126X1I_1_1,282,519,93.0,End
B127X6I_1_1,444,591,322.0,End
B127X6I_1_1,473,550,318.0,End
B127X6I_1_1,525,574,308.0,End
B127X6I_1_1,433,517,143.0,End
B127X6I_1_1,297,347,136.0,Bifurcation
B127X6I_1_1,274,316,135.0,End
B127X6I_1_1,473,526,131.0,End
B127X6I_1_1,427,438,129.0,Bifurcation
B127X6I_1_1,321,370,126.0,End
B127X6I_1_1,239,404,122.0,End
B127X6I_1_1,526,469,106.0,Bifurcation
B127X6I_1_1,471,434,101.0,Bifurcation
B129X7I_1_1,393,355,89.0,End
B129X7I_1_1,335,303,86.0,End
B129X7I_1_1,326,343,83.0,Bifurcation
B129X7I_1_1,424,317,75.0,End
B129X7I_1_1,455,385,76.0,End
B129X7I_1_1,396,303,69.0,Bifurcation
B129X7I_1_1,463,347,62.0,Bifurcation
B129X7I_1_1,396,245,57.0,End
B129X7I_1_1,435,228,47.0,End
B129X7I_1_1,365,231,31.0,Bifurcation
B129X7I_1_1,323,232,14.0,End
B129X7I_1_1,323,207,6.0,End
B129X7I_1_1,288,487,354.0,End
B129X7I_1_1,291,199,348.0,End
B129X7I_1_1,438,519,346.0,End
B129X7I_1_1,241,415,334.0,End
B129X7I_1_1,300,275,332.0,Bifurcation
B129X7I_1_1,411,524,330.0,End
B129X7I_1_1,234,412,316.0,End
B129X7I_1_1,458,507,318.0,End
B129X7I_1_1,401,501,316.0,End
B129X7I_1_1,305,451,311.0,End
B129X7I_1_1,449,489,304.0,End
B129X7I_1_1,466,479,303.0,End
B129X7I_1_1,253,370,289.0,End
B129X7I_1_1,235,374,282.0,Bifurcation
B129X7I_1_1,235,340,284.0,Bifurcation
B129X7I_1_1,339,378,274.0,End
B129X7I_1_1,232,395,275.0,End
B129X7I_1_1,330,381,264.0,Bifurcation
B129X7I_1_1,357,328,258.0,Bifurcation
B129X7I_1_1,377,218,195.0,End
B129X7I_1_1,312,194,167.0,End
B129X7I_1_1,314,270,136.0,Bifurcation
B129X7I_1_1,271,359,114.0,End
B129X7I_1_1,381,417,109.0,End
B129X7I_1_1,378,365,105.0,Bifurcation
B129X7I_1_1,309,364,96.0,End
B129X7I_1_1,315,320,93.0,Bifurcation
B129X7I_1_1,468,419,90.0,End
B130X1I_1_1,349,441,70.0,Bifurcation
B130X1I_1_1,513,323,68.0,End
B130X1I_1_1,370,430,55.0,End
B130X1I_1_1,330,473,50.0,End
B130X1I_1_1,355,512,24.0,End
B130X1I_1_1,439,504,324.0,Bifurcation
B130X1I_1_1,437,448,294.0,End
B130X1I_1_1,427,428,254.0,End
B130X1I_1_1,431,400,244.0,End
B130X1I_1_1,370,493,234.0,End
B130X1I_1_1,439,353,213.0,End
B130X1I_1_1,442,314,208.0,End
B130X1I_1_1,385,306,192.0,Bifurcation
B130X1I_1_1,319,381,130.0,End
B130X1I_1_1,457,473,130.0,Bifurcation
B130X1I_1_1,482,495,129.0,Bifurcation
B130X1I_1_1,477,464,113.0,Bifurcation
B130X1I_1_1,452,421,103.0,Bifurcation
B130X1I_1_1,524,433,90.0,End
B130X1I_1_1,499,424,92.0,End
B132X7I_1_1,377,287,52.0,Bifurcation
B132X7I_1_1,377,321,21.0,End
B132X7I_1_1,470,294,226.0,End
B132X7I_1_1,517,294,225.0,End
B132X7I_1_1,438,291,223.0,End
B132X7I_1_1,538,297,224.0,End
B132X7I_1_1,408,308,217.0,End
B132X7I_1_1,481,311,214.0,End
B132X7I_1_1,488,331,214.0,End
B132X7I_1_1,506,345,209.0,End
B132X7I_1_1,534,336,208.0,Bifurcation
B132X7I_1_1,458,339,208.0,End
B132X7I_1_1,395,312,202.0,End
B132X7I_1_1,484,362,201.0,End
B132X7I_1_1,531,381,182.0,End
B132X7I_1_1,396,344,184.0,End
B132X7I_1_1,365,277,117.0,Bifurcation
B134X9I_1_1,337,552,33.0,Bifurcation
B134X9I_1_1,367,496,298.0,End
B134X9I_1_1,364,364,145.0,Bifurcation
B134X9I_1_1,324,472,120.0,Bifurcation
B134X9I_1_1,299,503,119.0,End
B134X9I_1_1,324,496,115.0,Bifurcation
B134X9I_1_1,382,480,111.0,End
B134X9I_1_1,417,472,107.0,Bifurcation
B134X9I_1_1,275,545,105.0,Bifurcation
B134X9I_1_1,328,511,98.0,Bifurcation
B134X9I_1_1,348,507,93.0,End
B135X8I_1_1,456,370,87.0,Bifurcation
B135X8I_1_1,453,406,89.0,End
B135X8I_1_1,492,400,88.0,End
B135X8I_1_1,311,390,73.0,End
B135X8I_1_1,457,335,71.0,End
B135X8I_1_1,371,336,64.0,End
B135X8I_1_1,377,325,53.0,Bifurcation
B135X8I_1_1,406,563,356.0,Bifurcation
B135X8I_1_1,413,550,349.0,Bifurcation
B135X8I_1_1,436,534,327.0,End
B135X8I_1_1,381,513,323.0,Bifurcation
B135X8I_1_1,404,532,315.0,Bifurcation
B135X8I_1_1,419,512,298.0,Bifurcation
B135X8I_1_1,436,367,270.0,Bifurcation
B135X8I_1_1,469,423,260.0,End
B135X8I_1_1,417,481,117.0,End
B135X8I_1_1,392,360,107.0,End
B135X8I_1_1,304,337,106.0,Bifurcation
B135X8I_1_1,406,369,106.0,Bifurcation
B135X8I_1_1,464,479,106.0,Bifurcation
B135X8I_1_1,335,339,97.0,End
B135X8I_1_1,418,408,101.0,Bifurcation
B135X8I_1_1,308,352,90.0,End
B135X8I_1_1,291,384,90.0,End
B136X8I_1_1,355,504,88.0,End
B136X8I_1_1,362,459,65.0,End
B136X8I_1_1,387,461,58.0,Bifurcation
B136X8I_1_1,364,509,59.0,Bifurcation
B136X8I_1_1,437,466,51.0,End
B136X8I_1_1,447,349,47.0,End
B136X8I_1_1,420,458,237.0,End
B136X8I_1_1,439,514,231.0,End
B136X8I_1_1,409,346,234.0,Bifurcation
B136X8I_1_1,479,590,217.0,Bifurcation
B136X8I_1_1,437,559,204.0,End
B136X8I_1_1,453,570,202.0,Bifurcation
B136X8I_1_1,449,591,191.0,Bifurcation
B136X8I_1_1,429,572,189.0,End
B136X8I_1_1,474,614,191.0,Bifurcation
B136X8I_1_1,275,485,102.0,Bifurcation
B136X8I_1_1,248,443,103.0,Bifurcation
B136X8I_1_1,298,445,96.0,End
B137X6I_1_1,451,333,10.0,Bifurcation
B137X6I_1_1,322,271,322.0,End
B137X6I_1_1,395,570,321.0,Bifurcation
B137X6I_1_1,378,354,312.0,End
B137X6I_1_1,291,342,305.0,Bifurcation
B137X6I_1_1,416,549,308.0,Bifurcation
B137X6I_1_1,246,304,308.0,Bifurcation
B137X6I_1_1,284,455,281.0,Bifurcation
B137X6I_1_1,324,492,274.0,Bifurcation
B137X6I_1_1,496,350,215.0,End
B137X6I_1_1,375,303,137.0,End
B137X6I_1_1,279,287,128.0,End
B137X6I_1_1,269,324,122.0,End
B137X6I_1_1,326,378,112.0,End
B137X6I_1_1,421,491,107.0,Bifurcation
B137X6I_1_1,245,470,104.0,End
B137X6I_1_1,492,431,96.0,End
B137X6I_1_1,460,424,98.0,End
B137X6I_1_1,300,442,95.0,Bifurcation
B138X3I_1_1,436,488,82.0,Bifurcation
B138X3I_1_1,459,519,69.0,Bifurcation
B138X3I_1_1,502,523,65.0,Bifurcation
B138X3I_1_1,540,434,61.0,Bifurcation
B138X3I_1_1,522,341,40.0,Bifurcation
B138X3I_1_1,448,441,18.0,End
B138X3I_1_1,533,403,234.0,End
B138X3I_1_1,526,409,231.0,End
B138X3I_1_1,545,336,205.0,Bifurcation
B138X3I_1_1,473,444,201.0,Bifurcation
B138X3I_1_1,416,406,135.0,End
B138X3I_1_1,393,451,108.0,Bifurcation
B139X2I_1_1,445,378,82.0,End
B139X2I_1_1,445,353,76.0,End
B139X2I_1_1,473,270,40.0,Bifurcation
B139X2I_1_1,423,234,356.0,Bifurcation
B139X2I_1_1,442,177,346.0,Bifurcation
B139X2I_1_1,528,259,223.0,Bifurcation
B139X2I_1_1,477,327,216.0,End
B139X2I_1_1,510,261,210.0,Bifurcation
B139X2I_1_1,442,274,162.0,End
B139X2I_1_1,442,327,151.0,End
B139X2I_1_1,388,258,142.0,End
B139X2I_1_1,351,312,135.0,End
B139X2I_1_1,352,343,126.0,End
B139X2I_1_1,390,342,122.0,End
B139X2I_1_1,432,337,118.0,End
B139X2I_1_1,364,364,108.0,End
B139X2I_1_1,408,338,110.0,End
B139X2I_1_1,382,386,103.0,Bifurcation
B139X2I_1_1,438,359,94.0,End
B139X2I_1_1,405,402,94.0,Bifurcation
B140X8I_1_1,368,541,83.0,Bifurcation
B140X8I_1_1,480,607,79.0,End
B140X8I_1_1,418,564,78.0,End
B140X8I_1_1,439,564,75.0,End
B140X8I_1_1,385,521,77.0,Bifurcation
B140X8I_1_1,436,524,69.0,Bifurcation
B140X8I_1_1,471,570,67.0,End
B140X8I_1_1,440,473,60.0,Bifurcation
B140X8I_1_1,501,584,57.0,End
B140X8I_1_1,381,419,43.0,Bifurcation
B140X8I_1_1,357,429,23.0,Bifurcation
B140X8I_1_1,332,472,6.0,Bifurcation
B140X8I_1_1,320,479,326.0,Bifurcation
B140X8I_1_1,305,453,306.0,Bifurcation
B140X8I_1_1,448,591,255.0,Bifurcation
B141X4I_1_1,424,409,70.0,End
B141X4I_1_1,349,471,68.0,End
B141X4I_1_1,420,447,49.0,Bifurcation
B141X4I_1_1,403,519,30.0,Bifurcation
B141X4I_1_1,303,266,329.0,End
B141X4I_1_1,331,287,325.0,Bifurcation
B141X4I_1_1,347,329,322.0,End
