"","fingerprint","minutia","x","y","angle","score_change"
"B105X2I_1_1#v2","B105X2I_1_1","v2",743,366,58,0.056005926
"B105X2I_1_1#v3","B105X2I_1_1","v3",691,505,352,-0.033197367
"B105X2I_1_1#v4","B105X2I_1_1","v4",674,532,351,-0.313530653
"B105X2I_1_1#v5","B105X2I_1_1","v5",640,541,327,-0.001442561
"B105X2I_1_1#v6","B105X2I_1_1","v6",604,538,319,-0.146754449
"B105X2I_1_1#v7","B105X2I_1_1","v7",605,471,319,0.259738969
"B105X2I_1_1#v8","B105X2I_1_1","v8",660,501,317,-0.322387607
"B105X2I_1_1#v9","B105X2I_1_1","v9",585,521,310,-0.137298804
"B105X2I_1_1#v10","B105X2I_1_1","v10",666,442,309,-0.321961896
"B105X2I_1_1#v11","B105X2I_1_1","v11",771,411,238,-0.481005652
"B105X2I_1_1#v12","B105X2I_1_1","v12",743,429,231,-0.109008683
"B105X2I_1_1#v13","B105X2I_1_1","v13",731,436,210,-0.177263277
"B105X2I_1_1#v14","B105X2I_1_1","v14",765,481,203,-0.274775101
"B105X2I_1_1#v15","B105X2I_1_1","v15",735,529,182,-0.123046448
"B105X2I_1_1#v16","B105X2I_1_1","v16",719,486,175,-0.086436504
"B105X2I_1_1#v17","B105X2I_1_1","v17",717,357,122,0.270943282
"B105X2I_1_1#v18","B105X2I_1_1","v18",705,383,119,0.400123013
"B106X8I_1_1#v0","B106X8I_1_1","v0",454,437,87,0.373825738
"B106X8I_1_1#v1","B106X8I_1_1","v1",460,398,83,0.019045449
"B106X8I_1_1#v2","B106X8I_1_1","v2",472,407,78,-0.248001846
"B106X8I_1_1#v3","B106X8I_1_1","v3",468,380,60,-0.108691853
"B106X8I_1_1#v4","B106X8I_1_1","v4",430,327,315,0.036024663
"B106X8I_1_1#v5","B106X8I_1_1","v5",364,347,304,-0.179303423
"B106X8I_1_1#v6","B106X8I_1_1","v6",380,431,297,-0.850274765
"B106X8I_1_1#v7","B106X8I_1_1","v7",484,326,207,-0.37707
"B106X8I_1_1#v8","B106X8I_1_1","v8",361,454,132,0.290075754
"B106X8I_1_1#v9","B106X8I_1_1","v9",421,299,131,-0.662560597
"B106X8I_1_1#v10","B106X8I_1_1","v10",440,350,128,-0.250518198
"B106X8I_1_1#v11","B106X8I_1_1","v11",458,360,129,-0.255117424
"B106X8I_1_1#v12","B106X8I_1_1","v12",450,378,102,-0.268214863
"B106X8I_1_1#v13","B106X8I_1_1","v13",428,449,105,-0.186061287
"B106X8I_1_1#v14","B106X8I_1_1","v14",434,472,103,-0.175445108
"B106X8I_1_1#v15","B106X8I_1_1","v15",440,414,103,-0.374353502
"B106X8I_1_1#v16","B106X8I_1_1","v16",441,482,92,-0.125496802
"B107X9I_1_1#v0","B107X9I_1_1","v0",392,405,88,0.077858067
"B107X9I_1_1#v1","B107X9I_1_1","v1",540,308,80,-0.155036681
"B107X9I_1_1#v2","B107X9I_1_1","v2",403,390,80,0.457858505
"B107X9I_1_1#v3","B107X9I_1_1","v3",485,224,9,0.195666585
"B107X9I_1_1#v4","B107X9I_1_1","v4",412,460,356,0.05533946
"B107X9I_1_1#v5","B107X9I_1_1","v5",484,504,345,0.181438201
"B107X9I_1_1#v6","B107X9I_1_1","v6",461,286,325,-0.380068862
"B107X9I_1_1#v7","B107X9I_1_1","v7",478,452,322,0.21167442
"B107X9I_1_1#v8","B107X9I_1_1","v8",443,278,312,-0.272654633
"B107X9I_1_1#v9","B107X9I_1_1","v9",521,466,289,0.0589671
"B107X9I_1_1#v10","B107X9I_1_1","v10",517,392,284,-0.299700188
"B107X9I_1_1#v11","B107X9I_1_1","v11",414,422,236,0.818705892
"B107X9I_1_1#v12","B107X9I_1_1","v12",499,234,176,-0.040944186
"B107X9I_1_1#v13","B107X9I_1_1","v13",436,443,175,-0.136609544
"B107X9I_1_1#v14","B107X9I_1_1","v14",456,411,153,-0.083600969
"B107X9I_1_1#v15","B107X9I_1_1","v15",493,447,142,0.172491003
"B107X9I_1_1#v16","B107X9I_1_1","v16",455,254,141,-0.05157401
"B107X9I_1_1#v17","B107X9I_1_1","v17",490,436,138,0.045528545
"B107X9I_1_1#v18","B107X9I_1_1","v18",527,440,116,0.269120999
"B107X9I_1_1#v19","B107X9I_1_1","v19",497,344,113,-0.19378473
"B107X9I_1_1#v20","B107X9I_1_1","v20",382,403,112,0.378554258
"B107X9I_1_1#v21","B107X9I_1_1","v21",502,361,104,-0.144995776
"B107X9I_1_1#v22","B107X9I_1_1","v22",442,338,98,-0.344320936
"B107X9I_1_1#v23","B107X9I_1_1","v23",517,324,90,-0.112673473
"B108X6I_1_1#v0","B108X6I_1_1","v0",460,340,51,0.15411099
"B108X6I_1_1#v1","B108X6I_1_1","v1",414,646,5,-0.025709631
"B108X6I_1_1#v2","B108X6I_1_1","v2",478,628,5,0.232548345
"B108X6I_1_1#v3","B108X6I_1_1","v3",394,613,353,-0.17044909
"B108X6I_1_1#v4","B108X6I_1_1","v4",453,611,351,-0.192282226
"B108X6I_1_1#v5","B108X6I_1_1","v5",443,582,337,-0.239277648
"B108X6I_1_1#v6","B108X6I_1_1","v6",468,526,331,-0.22766033
"B108X6I_1_1#v7","B108X6I_1_1","v7",435,570,322,-0.158059743
"B108X6I_1_1#v8","B108X6I_1_1","v8",412,575,321,-0.070725076
"B108X6I_1_1#v9","B108X6I_1_1","v9",414,547,317,-0.228334864
"B108X6I_1_1#v10","B108X6I_1_1","v10",450,527,320,-0.249668057
"B108X6I_1_1#v11","B108X6I_1_1","v11",395,538,310,-0.2420334
"B108X6I_1_1#v12","B108X6I_1_1","v12",497,547,168,0.234883129
"B108X6I_1_1#v13","B108X6I_1_1","v13",407,545,148,0.274869414
"B108X6I_1_1#v14","B108X6I_1_1","v14",445,374,92,0.086298387
"B108X6I_1_1#v15","B108X6I_1_1","v15",470,456,95,-0.119906241
"B108X6I_1_1#v16","B108X6I_1_1","v16",452,404,90,-0.052783687
"B108X6I_1_1#v17","B108X6I_1_1","v17",409,395,94,-0.07222188
"B109X4I_1_1#v0","B109X4I_1_1","v0",461,407,53,-0.001206274
"B109X4I_1_1#v1","B109X4I_1_1","v1",416,415,17,-0.017904033
"B109X4I_1_1#v2","B109X4I_1_1","v2",401,528,12,-0.103679084
"B109X4I_1_1#v3","B109X4I_1_1","v3",353,499,354,-0.152328653
"B109X4I_1_1#v4","B109X4I_1_1","v4",370,477,348,0.039940211
"B109X4I_1_1#v5","B109X4I_1_1","v5",392,458,342,-0.077156864
"B109X4I_1_1#v6","B109X4I_1_1","v6",330,480,333,0.132546639
"B109X4I_1_1#v7","B109X4I_1_1","v7",333,450,317,0.029908146
"B109X4I_1_1#v8","B109X4I_1_1","v8",373,462,315,0.035312771
"B109X4I_1_1#v9","B109X4I_1_1","v9",361,459,309,-0.28179384
"B109X4I_1_1#v10","B109X4I_1_1","v10",405,416,302,0.054617877
"B109X4I_1_1#v11","B109X4I_1_1","v11",336,410,295,-0.335470067
"B109X4I_1_1#v12","B109X4I_1_1","v12",319,284,297,-0.085935118
"B109X4I_1_1#v13","B109X4I_1_1","v13",392,423,288,-0.047525794
"B109X4I_1_1#v14","B109X4I_1_1","v14",340,324,291,-0.077596663
"B109X4I_1_1#v15","B109X4I_1_1","v15",380,385,289,0.175869592
"B109X4I_1_1#v16","B109X4I_1_1","v16",407,397,275,-0.057771715
"B109X4I_1_1#v17","B109X4I_1_1","v17",466,422,238,0.095229658
"B109X4I_1_1#v18","B109X4I_1_1","v18",444,407,235,-0.048473228
"B109X4I_1_1#v19","B109X4I_1_1","v19",488,438,223,0.063329904
"B109X4I_1_1#v20","B109X4I_1_1","v20",454,456,200,0.135614435
"B109X4I_1_1#v21","B109X4I_1_1","v21",324,348,117,-0.455597739
"B109X4I_1_1#v22","B109X4I_1_1","v22",390,349,106,-0.158393326
"B109X4I_1_1#v23","B109X4I_1_1","v23",424,358,99,-0.006844749
"B110X6I_1_1#v0","B110X6I_1_1","v0",405,503,346,0.177481946
"B110X6I_1_1#v1","B110X6I_1_1","v1",363,491,338,-1.218372232
"B110X6I_1_1#v2","B110X6I_1_1","v2",365,476,329,-1.310687797
"B110X6I_1_1#v3","B110X6I_1_1","v3",410,491,330,0.421274959
"B110X6I_1_1#v4","B110X6I_1_1","v4",435,181,324,-0.158144676
"B110X6I_1_1#v5","B110X6I_1_1","v5",451,473,314,-0.801347792
"B110X6I_1_1#v6","B110X6I_1_1","v6",366,457,300,-0.652952972
"B110X6I_1_1#v7","B110X6I_1_1","v7",386,193,300,-0.125683634
"B110X6I_1_1#v8","B110X6I_1_1","v8",428,451,295,-0.258797791
"B110X6I_1_1#v9","B110X6I_1_1","v9",281,284,294,0.226203232
"B110X6I_1_1#v10","B110X6I_1_1","v10",376,261,296,-0.626662736
"B110X6I_1_1#v11","B110X6I_1_1","v11",416,449,295,-0.136793177
"B110X6I_1_1#v12","B110X6I_1_1","v12",419,375,288,-0.294768923
"B110X6I_1_1#v13","B110X6I_1_1","v13",468,354,287,-0.520627338
"B110X6I_1_1#v14","B110X6I_1_1","v14",400,428,289,0.17169095
"B110X6I_1_1#v15","B110X6I_1_1","v15",471,407,285,-0.769323729
"B110X6I_1_1#v16","B110X6I_1_1","v16",323,391,285,-0.631205763
"B110X6I_1_1#v17","B110X6I_1_1","v17",418,349,286,-0.095917803
"B110X6I_1_1#v18","B110X6I_1_1","v18",262,276,135,0.27787612
"B110X6I_1_1#v19","B110X6I_1_1","v19",317,266,113,-0.195910342
"B110X6I_1_1#v20","B110X6I_1_1","v20",434,425,114,-1.164154382
"B110X6I_1_1#v21","B110X6I_1_1","v21",380,179,115,-0.070952152
"B110X6I_1_1#v22","B110X6I_1_1","v22",484,405,117,-0.488062954
"B110X6I_1_1#v23","B110X6I_1_1","v23",312,307,117,-0.731024347
"B110X6I_1_1#v24","B110X6I_1_1","v24",334,353,107,-0.030629073
"B110X6I_1_1#v25","B110X6I_1_1","v25",482,336,108,-0.141708385
"B110X6I_1_1#v26","B110X6I_1_1","v26",554,369,103,-0.103481394
"B110X6I_1_1#v27","B110X6I_1_1","v27",303,362,105,-0.070899389
"B110X6I_1_1#v28","B110X6I_1_1","v28",497,316,101,-0.181135495
"B110X6I_1_1#v29","B110X6I_1_1","v29",447,367,101,-0.224388834
"B110X6I_1_1#v30","B110X6I_1_1","v30",499,340,94,-0.196126408
"B111X7I_1_1#v0","B111X7I_1_1","v0",403,482,86,-0.395609285
"B111X7I_1_1#v1","B111X7I_1_1","v1",431,494,57,0.084805912
"B111X7I_1_1#v2","B111X7I_1_1","v2",421,463,59,-0.369606523
"B111X7I_1_1#v3","B111X7I_1_1","v3",490,429,46,-0.300186329
"B111X7I_1_1#v4","B111X7I_1_1","v4",500,323,44,-0.078611383
"B111X7I_1_1#v5","B111X7I_1_1","v5",396,412,45,-0.165243813
"B111X7I_1_1#v6","B111X7I_1_1","v6",421,395,42,-0.414526785
"B111X7I_1_1#v7","B111X7I_1_1","v7",444,377,30,-0.216249921
"B111X7I_1_1#v8","B111X7I_1_1","v8",429,338,19,-0.217954182
"B111X7I_1_1#v9","B111X7I_1_1","v9",336,362,349,-0.071150052
"B111X7I_1_1#v10","B111X7I_1_1","v10",474,372,209,-0.427141529
"B111X7I_1_1#v11","B111X7I_1_1","v11",452,271,198,0.308725524
"B111X7I_1_1#v12","B111X7I_1_1","v12",375,353,168,0.358790402
"B111X7I_1_1#v13","B111X7I_1_1","v13",305,280,151,-0.438675209
"B111X7I_1_1#v14","B111X7I_1_1","v14",299,337,143,-0.155871602
"B111X7I_1_1#v15","B111X7I_1_1","v15",423,510,117,0.420100434
"B112X2I_1_1#v0","B112X2I_1_1","v0",342,486,86,-0.192632796
"B112X2I_1_1#v1","B112X2I_1_1","v1",444,409,67,0.175678039
"B112X2I_1_1#v2","B112X2I_1_1","v2",401,298,15,-0.247468387
"B112X2I_1_1#v3","B112X2I_1_1","v3",389,358,9,-0.231496722
"B112X2I_1_1#v4","B112X2I_1_1","v4",372,253,356,-0.137748844
"B112X2I_1_1#v5","B112X2I_1_1","v5",416,498,276,-0.079597304
"B112X2I_1_1#v6","B112X2I_1_1","v6",305,573,242,0.122941388
"B112X2I_1_1#v7","B112X2I_1_1","v7",321,578,235,0.352287121
"B112X2I_1_1#v8","B112X2I_1_1","v8",447,391,223,-0.715076542
"B112X2I_1_1#v9","B112X2I_1_1","v9",401,385,167,-0.448029794
"B112X2I_1_1#v10","B112X2I_1_1","v10",379,299,157,-0.219192858
"B112X2I_1_1#v11","B112X2I_1_1","v11",344,281,144,-0.033911144
"B112X2I_1_1#v12","B112X2I_1_1","v12",411,428,130,-0.548975276
"B112X2I_1_1#v13","B112X2I_1_1","v13",424,515,119,0.085438076
"B112X2I_1_1#v14","B112X2I_1_1","v14",327,447,98,0.029604389
"B114X3I_1_1#v0","B114X3I_1_1","v0",489,364,78,-0.122034244
"B114X3I_1_1#v1","B114X3I_1_1","v1",498,335,78,-0.130242629
"B114X3I_1_1#v2","B114X3I_1_1","v2",494,379,59,-0.055481168
"B114X3I_1_1#v3","B114X3I_1_1","v3",478,434,325,-0.146628484
"B114X3I_1_1#v4","B114X3I_1_1","v4",504,290,317,0.181176236
"B114X3I_1_1#v5","B114X3I_1_1","v5",457,438,317,-0.042550326
"B114X3I_1_1#v6","B114X3I_1_1","v6",461,416,309,-0.145195998
"B114X3I_1_1#v7","B114X3I_1_1","v7",469,426,307,-0.078444525
"B114X3I_1_1#v8","B114X3I_1_1","v8",388,346,293,-0.134122294
"B114X3I_1_1#v9","B114X3I_1_1","v9",417,351,289,-0.123238123
"B114X3I_1_1#v10","B114X3I_1_1","v10",518,334,270,-0.062210335
"B114X3I_1_1#v11","B114X3I_1_1","v11",511,396,231,-0.145992965
"B114X3I_1_1#v12","B114X3I_1_1","v12",545,309,203,-0.05225979
"B114X3I_1_1#v13","B114X3I_1_1","v13",542,245,195,0.072518323
"B114X3I_1_1#v14","B114X3I_1_1","v14",510,276,133,-0.127109686
"B114X3I_1_1#v15","B114X3I_1_1","v15",441,319,104,-0.063683308
"B114X3I_1_1#v16","B114X3I_1_1","v16",486,316,92,-0.217165632
"B115X8I_1_1#v0","B115X8I_1_1","v0",487,348,351,0.023987251
"B115X8I_1_1#v1","B115X8I_1_1","v1",418,332,303,0.126310447
"B115X8I_1_1#v2","B115X8I_1_1","v2",394,511,291,0.126182768
"B115X8I_1_1#v3","B115X8I_1_1","v3",381,300,292,0.126182768
"B115X8I_1_1#v4","B115X8I_1_1","v4",426,478,287,0.126619042
"B115X8I_1_1#v5","B115X8I_1_1","v5",439,398,285,-0.14717291
"B115X8I_1_1#v6","B115X8I_1_1","v6",390,392,284,0.131294644
"B115X8I_1_1#v7","B115X8I_1_1","v7",457,436,285,-0.050928119
"B115X8I_1_1#v8","B115X8I_1_1","v8",403,428,281,-0.030524657
"B115X8I_1_1#v9","B115X8I_1_1","v9",325,436,278,0.029633176
"B115X8I_1_1#v10","B115X8I_1_1","v10",492,364,131,0.021801051
"B115X8I_1_1#v11","B115X8I_1_1","v11",452,380,119,-0.0812714
"B115X8I_1_1#v12","B115X8I_1_1","v12",355,504,118,0.040591742
"B115X8I_1_1#v13","B115X8I_1_1","v13",439,378,112,-0.060179484
"B115X8I_1_1#v14","B115X8I_1_1","v14",417,478,109,0.126182768
"B115X8I_1_1#v15","B115X8I_1_1","v15",397,423,100,0.137506458
"B116X6I_1_1#v0","B116X6I_1_1","v0",430,322,39,-0.897568082
"B116X6I_1_1#v1","B116X6I_1_1","v1",444,224,3,0.192501089
"B116X6I_1_1#v2","B116X6I_1_1","v2",403,452,293,-0.897568082
"B116X6I_1_1#v3","B116X6I_1_1","v3",451,265,182,-0.334567224
"B116X6I_1_1#v4","B116X6I_1_1","v4",422,407,111,-0.897568082
"B116X6I_1_1#v5","B116X6I_1_1","v5",402,367,104,0.146689043
"B116X6I_1_1#v6","B116X6I_1_1","v6",412,363,92,0.336821171
"B117X0I_1_1#v0","B117X0I_1_1","v0",298,360,84,-0.170718889
"B117X0I_1_1#v1","B117X0I_1_1","v1",291,283,50,-0.675959041
"B117X0I_1_1#v2","B117X0I_1_1","v2",268,298,50,0.147316751
"B117X0I_1_1#v3","B117X0I_1_1","v3",243,234,7,-0.193074704
"B117X0I_1_1#v4","B117X0I_1_1","v4",282,434,348,-0.069952585
"B117X0I_1_1#v5","B117X0I_1_1","v5",258,236,188,-0.124446199
"B117X0I_1_1#v6","B117X0I_1_1","v6",259,358,125,0.136909248
"B117X0I_1_1#v7","B117X0I_1_1","v7",269,384,125,0.014154549
"B117X0I_1_1#v8","B117X0I_1_1","v8",264,366,115,-0.110132124
"B117X0I_1_1#v9","B117X0I_1_1","v9",165,346,118,0.003376665
"B117X0I_1_1#v10","B117X0I_1_1","v10",186,338,103,0.024997594
"B117X0I_1_1#v11","B117X0I_1_1","v11",287,347,90,-0.130079682
"B118X8I_1_1#v0","B118X8I_1_1","v0",404,301,51,-0.034709005
"B118X8I_1_1#v1","B118X8I_1_1","v1",424,311,52,0.029756968
"B118X8I_1_1#v2","B118X8I_1_1","v2",376,346,325,0.012093338
"B118X8I_1_1#v3","B118X8I_1_1","v3",377,297,326,0.023353508
"B118X8I_1_1#v4","B118X8I_1_1","v4",365,366,311,0.056667869
"B118X8I_1_1#v5","B118X8I_1_1","v5",341,263,312,0.054718961
"B118X8I_1_1#v6","B118X8I_1_1","v6",349,355,305,0.057450755
"B118X8I_1_1#v7","B118X8I_1_1","v7",372,334,309,-0.010813617
"B118X8I_1_1#v8","B118X8I_1_1","v8",350,321,292,-0.03849747
"B118X8I_1_1#v9","B118X8I_1_1","v9",406,327,204,-0.26056648
"B118X8I_1_1#v10","B118X8I_1_1","v10",327,256,122,0.054718961
"B119X0I_1_1#v0","B119X0I_1_1","v0",470,458,85,-0.097752392
"B119X0I_1_1#v1","B119X0I_1_1","v1",553,493,80,-0.113619921
"B119X0I_1_1#v2","B119X0I_1_1","v2",484,382,33,-0.132148804
"B119X0I_1_1#v3","B119X0I_1_1","v3",481,400,23,-0.214862262
"B119X0I_1_1#v4","B119X0I_1_1","v4",436,333,339,0.05849927
"B119X0I_1_1#v5","B119X0I_1_1","v5",458,392,341,-0.006807385
"B119X0I_1_1#v6","B119X0I_1_1","v6",460,411,324,0.047299204
"B119X0I_1_1#v7","B119X0I_1_1","v7",416,367,316,-0.173034032
"B119X0I_1_1#v8","B119X0I_1_1","v8",436,386,313,-0.012520693
"B119X0I_1_1#v9","B119X0I_1_1","v9",338,374,297,0.092729052
"B119X0I_1_1#v10","B119X0I_1_1","v10",470,380,150,0.315506058
"B119X0I_1_1#v11","B119X0I_1_1","v11",472,402,143,0.194941655
"B119X0I_1_1#v12","B119X0I_1_1","v12",516,501,97,-0.203041565
"B120X9I_1_1#v0","B120X9I_1_1","v0",442,586,346,-0.257510287
"B120X9I_1_1#v1","B120X9I_1_1","v1",410,586,338,-0.046992209
"B120X9I_1_1#v2","B120X9I_1_1","v2",411,558,328,-0.591270885
"B120X9I_1_1#v3","B120X9I_1_1","v3",380,565,330,-0.476907777
"B120X9I_1_1#v4","B120X9I_1_1","v4",442,539,324,0.352348825
"B120X9I_1_1#v5","B120X9I_1_1","v5",402,529,316,-0.521613871
"B120X9I_1_1#v6","B120X9I_1_1","v6",374,524,317,-0.434682213
"B120X9I_1_1#v7","B120X9I_1_1","v7",464,376,316,0.501313379
"B120X9I_1_1#v8","B120X9I_1_1","v8",360,408,293,-0.098184009
"B120X9I_1_1#v9","B120X9I_1_1","v9",466,452,282,0.018204812
"B120X9I_1_1#v10","B120X9I_1_1","v10",468,440,278,0.118518813
"B120X9I_1_1#v11","B120X9I_1_1","v11",475,429,278,0.286921401
"B120X9I_1_1#v12","B120X9I_1_1","v12",408,593,171,-0.30367201
"B120X9I_1_1#v13","B120X9I_1_1","v13",484,446,122,-0.171472925
"B120X9I_1_1#v14","B120X9I_1_1","v14",448,372,118,0.618573109
"B120X9I_1_1#v15","B120X9I_1_1","v15",364,389,117,-0.50822702
"B120X9I_1_1#v16","B120X9I_1_1","v16",498,456,112,-0.28011953
"B120X9I_1_1#v17","B120X9I_1_1","v17",478,415,104,0.116732565
"B120X9I_1_1#v18","B120X9I_1_1","v18",456,422,99,-0.075346328
"B121X7I_1_1#v0","B121X7I_1_1","v0",453,367,62,0.014112198
"B121X7I_1_1#v1","B121X7I_1_1","v1",339,423,42,-0.044050264
"B121X7I_1_1#v2","B121X7I_1_1","v2",349,519,9,0.05019923
"B121X7I_1_1#v3","B121X7I_1_1","v3",391,511,2,-0.058052377
"B121X7I_1_1#v4","B121X7I_1_1","v4",451,509,356,-0.080074434
"B121X7I_1_1#v5","B121X7I_1_1","v5",442,471,347,-0.296187189
"B121X7I_1_1#v6","B121X7I_1_1","v6",465,449,346,0.214223182
"B121X7I_1_1#v7","B121X7I_1_1","v7",388,479,345,0.369950986
"B121X7I_1_1#v8","B121X7I_1_1","v8",407,463,333,-0.818540197
"B121X7I_1_1#v9","B121X7I_1_1","v9",458,427,327,-0.003787333
"B121X7I_1_1#v10","B121X7I_1_1","v10",383,405,324,-0.902808128
"B121X7I_1_1#v11","B121X7I_1_1","v11",440,422,321,0.031583362
"B121X7I_1_1#v12","B121X7I_1_1","v12",387,434,320,-0.527963714
"B121X7I_1_1#v13","B121X7I_1_1","v13",381,385,315,-0.127002475
"B121X7I_1_1#v14","B121X7I_1_1","v14",352,487,194,0.042592444
"B121X7I_1_1#v15","B121X7I_1_1","v15",405,513,192,-0.350292972
"B121X7I_1_1#v16","B121X7I_1_1","v16",359,535,192,-0.732556346
"B121X7I_1_1#v17","B121X7I_1_1","v17",466,506,166,-0.6389454
"B121X7I_1_1#v18","B121X7I_1_1","v18",401,400,144,0.007845077
"B121X7I_1_1#v19","B121X7I_1_1","v19",393,371,135,-0.141987637
"B121X7I_1_1#v20","B121X7I_1_1","v20",421,366,132,0.38444817
"B122X4I_1_1#v0","B122X4I_1_1","v0",429,312,75,-0.024221352
"B122X4I_1_1#v1","B122X4I_1_1","v1",354,377,62,-0.00481555
"B122X4I_1_1#v2","B122X4I_1_1","v2",423,251,44,0.101606867
"B122X4I_1_1#v3","B122X4I_1_1","v3",343,411,39,0.286826876
"B122X4I_1_1#v4","B122X4I_1_1","v4",427,236,37,0.298172584
"B122X4I_1_1#v5","B122X4I_1_1","v5",387,380,135,-0.648015881
"B122X4I_1_1#v6","B122X4I_1_1","v6",409,394,113,-0.637832356
"B122X4I_1_1#v7","B122X4I_1_1","v7",398,336,98,-0.388453471
"B122X4I_1_1#v8","B122X4I_1_1","v8",354,327,91,-0.273376906
"B122X4I_1_1#v9","B122X4I_1_1","v9",427,352,94,-0.364987257
"B123X1I_1_1#v0","B123X1I_1_1","v0",294,444,81,-0.050156194
"B123X1I_1_1#v1","B123X1I_1_1","v1",404,443,74,-0.190811476
"B123X1I_1_1#v2","B123X1I_1_1","v2",420,410,69,-0.020755306
"B123X1I_1_1#v3","B123X1I_1_1","v3",418,438,62,-0.104275852
"B123X1I_1_1#v4","B123X1I_1_1","v4",379,464,65,-0.316054509
"B123X1I_1_1#v5","B123X1I_1_1","v5",450,402,51,0.122191053
"B123X1I_1_1#v6","B123X1I_1_1","v6",475,340,54,0.030551825
"B123X1I_1_1#v7","B123X1I_1_1","v7",471,536,14,0.115029802
"B123X1I_1_1#v8","B123X1I_1_1","v8",413,384,7,-0.191347128
"B123X1I_1_1#v9","B123X1I_1_1","v9",245,501,8,-0.19211883
"B123X1I_1_1#v10","B123X1I_1_1","v10",405,360,350,-0.29810552
"B123X1I_1_1#v11","B123X1I_1_1","v11",357,368,310,-0.257976557
"B123X1I_1_1#v12","B123X1I_1_1","v12",364,403,294,-0.365335941
"B123X1I_1_1#v13","B123X1I_1_1","v13",355,504,250,-0.154716395
"B123X1I_1_1#v14","B123X1I_1_1","v14",323,482,245,-0.105606954
"B123X1I_1_1#v15","B123X1I_1_1","v15",487,385,233,0.060195484
