classifer_name,dataset_name,accuracy
ISOF,ecoli-0-1-4-7_vs_5-6,0.824104235
BRM,ecoli-0-1-4-7_vs_5-6,0.986840391
GMM,ecoli-0-1-4-7_vs_5-6,0.812117264
ocSVM,ecoli-0-3-4_vs_5,0.823333333
ISOF,ecoli-0-3-4_vs_5,0.844444444
BRM,ecoli-0-3-4_vs_5,0.994722222
GMM,ecoli-0-3-4_vs_5,0.781666667
ocSVM,ecoli-0-3-4-6_vs_5,0.785675676
ISOF,ecoli-0-3-4-6_vs_5,0.779459459
BRM,ecoli-0-3-4-6_vs_5,0.995405405
GMM,ecoli-0-3-4-6_vs_5,0.767297297
ocSVM,ecoli-0-2-3-4_vs_5,0.81978022
ISOF,ecoli-0-2-3-4_vs_5,0.820054945
BRM,ecoli-0-2-3-4_vs_5,0.995879121
GMM,ecoli-0-2-3-4_vs_5,0.782417582
ocSVM,ecoli-0-1-4-6_vs_5,0.789230769
ISOF,ecoli-0-1-4-6_vs_5,0.792307692
BRM,ecoli-0-1-4-6_vs_5,0.997307692
GMM,ecoli-0-1-4-6_vs_5,0.788076923
ocSVM,ecoli-0-2-6-7_vs_3-5,0.804905491
ISOF,ecoli-0-2-6-7_vs_3-5,0.795229523
BRM,ecoli-0-2-6-7_vs_3-5,0.981323132
GMM,ecoli-0-2-6-7_vs_3-5,0.802655266
ocSVM,ecoli-0-3-4-7_vs_5-6,0.802758621
ISOF,ecoli-0-3-4-7_vs_5-6,0.810689655
BRM,ecoli-0-3-4-7_vs_5-6,0.982068966
GMM,ecoli-0-3-4-7_vs_5-6,0.796551724
ocSVM,ecoli-0-6-7_vs_3-5,0.804090909
ISOF,ecoli-0-6-7_vs_3-5,0.787045455
BRM,ecoli-0-6-7_vs_3-5,0.977954545
GMM,ecoli-0-6-7_vs_3-5,0.805454545
ocSVM,glass0,0.69890873
ISOF,glass0,0.725099206
BRM,glass0,0.870337302
GMM,glass0,0.700198413
ocSVM,glass-0-1-4-6_vs_2,0.636733417
ISOF,glass-0-1-4-6_vs_2,0.63767209
BRM,glass-0-1-4-6_vs_2,0.948685857
GMM,glass-0-1-4-6_vs_2,0.510951189
ocSVM,ecoli4,0.840664557
ISOF,ecoli4,0.828322785
BRM,ecoli4,0.998734177
GMM,ecoli4,0.868037975
ocSVM,ecoli2,0.516048212
ISOF,ecoli2,0.528643012
BRM,ecoli2,0.967768147
GMM,ecoli2,0.580985915
ocSVM,flare-F,0.821671327
ISOF,flare-F,0.787480961
BRM,flare-F,0.94036009
GMM,flare-F,0.820943872
ocSVM,ecoli3,0.5505458
ISOF,ecoli3,0.677456099
BRM,ecoli3,0.970099668
GMM,ecoli3,0.605505458
ocSVM,ecoli1,0.588326731
ISOF,ecoli1,0.680589681
BRM,ecoli1,0.968911397
GMM,ecoli1,0.596399739
ocSVM,glass-0-1-2-3_vs_4-5-6,0.855046313
ISOF,glass-0-1-2-3_vs_4-5-6,0.880909419
BRM,glass-0-1-2-3_vs_4-5-6,0.995308553
GMM,glass-0-1-2-3_vs_4-5-6,0.849151931
ocSVM,ecoli-0-6-7_vs_5,0.78075
ISOF,ecoli-0-6-7_vs_5,0.80225
BRM,ecoli-0-6-7_vs_5,0.99
GMM,ecoli-0-6-7_vs_5,0.78375
ocSVM,glass5,0.546883469
ISOF,glass5,0.719241192
BRM,glass5,1
GMM,glass5,0.609214092
ocSVM,glass-0-1-6_vs_2,0.602689076
ISOF,glass-0-1-6_vs_2,0.605714286
BRM,glass-0-1-6_vs_2,0.957983193
GMM,glass-0-1-6_vs_2,0.554957983
ocSVM,glass1,0.538996949
ISOF,glass1,0.528032037
BRM,glass1,0.869565217
GMM,glass1,0.582761251
ocSVM,glass-0-1-6_vs_5,0.671746032
ISOF,glass-0-1-6_vs_5,0.74031746
BRM,glass-0-1-6_vs_5,1
GMM,glass-0-1-6_vs_5,0.642539683
ocSVM,glass-0-4_vs_5,0.564926372
ISOF,glass-0-4_vs_5,0.765729585
BRM,glass-0-4_vs_5,0.995983936
GMM,glass-0-4_vs_5,0.738955823
ocSVM,glass4,0.845388442
ISOF,glass4,0.863375431
BRM,glass4,1
GMM,glass4,0.79793341
ocSVM,glass2,0.664676023
ISOF,glass2,0.632726187
BRM,glass2,0.950731562
GMM,glass2,0.530008958
ocSVM,glass-0-1-5_vs_2,0.578368121
ISOF,glass-0-1-5_vs_2,0.532447818
BRM,glass-0-1-5_vs_2,0.8971537
GMM,glass-0-1-5_vs_2,0.609487666
ocSVM,glass-0-6_vs_5,0.581369248
ISOF,glass-0-6_vs_5,0.692480359
BRM,glass-0-6_vs_5,1
GMM,glass-0-6_vs_5,0.591470258
ocSVM,glass6,0.850326188
ISOF,glass6,0.873252563
BRM,glass6,0.994408201
GMM,glass6,0.8583411
ocSVM,kr-vs-k-one_vs_fifteen,1
ISOF,kr-vs-k-one_vs_fifteen,0.998875394
BRM,kr-vs-k-one_vs_fifteen,1
GMM,kr-vs-k-one_vs_fifteen,0.999887539
ocSVM,kr-vs-k-three_vs_eleven,0.707423845
ISOF,kr-vs-k-three_vs_eleven,0.717433621
BRM,kr-vs-k-three_vs_eleven,0.999744781
GMM,kr-vs-k-three_vs_eleven,0.785326205
ocSVM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.714851551
ISOF,led7digit-0-2-4-5-6-7-8-9_vs_1,0.641026494
BRM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.961889229
GMM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.546897883
ocSVM,lymphography-normal-fibrosis,0.992957746
ISOF,lymphography-normal-fibrosis,1
BRM,lymphography-normal-fibrosis,0.5
GMM,lymphography-normal-fibrosis,0.96713615
ocSVM,new-thyroid1,0.868730159
ISOF,new-thyroid1,0.869365079
BRM,new-thyroid1,1
GMM,new-thyroid1,0.813333333
ocSVM,iris0,0.6122
ISOF,iris0,0.509
BRM,iris0,1
GMM,iris0,0.502
ocSVM,kr-vs-k-zero_vs_eight,0.676332997
ISOF,kr-vs-k-zero_vs_eight,0.757540513
BRM,kr-vs-k-zero_vs_eight,0.999586467
GMM,kr-vs-k-zero_vs_eight,0.744669303
ocSVM,habermanImb,0.597585734
ISOF,habermanImb,0.635336077
BRM,habermanImb,0.784636488
GMM,habermanImb,0.569876543
ocSVM,kr-vs-k-zero_vs_fifteen,1
ISOF,kr-vs-k-zero_vs_fifteen,1
BRM,kr-vs-k-zero_vs_fifteen,1
GMM,kr-vs-k-zero_vs_fifteen,1
ocSVM,kr-vs-k-zero-one_vs_draw,0.758890251
ISOF,kr-vs-k-zero-one_vs_draw,0.757933102
BRM,kr-vs-k-zero-one_vs_draw,0.999254036
GMM,kr-vs-k-zero-one_vs_draw,0.960719395
ocSVM,poker-8_vs_6,0.523489122
ISOF,poker-8_vs_6,0.546494762
BRM,poker-8_vs_6,0.997260274
GMM,poker-8_vs_6,0.520185334
ocSVM,poker-9_vs_7,0.879766949
ISOF,poker-9_vs_7,0.943326271
BRM,poker-9_vs_7,1
GMM,poker-9_vs_7,0.962923729
ocSVM,new-thyroid2,0.885396825
ISOF,new-thyroid2,0.859206349
BRM,new-thyroid2,1
GMM,new-thyroid2,0.813333333
ocSVM,segment0,0.770368505
ISOF,segment0,0.804168695
BRM,segment0,0.999752723
GMM,segment0,0.717140922
ocSVM,pimaImb,0.624298507
ISOF,pimaImb,0.683753731
BRM,pimaImb,0.884156716
GMM,pimaImb,0.674447761
ocSVM,page-blocks-1-3_vs_4,0.656692407
ISOF,page-blocks-1-3_vs_4,0.859314672
BRM,page-blocks-1-3_vs_4,0.998712999
GMM,page-blocks-1-3_vs_4,0.67286036
ocSVM,poker-8-9_vs_6,0.593232877
ISOF,poker-8-9_vs_6,0.626273973
BRM,poker-8-9_vs_6,0.998328767
GMM,poker-8-9_vs_6,0.646931507
ocSVM,page-blocks0,0.908748357
ISOF,page-blocks0,0.902993118
BRM,page-blocks0,0.985579677
GMM,page-blocks0,0.912184169
ocSVM,shuttle-2_vs_5,0.990454951
ISOF,shuttle-2_vs_5,0.990373744
BRM,shuttle-2_vs_5,1
GMM,shuttle-2_vs_5,0.973807337
ocSVM,poker-8-9_vs_5,0.585014634
ISOF,poker-8-9_vs_5,0.57742439
BRM,poker-8-9_vs_5,0.92177561
GMM,poker-8-9_vs_5,0.65635122
ocSVM,shuttle-6_vs_2-3,0.979545455
ISOF,shuttle-6_vs_2-3,0.968636364
BRM,shuttle-6_vs_2-3,1
GMM,shuttle-6_vs_2-3,0.931363636
ocSVM,vehicle1,0.506458207
ISOF,vehicle1,0.557611013
BRM,vehicle1,0.911262849
GMM,vehicle1,0.549383485
ocSVM,winequality-red-4,0.605384559
ISOF,winequality-red-4,0.583099417
BRM,winequality-red-4,0.927847885
GMM,winequality-red-4,0.575166589
ocSVM,vehicle2,0.507348215
ISOF,vehicle2,0.602568223
BRM,vehicle2,0.997428855
GMM,vehicle2,0.567346462
ocSVM,shuttle-c0-vs-c4,0.997931738
ISOF,shuttle-c0-vs-c4,0.999142195
BRM,shuttle-c0-vs-c4,1
GMM,shuttle-c0-vs-c4,0.997312212
ocSVM,vehicle3,0.535898161
ISOF,vehicle3,0.590775847
BRM,vehicle3,0.897059699
GMM,vehicle3,0.518629843
ocSVM,vowel0,0.93386538
ISOF,vowel0,0.908030191
BRM,vowel0,1
GMM,vowel0,0.793046276
ocSVM,shuttle-c2-vs-c4,0.972899729
ISOF,shuttle-c2-vs-c4,0.974254743
BRM,shuttle-c2-vs-c4,1
GMM,shuttle-c2-vs-c4,0.974254743
ocSVM,winequality-red-3_vs_5,0.814537445
ISOF,winequality-red-3_vs_5,0.794126285
BRM,winequality-red-3_vs_5,0.97195301
GMM,winequality-red-3_vs_5,0.797356828
ocSVM,vehicle0,0.54244173
ISOF,vehicle0,0.529261454
BRM,vehicle0,0.997607823
GMM,vehicle0,0.604521836
ocSVM,winequality-white-3_vs_7,0.844829545
ISOF,winequality-white-3_vs_7,0.841647727
BRM,winequality-white-3_vs_7,0.983977273
GMM,winequality-white-3_vs_7,0.889147727
ocSVM,yeast-0-2-5-6_vs_3-7-8-9,0.728109828
ISOF,yeast-0-2-5-6_vs_3-7-8-9,0.727373179
BRM,yeast-0-2-5-6_vs_3-7-8-9,0.871019588
GMM,yeast-0-2-5-6_vs_3-7-8-9,0.702829399
ocSVM,yeast-0-2-5-7-9_vs_3-6-8,0.776538869
ISOF,yeast-0-2-5-7-9_vs_3-6-8,0.816351359
BRM,yeast-0-2-5-7-9_vs_3-6-8,0.942586082
GMM,yeast-0-2-5-7-9_vs_3-6-8,0.743713377
ocSVM,yeast-0-5-6-7-9_vs_4,0.635590085
ISOF,yeast-0-5-6-7-9_vs_4,0.628807498
BRM,yeast-0-5-6-7-9_vs_4,0.926419205
GMM,yeast-0-5-6-7-9_vs_4,0.654170263
ocSVM,winequality-red-8_vs_6-7,0.581375282
ISOF,winequality-red-8_vs_6-7,0.611509359
BRM,winequality-red-8_vs_6-7,0.967410062
GMM,winequality-red-8_vs_6-7,0.582370901
ocSVM,winequality-red-8_vs_6,0.634447928
ISOF,winequality-red-8_vs_6,0.645768025
BRM,winequality-red-8_vs_6,0.963949843
GMM,winequality-red-8_vs_6,0.61938349
ocSVM,yeast-0-3-5-9_vs_7-8,0.614561404
ISOF,yeast-0-3-5-9_vs_7-8,0.603508772
BRM,yeast-0-3-5-9_vs_7-8,0.870219298
GMM,yeast-0-3-5-9_vs_7-8,0.6125
ocSVM,winequality-white-3-9_vs_5,0.784516129
ISOF,winequality-white-3-9_vs_5,0.832203157
BRM,winequality-white-3-9_vs_5,0.931557996
GMM,winequality-white-3-9_vs_5,0.816142759
ocSVM,winequality-white-9_vs_4,0.655214724
ISOF,winequality-white-9_vs_4,0.682208589
BRM,winequality-white-9_vs_4,1
GMM,winequality-white-9_vs_4,0.76809816
ocSVM,wisconsinImb,0.952325757
ISOF,wisconsinImb,0.986175506
BRM,wisconsinImb,0.995589732
GMM,wisconsinImb,0.972388707
ocSVM,yeast-1-2-8-9_vs_7,0.642093784
ISOF,yeast-1-2-8-9_vs_7,0.592039258
BRM,yeast-1-2-8-9_vs_7,0.79654671
GMM,yeast-1-2-8-9_vs_7,0.629916394
ocSVM,yeast1,0.535463273
ISOF,yeast1,0.510127156
BRM,yeast1,0.825696263
GMM,yeast1,0.539524299
ocSVM,yeast3,0.570756491
ISOF,yeast3,0.592231206
BRM,yeast3,0.979737418
GMM,yeast3,0.614718353
ocSVM,yeast-1_vs_7,0.665345765
ISOF,yeast-1_vs_7,0.634032634
BRM,yeast-1_vs_7,0.84009324
GMM,yeast-1_vs_7,0.644133644
ocSVM,yeast-1-4-5-8_vs_7,0.543891403
ISOF,yeast-1-4-5-8_vs_7,0.530467572
BRM,yeast-1-4-5-8_vs_7,0.895223731
GMM,yeast-1-4-5-8_vs_7,0.525992961
ocSVM,yeast6,0.737336094
ISOF,yeast6,0.736448782
BRM,yeast6,0.944769792
GMM,yeast6,0.694725426
ocSVM,yeast-2_vs_8,0.747619048
ISOF,yeast-2_vs_8,0.752813853
BRM,yeast-2_vs_8,0.88961039
GMM,yeast-2_vs_8,0.754761905
ocSVM,yeast4,0.704295117
ISOF,yeast4,0.721563154
BRM,yeast4,0.924524171
GMM,yeast4,0.703843575
ocSVM,yeast-2_vs_4,0.837335366
ISOF,yeast-2_vs_4,0.870791513
BRM,yeast-2_vs_4,0.988353873
GMM,yeast-2_vs_4,0.810824546
ocSVM,yeast5,0.839125631
ISOF,yeast5,0.880003157
BRM,yeast5,0.994065657
GMM,yeast5,0.787847222
ocSVM,abalone-17_vs_7-8-9-10,0.735964912
ISOF,abalone-17_vs_7-8-9-10,0.714549304
BRM,abalone-17_vs_7-8-9-10,0.916878403
GMM,abalone-17_vs_7-8-9-10,0.824153055
ocSVM,abalone19,0.510690789
ISOF,abalone19,0.518144918
BRM,abalone19,0.912519616
GMM,abalone19,0.693611178
ocSVM,abalone9-18,0.778664731
ISOF,abalone9-18,0.743244177
BRM,abalone9-18,0.935171746
GMM,abalone9-18,0.839553528
ocSVM,abalone-3_vs_11,0.997809719
ISOF,abalone-3_vs_11,0.992881588
BRM,abalone-3_vs_11,1
GMM,abalone-3_vs_11,0.960985626
ocSVM,zoo-3,0.516666667
ISOF,zoo-3,0.660416667
BRM,zoo-3,1
GMM,zoo-3,0.877083333
