classifier_name,dataset_name,accuracy
GMM,ecoli-0-3-4_vs_5,0.781666667
ocSVM,ecoli-0-3-4-6_vs_5,0.75972973
ISOF,ecoli-0-3-4-6_vs_5,0.802162162
BRM,ecoli-0-3-4-6_vs_5,0.993243243
GMM,ecoli-0-3-4-6_vs_5,0.767297297
ocSVM,ecoli-0-2-3-4_vs_5,0.793406593
ISOF,ecoli-0-2-3-4_vs_5,0.825274725
BRM,ecoli-0-2-3-4_vs_5,0.994505495
GMM,ecoli-0-2-3-4_vs_5,0.782417582
ocSVM,ecoli-0-1-4-6_vs_5,0.757115385
ISOF,ecoli-0-1-4-6_vs_5,0.835576923
BRM,ecoli-0-1-4-6_vs_5,0.995769231
GMM,ecoli-0-1-4-6_vs_5,0.788076923
ocSVM,ecoli-0-2-6-7_vs_3-5,0.804230423
ISOF,ecoli-0-2-6-7_vs_3-5,0.788253825
BRM,ecoli-0-2-6-7_vs_3-5,0.960171017
GMM,ecoli-0-2-6-7_vs_3-5,0.802655266
ocSVM,ecoli-0-3-4-7_vs_5-6,0.769655172
ISOF,ecoli-0-3-4-7_vs_5-6,0.804827586
BRM,ecoli-0-3-4-7_vs_5-6,0.963275862
GMM,ecoli-0-3-4-7_vs_5-6,0.796551724
ocSVM,ecoli-0-6-7_vs_3-5,0.809545455
ISOF,ecoli-0-6-7_vs_3-5,0.823409091
BRM,ecoli-0-6-7_vs_3-5,0.969545455
GMM,ecoli-0-6-7_vs_3-5,0.805454545
ocSVM,glass0,0.669642857
ISOF,glass0,0.716369048
BRM,glass0,0.830059524
GMM,glass0,0.683134921
ocSVM,glass-0-1-4-6_vs_2,0.733416771
ISOF,glass-0-1-4-6_vs_2,0.613892365
BRM,glass-0-1-4-6_vs_2,0.529098874
GMM,glass-0-1-4-6_vs_2,0.541927409
ocSVM,ecoli4,0.785126582
ISOF,ecoli4,0.791139241
BRM,ecoli4,0.998892405
GMM,ecoli4,0.868037975
ocSVM,ecoli2,0.554577465
ISOF,ecoli2,0.578209642
BRM,ecoli2,0.97088299
GMM,ecoli2,0.580985915
ocSVM,flare-F,0.789754257
ISOF,flare-F,0.765452727
BRM,flare-F,0.949271409
GMM,flare-F,0.820943872
ocSVM,ecoli3,0.574560987
ISOF,ecoli3,0.661983863
BRM,ecoli3,0.963644993
GMM,ecoli3,0.605505458
ocSVM,ecoli1,0.624429624
ISOF,ecoli1,0.65160708
BRM,ecoli1,0.964398536
GMM,ecoli1,0.596399739
ocSVM,glass-0-1-2-3_vs_4-5-6,0.790689282
ISOF,glass-0-1-2-3_vs_4-5-6,0.880067364
BRM,glass-0-1-2-3_vs_4-5-6,0.975460123
GMM,glass-0-1-2-3_vs_4-5-6,0.852159269
ocSVM,ecoli-0-6-7_vs_5,0.77925
ISOF,ecoli-0-6-7_vs_5,0.779
BRM,ecoli-0-6-7_vs_5,0.96825
GMM,ecoli-0-6-7_vs_5,0.78375
ocSVM,glass5,0.550677507
ISOF,glass5,0.711653117
BRM,glass5,0.944715447
GMM,glass5,0.629810298
ocSVM,glass-0-1-6_vs_2,0.737478992
ISOF,glass-0-1-6_vs_2,0.620168067
BRM,glass-0-1-6_vs_2,0.565714286
GMM,glass-0-1-6_vs_2,0.501176471
ocSVM,glass1,0.505625477
ISOF,glass1,0.542810831
BRM,glass1,0.572559115
GMM,glass1,0.585144928
ocSVM,glass-0-1-6_vs_5,0.524444444
ISOF,glass-0-1-6_vs_5,0.754285714
BRM,glass-0-1-6_vs_5,0.951746032
GMM,glass-0-1-6_vs_5,0.657777778
ocSVM,glass-0-4_vs_5,0.53815261
ISOF,glass-0-4_vs_5,0.765729585
BRM,glass-0-4_vs_5,0.987951807
GMM,glass-0-4_vs_5,0.74832664
ocSVM,glass4,0.797550708
ISOF,glass4,0.843857635
BRM,glass4,0.96326062
GMM,glass4,0.801377727
ocSVM,glass2,0.724395342
ISOF,glass2,0.657509704
BRM,glass2,0.583756345
GMM,glass2,0.579277396
ocSVM,glass-0-1-5_vs_2,0.725996205
ISOF,glass-0-1-5_vs_2,0.571916509
BRM,glass-0-1-5_vs_2,0.529032258
GMM,glass-0-1-5_vs_2,0.532827324
ocSVM,glass-0-6_vs_5,0.599326599
ISOF,glass-0-6_vs_5,0.71043771
BRM,glass-0-6_vs_5,0.967452301
GMM,glass-0-6_vs_5,0.599326599
ocSVM,glass6,0.822553588
ISOF,glass6,0.850326188
BRM,glass6,0.968313141
GMM,glass6,0.854240447
ocSVM,kr-vs-k-one_vs_fifteen,0.86599427
ISOF,kr-vs-k-one_vs_fifteen,0.999597509
BRM,kr-vs-k-one_vs_fifteen,1
GMM,kr-vs-k-one_vs_fifteen,0.999887539
ocSVM,kr-vs-k-three_vs_eleven,0.871118724
ISOF,kr-vs-k-three_vs_eleven,0.690086255
BRM,kr-vs-k-three_vs_eleven,0.999917811
GMM,kr-vs-k-three_vs_eleven,0.785326205
ocSVM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.61173612
ISOF,led7digit-0-2-4-5-6-7-8-9_vs_1,0.605079217
BRM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.970543203
GMM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.546897883
ocSVM,lymphography-normal-fibrosis,0.931924883
ISOF,lymphography-normal-fibrosis,1
BRM,lymphography-normal-fibrosis,1
GMM,lymphography-normal-fibrosis,0.96713615
ocSVM,new-thyroid1,0.823492063
ISOF,new-thyroid1,0.855873016
BRM,new-thyroid1,0.956190476
GMM,new-thyroid1,0.813333333
ocSVM,iris0,0.669
ISOF,iris0,0.542
BRM,iris0,1
GMM,iris0,0.502
ocSVM,kr-vs-k-zero_vs_eight,0.600811558
ISOF,kr-vs-k-zero_vs_eight,0.777984544
BRM,kr-vs-k-zero_vs_eight,0.995606213
GMM,kr-vs-k-zero_vs_eight,0.744669303
ocSVM,habermanImb,0.505679012
ISOF,habermanImb,0.656021948
BRM,habermanImb,0.725816187
GMM,habermanImb,0.569876543
ocSVM,kr-vs-k-zero_vs_fifteen,0.945607195
ISOF,kr-vs-k-zero_vs_fifteen,0.999367327
BRM,kr-vs-k-zero_vs_fifteen,1
GMM,kr-vs-k-zero_vs_fifteen,1
ocSVM,kr-vs-k-zero-one_vs_draw,0.793262484
ISOF,kr-vs-k-zero-one_vs_draw,0.703000886
BRM,kr-vs-k-zero-one_vs_draw,0.972068942
GMM,kr-vs-k-zero-one_vs_draw,0.960719395
ocSVM,poker-8_vs_6,0.682594682
ISOF,poker-8_vs_6,0.533078163
BRM,poker-8_vs_6,0.938879936
GMM,poker-8_vs_6,0.520185334
ocSVM,poker-9_vs_7,0.959216102
ISOF,poker-9_vs_7,0.928495763
BRM,poker-9_vs_7,0.999470339
GMM,poker-9_vs_7,0.962923729
ocSVM,new-thyroid2,0.823492063
ISOF,new-thyroid2,0.860952381
BRM,new-thyroid2,0.962857143
GMM,new-thyroid2,0.813333333
ocSVM,segment0,0.681396303
ISOF,segment0,0.798286261
BRM,segment0,0.993106954
GMM,segment0,0.717151673
ocSVM,pimaImb,0.658029851
ISOF,pimaImb,0.662753731
BRM,pimaImb,0.82438806
GMM,pimaImb,0.674447761
ocSVM,page-blocks-1-3_vs_4,0.690074003
ISOF,page-blocks-1-3_vs_4,0.87234556
BRM,page-blocks-1-3_vs_4,0.763835264
GMM,page-blocks-1-3_vs_4,0.67286036
ocSVM,poker-8-9_vs_6,0.508849315
ISOF,poker-8-9_vs_6,0.611342466
BRM,poker-8-9_vs_6,0.89709589
GMM,poker-8-9_vs_6,0.646931507
ocSVM,page-blocks0,0.699757352
ISOF,page-blocks0,0.884994431
BRM,page-blocks0,0.914017136
GMM,page-blocks0,0.912182349
ocSVM,shuttle-2_vs_5,0.810766915
ISOF,shuttle-2_vs_5,0.991791758
BRM,shuttle-2_vs_5,0.999887558
GMM,shuttle-2_vs_5,0.973807337
ocSVM,poker-8-9_vs_5,0.59004878
ISOF,poker-8-9_vs_5,0.592897561
BRM,poker-8-9_vs_5,0.978204878
GMM,poker-8-9_vs_5,0.65635122
ocSVM,shuttle-6_vs_2-3,1
ISOF,shuttle-6_vs_2-3,0.949545455
BRM,shuttle-6_vs_2-3,1
GMM,shuttle-6_vs_2-3,0.931363636
ocSVM,vehicle1,0.512385251
ISOF,vehicle1,0.544394218
BRM,vehicle1,0.842314258
GMM,vehicle1,0.549383485
ocSVM,winequality-red-4,0.536966975
ISOF,winequality-red-4,0.594095536
BRM,winequality-red-4,0.69946789
GMM,winequality-red-4,0.57674095
ocSVM,vehicle2,0.588478058
ISOF,vehicle2,0.618915444
BRM,vehicle2,0.9382487
GMM,vehicle2,0.567353766
ocSVM,shuttle-c0-vs-c4,0.994767392
ISOF,shuttle-c0-vs-c4,0.999990469
BRM,shuttle-c0-vs-c4,1
GMM,shuttle-c0-vs-c4,0.997312212
ocSVM,vehicle3,0.547809654
ISOF,vehicle3,0.587613833
BRM,vehicle3,0.821736801
GMM,vehicle3,0.518555443
ocSVM,vowel0,0.765095273
ISOF,vowel0,0.913746597
BRM,vowel0,0.99010146
GMM,vowel0,0.793046276
ocSVM,shuttle-c2-vs-c4,0.764227642
ISOF,shuttle-c2-vs-c4,0.971544715
BRM,shuttle-c2-vs-c4,1
GMM,shuttle-c2-vs-c4,0.974254743
ocSVM,winequality-red-3_vs_5,0.586490455
ISOF,winequality-red-3_vs_5,0.753891336
BRM,winequality-red-3_vs_5,0.899559471
GMM,winequality-red-3_vs_5,0.794713656
ocSVM,vehicle0,0.557299636
ISOF,vehicle0,0.517432604
BRM,vehicle0,0.887575435
GMM,vehicle0,0.604599504
ocSVM,winequality-white-3_vs_7,0.846079545
ISOF,winequality-white-3_vs_7,0.867272727
BRM,winequality-white-3_vs_7,0.76
GMM,winequality-white-3_vs_7,0.885681818
ocSVM,yeast-0-2-5-6_vs_3-7-8-9,0.766560634
ISOF,yeast-0-2-5-6_vs_3-7-8-9,0.747642168
BRM,yeast-0-2-5-6_vs_3-7-8-9,0.860940901
GMM,yeast-0-2-5-6_vs_3-7-8-9,0.70284056
ocSVM,yeast-0-2-5-7-9_vs_3-6-8,0.826675596
ISOF,yeast-0-2-5-7-9_vs_3-6-8,0.774128021
BRM,yeast-0-2-5-7-9_vs_3-6-8,0.934605726
GMM,yeast-0-2-5-7-9_vs_3-6-8,0.743691054
ocSVM,yeast-0-5-6-7-9_vs_4,0.680231841
ISOF,yeast-0-5-6-7-9_vs_4,0.658116496
BRM,yeast-0-5-6-7-9_vs_4,0.901755251
GMM,yeast-0-5-6-7-9_vs_4,0.654170263
ocSVM,winequality-red-8_vs_6-7,0.586419753
ISOF,winequality-red-8_vs_6-7,0.585955131
BRM,winequality-red-8_vs_6-7,0.759259259
GMM,winequality-red-8_vs_6-7,0.582901898
ocSVM,winequality-red-8_vs_6,0.605102752
ISOF,winequality-red-8_vs_6,0.671281783
BRM,winequality-red-8_vs_6,0.853187043
GMM,winequality-red-8_vs_6,0.625914316
ocSVM,yeast-0-3-5-9_vs_7-8,0.615482456
ISOF,yeast-0-3-5-9_vs_7-8,0.598552632
BRM,yeast-0-3-5-9_vs_7-8,0.815614035
GMM,yeast-0-3-5-9_vs_7-8,0.61245614
ocSVM,winequality-white-3-9_vs_5,0.7054221
ISOF,winequality-white-3-9_vs_5,0.809471517
BRM,winequality-white-3-9_vs_5,0.754756349
GMM,winequality-white-3-9_vs_5,0.815264242
ocSVM,winequality-white-9_vs_4,0.780368098
ISOF,winequality-white-9_vs_4,0.682208589
BRM,winequality-white-9_vs_4,0.933742331
GMM,winequality-white-9_vs_4,0.73006135
ocSVM,wisconsinImb,0.946011911
ISOF,wisconsinImb,0.986128388
BRM,wisconsinImb,0.994571978
GMM,wisconsinImb,0.972388707
ocSVM,yeast-1-2-8-9_vs_7,0.631624864
ISOF,yeast-1-2-8-9_vs_7,0.61134133
BRM,yeast-1-2-8-9_vs_7,0.844820065
GMM,yeast-1-2-8-9_vs_7,0.629916394
ocSVM,yeast1,0.535628984
ISOF,yeast1,0.52155901
BRM,yeast1,0.809368199
GMM,yeast1,0.53951988
ocSVM,yeast3,0.531457392
ISOF,yeast3,0.617964639
BRM,yeast3,0.979180115
GMM,yeast3,0.614732286
ocSVM,yeast-1_vs_7,0.646542347
ISOF,yeast-1_vs_7,0.601864802
BRM,yeast-1_vs_7,0.850660451
GMM,yeast-1_vs_7,0.644133644
ocSVM,yeast-1-4-5-8_vs_7,0.540975365
ISOF,yeast-1-4-5-8_vs_7,0.514278532
BRM,yeast-1-4-5-8_vs_7,0.819255907
GMM,yeast-1-4-5-8_vs_7,0.525942685
ocSVM,yeast6,0.77434684
ISOF,yeast6,0.752440106
BRM,yeast6,0.958927339
GMM,yeast6,0.694745144
ocSVM,yeast-2_vs_8,0.750108225
ISOF,yeast-2_vs_8,0.75952381
BRM,yeast-2_vs_8,0.813095238
GMM,yeast-2_vs_8,0.754761905
ocSVM,yeast4,0.74786202
ISOF,yeast4,0.737449202
BRM,yeast4,0.909390693
GMM,yeast4,0.703857258
ocSVM,yeast-2_vs_4,0.853131749
ISOF,yeast-2_vs_4,0.839283446
BRM,yeast-2_vs_4,0.970863507
GMM,yeast-2_vs_4,0.810824546
ocSVM,yeast5,0.89084596
ISOF,yeast5,0.860921717
BRM,yeast5,0.990656566
GMM,yeast5,0.787878788
ocSVM,abalone-17_vs_7-8-9-10,0.634097096
ISOF,abalone-17_vs_7-8-9-10,0.714587114
BRM,abalone-17_vs_7-8-9-10,0.938407441
GMM,abalone-17_vs_7-8-9-10,0.824228675
ocSVM,abalone19,0.544226823
ISOF,abalone19,0.506480867
BRM,abalone19,0.825476823
GMM,abalone19,0.693505553
ocSVM,abalone9-18,0.641336651
ISOF,abalone9-18,0.766639021
BRM,abalone9-18,0.920657958
GMM,abalone9-18,0.839760868
ocSVM,abalone-3_vs_11,0.982477755
ISOF,abalone-3_vs_11,0.992881588
BRM,abalone-3_vs_11,0.998631075
GMM,abalone-3_vs_11,0.961122519
ocSVM,zoo-3,0.5125
ISOF,zoo-3,0.664583333
BRM,zoo-3,1
GMM,zoo-3,0.877083333
