folder_name,auc,preprocessing,classifier
ecoli-0-1_vs_5,0.8170454545454545,std,ocSVM
ecoli-0-1_vs_5,0.8170454545454545,minmax_std,ocSVM
ecoli-0-1_vs_5,0.8668181818181818,raw,ISOF
ecoli-0-1_vs_5,0.8861363636363636,min_max,ISOF
ecoli-0-1_vs_5,0.8672727272727273,std,ISOF
ecoli-0-1_vs_5,0.8786363636363637,minmax_std,ISOF
ecoli-0-1_vs_5,0.9936363636363637,raw,BRM
ecoli-0-1_vs_5,0.9925,min_max,BRM
ecoli-0-1_vs_5,0.9988636363636363,std,BRM
ecoli-0-1_vs_5,0.9929545454545454,minmax_std,BRM
ecoli-0-1_vs_5,0.815,raw,GMM
ecoli-0-1_vs_5,0.815,min_max,GMM
ecoli-0-1_vs_5,0.815,std,GMM
ecoli-0-1_vs_5,0.815,minmax_std,GMM
ecoli-0_vs_1,0.7419852874398329,raw,ocSVM
ecoli-0_vs_1,0.7474343837980202,min_max,ocSVM
ecoli-0_vs_1,0.7195531740986286,std,ocSVM
ecoli-0_vs_1,0.7195531740986286,minmax_std,ocSVM
ecoli-0_vs_1,0.7766778675869586,raw,ISOF
ecoli-0_vs_1,0.8211788211788212,min_max,ISOF
ecoli-0_vs_1,0.8262646444464625,std,ISOF
ecoli-0_vs_1,0.814367450731087,minmax_std,ISOF
ecoli-0_vs_1,0.9973662700935428,raw,BRM
ecoli-0_vs_1,0.997002997002997,min_max,BRM
ecoli-0_vs_1,0.9979111797293615,std,BRM
ecoli-0_vs_1,0.9977295431840886,minmax_std,BRM
ecoli-0_vs_1,0.7818545091272363,raw,GMM
ecoli-0_vs_1,0.7818545091272363,min_max,GMM
ecoli-0_vs_1,0.7817636908546001,std,GMM
ecoli-0_vs_1,0.7817636908546001,minmax_std,GMM
ecoli-0-1_vs_2-3-5,0.7895833333333333,raw,ocSVM
ecoli-0-1_vs_2-3-5,0.8007575757575758,min_max,ocSVM
ecoli-0-1_vs_2-3-5,0.8092803030303031,std,ocSVM
ecoli-0-1_vs_2-3-5,0.8092803030303031,minmax_std,ocSVM
ecoli-0-1_vs_2-3-5,0.8323863636363636,raw,ISOF
ecoli-0-1_vs_2-3-5,0.8356060606060606,min_max,ISOF
ecoli-0-1_vs_2-3-5,0.8325757575757575,std,ISOF
ecoli-0-1_vs_2-3-5,0.852840909090909,minmax_std,ISOF
ecoli-0-1_vs_2-3-5,0.9814393939393941,raw,BRM
ecoli-0-1_vs_2-3-5,0.9789772727272728,min_max,BRM
ecoli-0-1_vs_2-3-5,0.9778409090909091,std,BRM
ecoli-0-1_vs_2-3-5,0.9774621212121213,minmax_std,BRM
ecoli-0-1_vs_2-3-5,0.8085227272727273,raw,GMM
ecoli-0-1_vs_2-3-5,0.8085227272727273,min_max,GMM
ecoli-0-1_vs_2-3-5,0.8085227272727273,std,GMM
ecoli-0-1_vs_2-3-5,0.8085227272727273,minmax_std,GMM
abalone-19_vs_10-11-12-13,0.557252358490566,raw,ocSVM
abalone-19_vs_10-11-12-13,0.5403301886792452,min_max,ocSVM
abalone-19_vs_10-11-12-13,0.5033215408805032,std,ocSVM
abalone-19_vs_10-11-12-13,0.5033215408805032,minmax_std,ocSVM
abalone-19_vs_10-11-12-13,0.5160180817610063,raw,ISOF
abalone-19_vs_10-11-12-13,0.5128341194968553,min_max,ISOF
abalone-19_vs_10-11-12-13,0.5086084905660377,std,ISOF
abalone-19_vs_10-11-12-13,0.5020440251572327,minmax_std,ISOF
abalone-19_vs_10-11-12-13,0.8333529874213838,raw,BRM
abalone-19_vs_10-11-12-13,0.8121069182389938,min_max,BRM
abalone-19_vs_10-11-12-13,0.8435534591194969,std,BRM
abalone-19_vs_10-11-12-13,0.9187303459119497,minmax_std,BRM
abalone-19_vs_10-11-12-13,0.6044614779874213,raw,GMM
abalone-19_vs_10-11-12-13,0.6045400943396226,min_max,GMM
abalone-19_vs_10-11-12-13,0.6046973270440251,std,GMM
abalone-19_vs_10-11-12-13,0.6046973270440251,minmax_std,GMM
abalone-20_vs_8-9-10,0.6032560032560033,raw,ocSVM
abalone-20_vs_8-9-10,0.5913512413512414,min_max,ocSVM
abalone-20_vs_8-9-10,0.7729751729751729,std,ocSVM
abalone-20_vs_8-9-10,0.7729751729751729,minmax_std,ocSVM
abalone-20_vs_8-9-10,0.7247049247049246,raw,ISOF
abalone-20_vs_8-9-10,0.6533984533984534,min_max,ISOF
abalone-20_vs_8-9-10,0.7472527472527473,std,ISOF
abalone-20_vs_8-9-10,0.7012413512413512,minmax_std,ISOF
abalone-20_vs_8-9-10,0.9815628815628815,raw,BRM
abalone-20_vs_8-9-10,0.9586894586894588,min_max,BRM
abalone-20_vs_8-9-10,0.9681115181115181,std,BRM
abalone-20_vs_8-9-10,0.9715506715506715,minmax_std,BRM
abalone-20_vs_8-9-10,0.8704924704924705,raw,GMM
abalone-20_vs_8-9-10,0.8701872201872202,min_max,GMM
abalone-20_vs_8-9-10,0.8702889702889703,std,GMM
abalone-20_vs_8-9-10,0.8702889702889703,minmax_std,GMM
car-vgood,0.5142328507331514,raw,ocSVM
car-vgood,0.5142328507331514,min_max,ocSVM
car-vgood,0.5455756510476895,std,ocSVM
car-vgood,0.5455756510476895,minmax_std,ocSVM
car-vgood,0.6423701373791573,raw,ISOF
car-vgood,0.5833664831860863,min_max,ISOF
car-vgood,0.5089597113650031,std,ISOF
car-vgood,0.5934872103242519,minmax_std,ISOF
car-vgood,1.0,raw,BRM
car-vgood,1.0,min_max,BRM
car-vgood,1.0,std,BRM
car-vgood,1.0,minmax_std,BRM
car-vgood,0.5132291040288635,raw,GMM
car-vgood,0.5132291040288635,min_max,GMM
car-vgood,0.6303251769277025,std,GMM
car-vgood,0.6303251769277025,minmax_std,GMM
abalone-21_vs_8,0.8776769967246157,raw,ocSVM
abalone-21_vs_8,0.8795666414714034,min_max,ocSVM
abalone-21_vs_8,0.9115646258503401,std,ocSVM
abalone-21_vs_8,0.9115646258503401,minmax_std,ocSVM
abalone-21_vs_8,0.909297052154195,raw,ISOF
abalone-21_vs_8,0.9251700680272108,min_max,ISOF
abalone-21_vs_8,0.9029982363315696,std,ISOF
abalone-21_vs_8,0.9110607205845301,minmax_std,ISOF
abalone-21_vs_8,0.8412698412698413,raw,BRM
abalone-21_vs_8,0.9508692365835224,min_max,BRM
abalone-21_vs_8,0.9901738473167044,std,BRM
abalone-21_vs_8,0.9897959183673469,minmax_std,BRM
abalone-21_vs_8,0.937137818090199,raw,GMM
abalone-21_vs_8,0.937137818090199,min_max,GMM
abalone-21_vs_8,0.9370118417737465,std,GMM
abalone-21_vs_8,0.9370118417737465,minmax_std,GMM
ecoli-0-1-4-7_vs_2-3-5-6,0.7403122542963047,raw,ocSVM
ecoli-0-1-4-7_vs_2-3-5-6,0.7463776255194878,min_max,ocSVM
ecoli-0-1-4-7_vs_2-3-5-6,0.7809727058294956,std,ocSVM
ecoli-0-1-4-7_vs_2-3-5-6,0.7809727058294956,minmax_std,ocSVM
ecoli-0-1-4-7_vs_2-3-5-6,0.8024261484892733,raw,ISOF
ecoli-0-1-4-7_vs_2-3-5-6,0.8055711557901831,min_max,ISOF
ecoli-0-1-4-7_vs_2-3-5-6,0.8096147366056385,std,ISOF
ecoli-0-1-4-7_vs_2-3-5-6,0.8013029315960912,minmax_std,ISOF
ecoli-0-1-4-7_vs_2-3-5-6,0.949118274738852,raw,BRM
ecoli-0-1-4-7_vs_2-3-5-6,0.9381107491856677,min_max,BRM
ecoli-0-1-4-7_vs_2-3-5-6,0.9633831292822643,std,BRM
ecoli-0-1-4-7_vs_2-3-5-6,0.9640570594181737,minmax_std,BRM
ecoli-0-1-4-7_vs_2-3-5-6,0.7937773784117713,raw,GMM
ecoli-0-1-4-7_vs_2-3-5-6,0.7937773784117713,min_max,GMM
ecoli-0-1-4-7_vs_2-3-5-6,0.7937773784117713,std,GMM
ecoli-0-1-4-7_vs_2-3-5-6,0.7937773784117713,minmax_std,GMM
ecoli-0-4-6_vs_5,0.7759562841530054,raw,ocSVM
ecoli-0-4-6_vs_5,0.7751366120218579,min_max,ocSVM
ecoli-0-4-6_vs_5,0.8060109289617486,std,ocSVM
ecoli-0-4-6_vs_5,0.8060109289617486,minmax_std,ocSVM
ecoli-0-4-6_vs_5,0.8117486338797815,raw,ISOF
ecoli-0-4-6_vs_5,0.8169398907103825,min_max,ISOF
ecoli-0-4-6_vs_5,0.8355191256830601,std,ISOF
ecoli-0-4-6_vs_5,0.8259562841530055,minmax_std,ISOF
ecoli-0-4-6_vs_5,0.9953551912568306,raw,BRM
ecoli-0-4-6_vs_5,0.9860655737704918,min_max,BRM
ecoli-0-4-6_vs_5,0.9989071038251366,std,BRM
ecoli-0-4-6_vs_5,0.9939890710382513,minmax_std,BRM
ecoli-0-4-6_vs_5,0.7759562841530054,raw,GMM
ecoli-0-4-6_vs_5,0.7759562841530054,min_max,GMM
ecoli-0-4-6_vs_5,0.7759562841530054,std,GMM
ecoli-0-4-6_vs_5,0.7759562841530054,minmax_std,GMM
ecoli-0-1-3-7_vs_2-6,0.8362877997914494,raw,ocSVM
ecoli-0-1-3-7_vs_2-6,0.862356621480709,min_max,ocSVM
ecoli-0-1-3-7_vs_2-6,0.85140771637122,std,ocSVM
ecoli-0-1-3-7_vs_2-6,0.85140771637122,minmax_std,ocSVM
ecoli-0-1-3-7_vs_2-6,0.8342022940563086,raw,ISOF
ecoli-0-1-3-7_vs_2-6,0.8555787278415016,min_max,ISOF
ecoli-0-1-3-7_vs_2-6,0.848800834202294,std,ISOF
ecoli-0-1-3-7_vs_2-6,0.8540145985401459,minmax_std,ISOF
ecoli-0-1-3-7_vs_2-6,0.9212721584984358,raw,BRM
ecoli-0-1-3-7_vs_2-6,0.9499478623566214,min_max,BRM
ecoli-0-1-3-7_vs_2-6,0.9296141814389989,std,BRM
ecoli-0-1-3-7_vs_2-6,0.9228362877997914,minmax_std,BRM
ecoli-0-1-3-7_vs_2-6,0.8618352450469239,raw,GMM
ecoli-0-1-3-7_vs_2-6,0.8618352450469239,min_max,GMM
ecoli-0-1-3-7_vs_2-6,0.8618352450469239,std,GMM
ecoli-0-1-3-7_vs_2-6,0.8618352450469239,minmax_std,GMM
ecoli-0-1-4-7_vs_5-6,0.7652117263843647,raw,ocSVM
ecoli-0-1-4-7_vs_5-6,0.7709446254071661,min_max,ocSVM
ecoli-0-1-4-7_vs_5-6,0.7930944625407166,std,ocSVM
ecoli-0-1-4-7_vs_5-6,0.7930944625407166,minmax_std,ocSVM
ecoli-0-1-4-7_vs_5-6,0.8002605863192183,raw,ISOF
ecoli-0-1-4-7_vs_5-6,0.7986970684039087,min_max,ISOF
ecoli-0-1-4-7_vs_5-6,0.8241042345276872,std,ISOF
ecoli-0-1-4-7_vs_5-6,0.818371335504886,minmax_std,ISOF
ecoli-0-1-4-7_vs_5-6,0.9813680781758958,raw,BRM
ecoli-0-1-4-7_vs_5-6,0.9607817589576547,min_max,BRM
ecoli-0-1-4-7_vs_5-6,0.9868403908794787,std,BRM
ecoli-0-1-4-7_vs_5-6,0.9867100977198697,minmax_std,BRM
ecoli-0-1-4-7_vs_5-6,0.8121172638436482,raw,GMM
ecoli-0-1-4-7_vs_5-6,0.8121172638436482,min_max,GMM
ecoli-0-1-4-7_vs_5-6,0.8121172638436482,std,GMM
ecoli-0-1-4-7_vs_5-6,0.8121172638436482,minmax_std,GMM
ecoli-0-3-4_vs_5,0.7975,raw,ocSVM
ecoli-0-3-4_vs_5,0.7797222222222222,min_max,ocSVM
ecoli-0-3-4_vs_5,0.8233333333333334,std,ocSVM
ecoli-0-3-4_vs_5,0.8233333333333334,minmax_std,ocSVM
ecoli-0-3-4_vs_5,0.8366666666666667,raw,ISOF
ecoli-0-3-4_vs_5,0.856111111111111,min_max,ISOF
ecoli-0-3-4_vs_5,0.8444444444444444,std,ISOF
ecoli-0-3-4_vs_5,0.8352777777777778,minmax_std,ISOF
ecoli-0-3-4_vs_5,0.9958333333333333,raw,BRM
ecoli-0-3-4_vs_5,0.9763888888888889,min_max,BRM
ecoli-0-3-4_vs_5,0.9947222222222223,std,BRM
ecoli-0-3-4_vs_5,0.9927777777777778,minmax_std,BRM
ecoli-0-3-4_vs_5,0.7816666666666666,raw,GMM
ecoli-0-3-4_vs_5,0.7819444444444444,min_max,GMM
ecoli-0-3-4_vs_5,0.7816666666666666,std,GMM
ecoli-0-3-4_vs_5,0.7816666666666666,minmax_std,GMM
ecoli-0-3-4-6_vs_5,0.7597297297297297,raw,ocSVM
ecoli-0-3-4-6_vs_5,0.7527027027027027,min_max,ocSVM
ecoli-0-3-4-6_vs_5,0.7856756756756758,std,ocSVM
ecoli-0-3-4-6_vs_5,0.7856756756756758,minmax_std,ocSVM
ecoli-0-3-4-6_vs_5,0.8021621621621622,raw,ISOF
ecoli-0-3-4-6_vs_5,0.7956756756756757,min_max,ISOF
ecoli-0-3-4-6_vs_5,0.7794594594594595,std,ISOF
ecoli-0-3-4-6_vs_5,0.8008108108108108,minmax_std,ISOF
ecoli-0-3-4-6_vs_5,0.9932432432432432,raw,BRM
ecoli-0-3-4-6_vs_5,0.97,min_max,BRM
ecoli-0-3-4-6_vs_5,0.9954054054054055,std,BRM
ecoli-0-3-4-6_vs_5,0.9967567567567567,minmax_std,BRM
ecoli-0-3-4-6_vs_5,0.7672972972972973,raw,GMM
ecoli-0-3-4-6_vs_5,0.7672972972972973,min_max,GMM
ecoli-0-3-4-6_vs_5,0.7672972972972973,std,GMM
ecoli-0-3-4-6_vs_5,0.7672972972972973,minmax_std,GMM
ecoli-0-2-3-4_vs_5,0.7934065934065935,raw,ocSVM
ecoli-0-2-3-4_vs_5,0.7739010989010989,min_max,ocSVM
ecoli-0-2-3-4_vs_5,0.8197802197802198,std,ocSVM
ecoli-0-2-3-4_vs_5,0.8197802197802198,minmax_std,ocSVM
ecoli-0-2-3-4_vs_5,0.8252747252747252,raw,ISOF
ecoli-0-2-3-4_vs_5,0.828021978021978,min_max,ISOF
ecoli-0-2-3-4_vs_5,0.820054945054945,std,ISOF
ecoli-0-2-3-4_vs_5,0.8167582417582417,minmax_std,ISOF
ecoli-0-2-3-4_vs_5,0.9945054945054945,raw,BRM
ecoli-0-2-3-4_vs_5,0.9736263736263736,min_max,BRM
ecoli-0-2-3-4_vs_5,0.9958791208791209,std,BRM
ecoli-0-2-3-4_vs_5,0.9967032967032966,minmax_std,BRM
ecoli-0-2-3-4_vs_5,0.7824175824175824,raw,GMM
ecoli-0-2-3-4_vs_5,0.7824175824175824,min_max,GMM
ecoli-0-2-3-4_vs_5,0.7824175824175824,std,GMM
ecoli-0-2-3-4_vs_5,0.7824175824175824,minmax_std,GMM
ecoli-0-1-4-6_vs_5,0.7571153846153846,raw,ocSVM
ecoli-0-1-4-6_vs_5,0.7571153846153846,min_max,ocSVM
ecoli-0-1-4-6_vs_5,0.7892307692307692,std,ocSVM
ecoli-0-1-4-6_vs_5,0.7892307692307692,minmax_std,ocSVM
ecoli-0-1-4-6_vs_5,0.8355769230769231,raw,ISOF
ecoli-0-1-4-6_vs_5,0.8463461538461539,min_max,ISOF
ecoli-0-1-4-6_vs_5,0.7923076923076924,std,ISOF
ecoli-0-1-4-6_vs_5,0.8140384615384615,minmax_std,ISOF
ecoli-0-1-4-6_vs_5,0.9957692307692309,raw,BRM
ecoli-0-1-4-6_vs_5,0.9869230769230769,min_max,BRM
ecoli-0-1-4-6_vs_5,0.9973076923076923,std,BRM
ecoli-0-1-4-6_vs_5,0.9917307692307692,minmax_std,BRM
ecoli-0-1-4-6_vs_5,0.7880769230769231,raw,GMM
ecoli-0-1-4-6_vs_5,0.7880769230769231,min_max,GMM
ecoli-0-1-4-6_vs_5,0.7880769230769231,std,GMM
ecoli-0-1-4-6_vs_5,0.7880769230769231,minmax_std,GMM
ecoli-0-2-6-7_vs_3-5,0.8042304230423042,raw,ocSVM
ecoli-0-2-6-7_vs_3-5,0.8076057605760576,min_max,ocSVM
ecoli-0-2-6-7_vs_3-5,0.8049054905490549,std,ocSVM
ecoli-0-2-6-7_vs_3-5,0.8049054905490549,minmax_std,ocSVM
ecoli-0-2-6-7_vs_3-5,0.7882538253825382,raw,ISOF
ecoli-0-2-6-7_vs_3-5,0.8121062106210621,min_max,ISOF
ecoli-0-2-6-7_vs_3-5,0.7952295229522952,std,ISOF
ecoli-0-2-6-7_vs_3-5,0.8224572457245725,minmax_std,ISOF
ecoli-0-2-6-7_vs_3-5,0.9601710171017103,raw,BRM
ecoli-0-2-6-7_vs_3-5,0.9545454545454546,min_max,BRM
ecoli-0-2-6-7_vs_3-5,0.9813231323132313,std,BRM
ecoli-0-2-6-7_vs_3-5,0.9851485148514851,minmax_std,BRM
ecoli-0-2-6-7_vs_3-5,0.8026552655265526,raw,GMM
ecoli-0-2-6-7_vs_3-5,0.8026552655265526,min_max,GMM
ecoli-0-2-6-7_vs_3-5,0.8026552655265526,std,GMM
ecoli-0-2-6-7_vs_3-5,0.8026552655265526,minmax_std,GMM
ecoli-0-3-4-7_vs_5-6,0.7696551724137931,raw,ocSVM
ecoli-0-3-4-7_vs_5-6,0.7777586206896552,min_max,ocSVM
ecoli-0-3-4-7_vs_5-6,0.8027586206896551,std,ocSVM
ecoli-0-3-4-7_vs_5-6,0.8027586206896551,minmax_std,ocSVM
ecoli-0-3-4-7_vs_5-6,0.8048275862068965,raw,ISOF
ecoli-0-3-4-7_vs_5-6,0.7860344827586206,min_max,ISOF
ecoli-0-3-4-7_vs_5-6,0.8106896551724139,std,ISOF
ecoli-0-3-4-7_vs_5-6,0.7777586206896552,minmax_std,ISOF
ecoli-0-3-4-7_vs_5-6,0.9632758620689655,raw,BRM
ecoli-0-3-4-7_vs_5-6,0.9596551724137931,min_max,BRM
ecoli-0-3-4-7_vs_5-6,0.9820689655172414,std,BRM
ecoli-0-3-4-7_vs_5-6,0.9806896551724138,minmax_std,BRM
ecoli-0-3-4-7_vs_5-6,0.796551724137931,raw,GMM
ecoli-0-3-4-7_vs_5-6,0.796551724137931,min_max,GMM
ecoli-0-3-4-7_vs_5-6,0.796551724137931,std,GMM
ecoli-0-3-4-7_vs_5-6,0.796551724137931,minmax_std,GMM
ecoli-0-6-7_vs_3-5,0.8095454545454546,raw,ocSVM
ecoli-0-6-7_vs_3-5,0.8150000000000001,min_max,ocSVM
ecoli-0-6-7_vs_3-5,0.8040909090909091,std,ocSVM
ecoli-0-6-7_vs_3-5,0.8040909090909091,minmax_std,ocSVM
ecoli-0-6-7_vs_3-5,0.8234090909090909,raw,ISOF
ecoli-0-6-7_vs_3-5,0.8115909090909091,min_max,ISOF
ecoli-0-6-7_vs_3-5,0.7870454545454546,std,ISOF
ecoli-0-6-7_vs_3-5,0.7904545454545455,minmax_std,ISOF
ecoli-0-6-7_vs_3-5,0.9695454545454545,raw,BRM
ecoli-0-6-7_vs_3-5,0.9522727272727273,min_max,BRM
ecoli-0-6-7_vs_3-5,0.9779545454545455,std,BRM
ecoli-0-6-7_vs_3-5,0.9924999999999999,minmax_std,BRM
ecoli-0-6-7_vs_3-5,0.8054545454545454,raw,GMM
ecoli-0-6-7_vs_3-5,0.8054545454545454,min_max,GMM
ecoli-0-6-7_vs_3-5,0.8054545454545454,std,GMM
ecoli-0-6-7_vs_3-5,0.8054545454545454,minmax_std,GMM
glass0,0.6696428571428572,raw,ocSVM
glass0,0.6821428571428572,min_max,ocSVM
glass0,0.6989087301587301,std,ocSVM
glass0,0.6989087301587301,minmax_std,ocSVM
glass0,0.7163690476190476,raw,ISOF
glass0,0.7173611111111111,min_max,ISOF
glass0,0.7250992063492063,std,ISOF
glass0,0.7154761904761905,minmax_std,ISOF
glass0,0.8300595238095237,raw,BRM
glass0,0.8512896825396825,min_max,BRM
glass0,0.8703373015873016,std,BRM
glass0,0.8851190476190476,minmax_std,BRM
glass0,0.6831349206349207,raw,GMM
glass0,0.7006944444444445,min_max,GMM
glass0,0.7001984126984127,std,GMM
glass0,0.7001984126984127,minmax_std,GMM
glass-0-1-4-6_vs_2,0.7334167709637045,raw,ocSVM
glass-0-1-4-6_vs_2,0.6611389236545682,min_max,ocSVM
glass-0-1-4-6_vs_2,0.6367334167709637,std,ocSVM
glass-0-1-4-6_vs_2,0.6367334167709637,minmax_std,ocSVM
glass-0-1-4-6_vs_2,0.6138923654568211,raw,ISOF
glass-0-1-4-6_vs_2,0.6173341677096371,min_max,ISOF
glass-0-1-4-6_vs_2,0.6376720901126408,std,ISOF
glass-0-1-4-6_vs_2,0.6311013767209012,minmax_std,ISOF
glass-0-1-4-6_vs_2,0.52909887359199,raw,BRM
glass-0-1-4-6_vs_2,0.8954943679599499,min_max,BRM
glass-0-1-4-6_vs_2,0.9486858573216521,std,BRM
glass-0-1-4-6_vs_2,0.9070713391739674,minmax_std,BRM
glass-0-1-4-6_vs_2,0.541927409261577,raw,GMM
glass-0-1-4-6_vs_2,0.5106382978723405,min_max,GMM
glass-0-1-4-6_vs_2,0.5109511889862328,std,GMM
glass-0-1-4-6_vs_2,0.5109511889862328,minmax_std,GMM
ecoli4,0.785126582278481,raw,ocSVM
ecoli4,0.7401898734177215,min_max,ocSVM
ecoli4,0.8406645569620254,std,ocSVM
ecoli4,0.8406645569620254,minmax_std,ocSVM
ecoli4,0.7911392405063291,raw,ISOF
ecoli4,0.835126582278481,min_max,ISOF
ecoli4,0.8283227848101266,std,ISOF
ecoli4,0.8066455696202531,minmax_std,ISOF
ecoli4,0.9988924050632911,raw,BRM
ecoli4,0.9987341772151899,min_max,BRM
ecoli4,0.9987341772151899,std,BRM
ecoli4,0.9982594936708861,minmax_std,BRM
ecoli4,0.8680379746835443,raw,GMM
ecoli4,0.8680379746835443,min_max,GMM
ecoli4,0.8680379746835443,std,GMM
ecoli4,0.8680379746835443,minmax_std,GMM
ecoli2,0.5545774647887324,raw,ocSVM
ecoli2,0.5509886240520043,min_max,ocSVM
ecoli2,0.5160482123510293,std,ocSVM
ecoli2,0.5160482123510293,minmax_std,ocSVM
ecoli2,0.5782096424702059,raw,ISOF
ecoli2,0.5109696641386783,min_max,ISOF
ecoli2,0.5286430119176597,std,ISOF
ecoli2,0.5201787648970747,minmax_std,ISOF
ecoli2,0.9708829902491874,raw,BRM
ecoli2,0.9626218851570963,min_max,BRM
ecoli2,0.9677681473456121,std,BRM
ecoli2,0.9716955579631635,minmax_std,BRM
ecoli2,0.5809859154929577,raw,GMM
ecoli2,0.5809859154929577,min_max,GMM
ecoli2,0.5809859154929577,std,GMM
ecoli2,0.5809859154929577,minmax_std,GMM
flare-F,0.7897542567460046,raw,ocSVM
flare-F,0.75649594216736,min_max,ocSVM
flare-F,0.8216713269226398,std,ocSVM
flare-F,0.8216713269226398,minmax_std,ocSVM
flare-F,0.7654527268180682,raw,ISOF
flare-F,0.77627361385801,min_max,ISOF
flare-F,0.7874809611493783,std,ISOF
flare-F,0.795460228693537,minmax_std,ISOF
flare-F,0.9492714087612812,raw,BRM
flare-F,0.9430653117824911,min_max,BRM
flare-F,0.9403600900225055,std,BRM
flare-F,0.9318124985791902,minmax_std,BRM
flare-F,0.8209438723317193,raw,GMM
flare-F,0.8209438723317193,min_max,GMM
flare-F,0.8209438723317193,std,GMM
flare-F,0.8209438723317193,minmax_std,GMM
ecoli3,0.5745609871855719,raw,ocSVM
ecoli3,0.6070242050308495,min_max,ocSVM
ecoli3,0.550545799715235,std,ocSVM
ecoli3,0.550545799715235,minmax_std,ocSVM
ecoli3,0.661983863312767,raw,ISOF
ecoli3,0.6331276696725202,min_max,ISOF
ecoli3,0.6774560987185572,std,ISOF
ecoli3,0.6271476032273375,minmax_std,ISOF
ecoli3,0.9636449928808732,raw,BRM
ecoli3,0.9678215472235405,min_max,BRM
ecoli3,0.9700996677740863,std,BRM
ecoli3,0.9700996677740864,minmax_std,BRM
ecoli3,0.6055054579971524,raw,GMM
ecoli3,0.6055054579971524,min_max,GMM
ecoli3,0.6055054579971524,std,GMM
ecoli3,0.6055054579971524,minmax_std,GMM
ecoli1,0.6244296244296244,raw,ocSVM
ecoli1,0.6046231760517475,min_max,ocSVM
ecoli1,0.588326731183874,std,ocSVM
ecoli1,0.588326731183874,minmax_std,ocSVM
ecoli1,0.6516070801785088,raw,ISOF
ecoli1,0.6250814822243393,min_max,ISOF
ecoli1,0.6805896805896806,std,ISOF
ecoli1,0.6455397883969313,minmax_std,ISOF
ecoli1,0.9643985358271072,raw,BRM
ecoli1,0.967657824800682,min_max,BRM
ecoli1,0.9689113974828261,std,BRM
ecoli1,0.9621922479065337,minmax_std,BRM
ecoli1,0.596399739256882,raw,GMM
ecoli1,0.596399739256882,min_max,GMM
ecoli1,0.596399739256882,std,GMM
ecoli1,0.596399739256882,minmax_std,GMM
glass-0-1-2-3_vs_4-5-6,0.7906892818477084,raw,ocSVM
glass-0-1-2-3_vs_4-5-6,0.8343558282208589,min_max,ocSVM
glass-0-1-2-3_vs_4-5-6,0.8550463130037291,std,ocSVM
glass-0-1-2-3_vs_4-5-6,0.8550463130037291,minmax_std,ocSVM
glass-0-1-2-3_vs_4-5-6,0.8800673643690605,raw,ISOF
glass-0-1-2-3_vs_4-5-6,0.877420907013112,min_max,ISOF
glass-0-1-2-3_vs_4-5-6,0.8809094189823169,std,ISOF
