classifier_name,dataset_name,accuracy
GMM,glass5,0.609214092
ocSVM,glass-0-1-6_vs_2,0.625210084
ISOF,glass-0-1-6_vs_2,0.626554622
BRM,glass-0-1-6_vs_2,0.930084034
GMM,glass-0-1-6_vs_2,0.553613445
ocSVM,glass1,0.531083143
ISOF,glass1,0.559687262
BRM,glass1,0.850781846
GMM,glass1,0.582379863
ocSVM,glass-0-1-6_vs_5,0.533968254
ISOF,glass-0-1-6_vs_5,0.727619048
BRM,glass-0-1-6_vs_5,0.999365079
GMM,glass-0-1-6_vs_5,0.642539683
ocSVM,glass-0-4_vs_5,0.532797858
ISOF,glass-0-4_vs_5,0.759036145
BRM,glass-0-4_vs_5,1
GMM,glass-0-4_vs_5,0.738955823
ocSVM,glass4,0.801760429
ISOF,glass4,0.835820896
BRM,glass4,0.996555683
GMM,glass4,0.79793341
ocSVM,glass2,0.681696029
ISOF,glass2,0.636607943
BRM,glass2,0.976709466
GMM,glass2,0.529411765
ocSVM,glass-0-1-5_vs_2,0.566603416
ISOF,glass-0-1-5_vs_2,0.574193548
BRM,glass-0-1-5_vs_2,0.958633776
GMM,glass-0-1-5_vs_2,0.608728653
ocSVM,glass-0-6_vs_5,0.507295174
ISOF,glass-0-6_vs_5,0.714927048
BRM,glass-0-6_vs_5,1
GMM,glass-0-6_vs_5,0.591470258
ocSVM,glass6,0.873625349
ISOF,glass6,0.857968313
BRM,glass6,0.989561976
GMM,glass6,0.858527493
ocSVM,kr-vs-k-one_vs_fifteen,0.997869167
ISOF,kr-vs-k-one_vs_fifteen,0.986776996
BRM,kr-vs-k-one_vs_fifteen,1
GMM,kr-vs-k-one_vs_fifteen,0.999887539
ocSVM,kr-vs-k-three_vs_eleven,0.765721924
ISOF,kr-vs-k-three_vs_eleven,0.671273586
BRM,kr-vs-k-three_vs_eleven,0.999645289
GMM,kr-vs-k-three_vs_eleven,0.785326205
ocSVM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.61173612
ISOF,led7digit-0-2-4-5-6-7-8-9_vs_1,0.634902144
BRM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.964884836
GMM,led7digit-0-2-4-5-6-7-8-9_vs_1,0.546897883
ocSVM,lymphography-normal-fibrosis,0.996478873
ISOF,lymphography-normal-fibrosis,1
BRM,lymphography-normal-fibrosis,1
GMM,lymphography-normal-fibrosis,0.96713615
ocSVM,new-thyroid1,0.89031746
ISOF,new-thyroid1,0.863650794
BRM,new-thyroid1,0.99968254
GMM,new-thyroid1,0.813333333
ocSVM,iris0,0.5564
ISOF,iris0,0.642
BRM,iris0,1
GMM,iris0,0.502
ocSVM,kr-vs-k-zero_vs_eight,0.673877646
ISOF,kr-vs-k-zero_vs_eight,0.620531907
BRM,kr-vs-k-zero_vs_eight,0.99968985
GMM,kr-vs-k-zero_vs_eight,0.744669303
ocSVM,habermanImb,0.551879287
ISOF,habermanImb,0.652071331
BRM,habermanImb,0.772894376
GMM,habermanImb,0.569876543
ocSVM,kr-vs-k-zero_vs_fifteen,1
ISOF,kr-vs-k-zero_vs_fifteen,0.99810198
BRM,kr-vs-k-zero_vs_fifteen,1
GMM,kr-vs-k-zero_vs_fifteen,1
ocSVM,kr-vs-k-zero-one_vs_draw,0.702210641
ISOF,kr-vs-k-zero-one_vs_draw,0.695691123
BRM,kr-vs-k-zero-one_vs_draw,0.998603447
GMM,kr-vs-k-zero-one_vs_draw,0.960719395
ocSVM,poker-8_vs_6,0.510717164
ISOF,poker-8_vs_6,0.5365834
BRM,poker-8_vs_6,0.995004029
GMM,poker-8_vs_6,0.520185334
ocSVM,poker-9_vs_7,0.83845339
ISOF,poker-9_vs_7,0.935911017
BRM,poker-9_vs_7,1
GMM,poker-9_vs_7,0.962923729
ocSVM,new-thyroid2,0.89968254
ISOF,new-thyroid2,0.886984127
BRM,new-thyroid2,0.99984127
GMM,new-thyroid2,0.813333333
ocSVM,segment0,0.802242697
ISOF,segment0,0.7965031
BRM,segment0,0.99923513
GMM,segment0,0.717148601
ocSVM,pimaImb,0.613843284
ISOF,pimaImb,0.673522388
BRM,pimaImb,0.868552239
GMM,pimaImb,0.674447761
ocSVM,page-blocks-1-3_vs_4,0.520431145
ISOF,page-blocks-1-3_vs_4,0.880067568
BRM,page-blocks-1-3_vs_4,0.994530245
GMM,page-blocks-1-3_vs_4,0.67286036
ocSVM,poker-8-9_vs_6,0.597506849
ISOF,poker-8-9_vs_6,0.656328767
BRM,poker-8-9_vs_6,0.999123288
GMM,poker-8-9_vs_6,0.646931507
ocSVM,page-blocks0,0.897562307
ISOF,page-blocks0,0.872368114
BRM,page-blocks0,0.970456789
GMM,page-blocks0,0.912356761
ocSVM,shuttle-2_vs_5,0.990504926
ISOF,shuttle-2_vs_5,0.988755833
BRM,shuttle-2_vs_5,1
GMM,shuttle-2_vs_5,0.98027898
ocSVM,poker-8-9_vs_5,0.580741463
ISOF,poker-8-9_vs_5,0.625268293
BRM,poker-8-9_vs_5,0.92755122
GMM,poker-8-9_vs_5,0.65635122
ocSVM,shuttle-6_vs_2-3,0.854090909
ISOF,shuttle-6_vs_2-3,0.960909091
BRM,shuttle-6_vs_2-3,1
GMM,shuttle-6_vs_2-3,0.931363636
ocSVM,vehicle1,0.54270915
ISOF,vehicle1,0.544225711
BRM,vehicle1,0.886419084
GMM,vehicle1,0.548343138
ocSVM,winequality-red-4,0.599367815
ISOF,winequality-red-4,0.588701213
BRM,winequality-red-4,0.918267471
GMM,winequality-red-4,0.575154385
ocSVM,vehicle2,0.552153334
ISOF,vehicle2,0.62523374
BRM,vehicle2,0.996566937
GMM,vehicle2,0.567667855
ocSVM,shuttle-c0-vs-c4,0.980341978
ISOF,shuttle-c0-vs-c4,0.999761721
BRM,shuttle-c0-vs-c4,1
GMM,shuttle-c0-vs-c4,0.997693459
ocSVM,vehicle3,0.564505089
ISOF,vehicle3,0.588967919
BRM,vehicle3,0.881338908
GMM,vehicle3,0.519180406
ocSVM,vowel0,0.947500619
ISOF,vowel0,0.944493937
BRM,vowel0,0.999987627
GMM,vowel0,0.793058649
ocSVM,shuttle-c2-vs-c4,0.971544715
ISOF,shuttle-c2-vs-c4,0.97696477
BRM,shuttle-c2-vs-c4,0.5
GMM,shuttle-c2-vs-c4,0.974254743
ocSVM,winequality-red-3_vs_5,0.765638767
ISOF,winequality-red-3_vs_5,0.797503671
BRM,winequality-red-3_vs_5,0.95814978
GMM,winequality-red-3_vs_5,0.797356828
ocSVM,vehicle0,0.559225804
ISOF,vehicle0,0.551218224
BRM,vehicle0,0.995805923
GMM,vehicle0,0.603185945
ocSVM,winequality-white-3_vs_7,0.810397727
ISOF,winequality-white-3_vs_7,0.853636364
BRM,winequality-white-3_vs_7,0.908636364
GMM,winequality-white-3_vs_7,0.889204545
ocSVM,yeast-0-2-5-6_vs_3-7-8-9,0.758658407
ISOF,yeast-0-2-5-6_vs_3-7-8-9,0.742016854
BRM,yeast-0-2-5-6_vs_3-7-8-9,0.85943412
GMM,yeast-0-2-5-6_vs_3-7-8-9,0.702829399
ocSVM,yeast-0-2-5-7-9_vs_3-6-8,0.835548859
ISOF,yeast-0-2-5-7-9_vs_3-6-8,0.792209387
BRM,yeast-0-2-5-7-9_vs_3-6-8,0.935677214
GMM,yeast-0-2-5-7-9_vs_3-6-8,0.743713377
ocSVM,yeast-0-5-6-7-9_vs_4,0.656636659
ISOF,yeast-0-5-6-7-9_vs_4,0.655280141
BRM,yeast-0-5-6-7-9_vs_4,0.904139434
GMM,yeast-0-5-6-7-9_vs_4,0.654170263
ocSVM,winequality-red-8_vs_6-7,0.605270145
ISOF,winequality-red-8_vs_6-7,0.594915704
BRM,winequality-red-8_vs_6-7,0.953139519
GMM,winequality-red-8_vs_6-7,0.582503651
ocSVM,winequality-red-8_vs_6,0.657088123
ISOF,winequality-red-8_vs_6,0.66353187
BRM,winequality-red-8_vs_6,0.973354232
GMM,winequality-red-8_vs_6,0.61938349
ocSVM,yeast-0-3-5-9_vs_7-8,0.611315789
ISOF,yeast-0-3-5-9_vs_7-8,0.613245614
BRM,yeast-0-3-5-9_vs_7-8,0.842061404
GMM,yeast-0-3-5-9_vs_7-8,0.6125
ocSVM,winequality-white-3-9_vs_5,0.789704873
ISOF,winequality-white-3-9_vs_5,0.800796156
BRM,winequality-white-3-9_vs_5,0.90759094
GMM,winequality-white-3-9_vs_5,0.816170213
ocSVM,winequality-white-9_vs_4,0.67607362
ISOF,winequality-white-9_vs_4,0.715337423
BRM,winequality-white-9_vs_4,0.988957055
GMM,winequality-white-9_vs_4,0.76809816
ocSVM,wisconsinImb,0.946011911
ISOF,wisconsinImb,0.98757963
BRM,wisconsinImb,0.995165668
GMM,wisconsinImb,0.972388707
ocSVM,yeast-1-2-8-9_vs_7,0.646237732
ISOF,yeast-1-2-8-9_vs_7,0.59738277
BRM,yeast-1-2-8-9_vs_7,0.837768084
GMM,yeast-1-2-8-9_vs_7,0.629916394
ocSVM,yeast1,0.535074404
ISOF,yeast1,0.506804096
BRM,yeast1,0.810117213
GMM,yeast1,0.539526508
ocSVM,yeast3,0.555133451
ISOF,yeast3,0.549592937
BRM,yeast3,0.978957195
GMM,yeast3,0.614727642
ocSVM,yeast-1_vs_7,0.66977467
ISOF,yeast-1_vs_7,0.619191919
BRM,yeast-1_vs_7,0.834188034
GMM,yeast-1_vs_7,0.644133644
ocSVM,yeast-1-4-5-8_vs_7,0.530367019
ISOF,yeast-1-4-5-8_vs_7,0.516138763
BRM,yeast-1-4-5-8_vs_7,0.83453997
GMM,yeast-1-4-5-8_vs_7,0.525992961
ocSVM,yeast6,0.795977521
ISOF,yeast6,0.764073745
BRM,yeast6,0.949817608
GMM,yeast6,0.694745144
ocSVM,yeast-2_vs_8,0.742748918
ISOF,yeast-2_vs_8,0.764393939
BRM,yeast-2_vs_8,0.85487013
GMM,yeast-2_vs_8,0.754761905
ocSVM,yeast4,0.75712546
ISOF,yeast4,0.703200471
BRM,yeast4,0.911675766
GMM,yeast4,0.703857258
ocSVM,yeast-2_vs_4,0.857070258
ISOF,yeast-2_vs_4,0.835429636
BRM,yeast-2_vs_4,0.982255537
GMM,yeast-2_vs_4,0.810824546
ocSVM,yeast5,0.906707702
ISOF,yeast5,0.855508207
BRM,yeast5,0.990672348
GMM,yeast5,0.787910354
ocSVM,abalone-17_vs_7-8-9-10,0.609747429
ISOF,abalone-17_vs_7-8-9-10,0.752616455
BRM,abalone-17_vs_7-8-9-10,0.936501815
GMM,abalone-17_vs_7-8-9-10,0.824016939
ocSVM,abalone19,0.561715355
ISOF,abalone19,0.549093131
BRM,abalone19,0.867598684
GMM,abalone19,0.693415017
ocSVM,abalone9-18,0.677379225
ISOF,abalone9-18,0.740756099
BRM,abalone9-18,0.922143894
GMM,abalone9-18,0.839726311
ocSVM,abalone-3_vs_11,0.998220397
ISOF,abalone-3_vs_11,0.990691307
BRM,abalone-3_vs_11,1
GMM,abalone-3_vs_11,0.961122519
ocSVM,zoo-3,0.625
ISOF,zoo-3,0.683333333
BRM,zoo-3,1
GMM,zoo-3,0.877083333
