@relation final_dataset_v1

@attribute fingerprint {B101X9I_1_1,B102X0I_1_1,B104X8I_1_1,B105X2I_1_1,B106X8I_1_1,B107X9I_1_1,B108X6I_1_1,B109X4I_1_1,B110X6I_1_1,B111X7I_1_1,B112X2I_1_1,B114X3I_1_1,B115X8I_1_1,B116X6I_1_1,B117X0I_1_1,B118X8I_1_1,B119X0I_1_1,B120X9I_1_1,B121X7I_1_1,B122X4I_1_1,B123X1I_1_1,B124X5I_1_1,B126X1I_1_1,B127X6I_1_1,B129X7I_1_1,B130X1I_1_1,B132X7I_1_1,B134X9I_1_1,B135X8I_1_1,B136X8I_1_1,B137X6I_1_1,B138X3I_1_1,B139X2I_1_1,B140X8I_1_1,B141X4I_1_1,B142X1I_1_1,B143X6I_1_1,B144X3I_1_1,B145X8I_1_1,B146X6I_1_1,B147X7I_1_1,B148X6I_1_1,B150X3I_1_1,B151X9I_1_1,B152X8I_1_1,B153X1I_1_1,B154X6I_1_1,B155X6I_1_1,B157X7I_1_1,B158X8I_1_1,B161X1I_1_1,B163X7I_1_1,B164X3I_1_1,B165X7I_1_1,B166X3I_1_1,B167X2I_1_1,B168X1I_1_1,B169X2I_1_1,B170X7I_1_1,B171X7I_1_1,B172X1I_1_1,B173X9I_1_1,B175X6I_1_1,B176X7I_1_1,B177X6I_1_1,B179X2I_1_1,B180X4I_1_1,B181X8I_1_1,B182X7I_1_1,B183X1I_1_1,B185X7I_1_1,B187X2I_1_1,B188X7I_1_1,B189X7I_1_1,B190X8I_1_1,B191X3I_1_1,B192X9I_1_1,B193X2I_1_1,B194X8I_1_1,B195X3I_1_1,B196X7I_1_1,B197X8I_1_1,B198X6I_1_1,B199X1I_1_1,B200X6I_1_1,G001X2I_1_1,G002X3I_1_1,G003X8I_1_1,G004X8I_1_1,G005X8I_1_1,G006X6I_1_1,G007X1I_1_1,G008X6I_1_1,G009X8I_1_1,G011X7I_1_1,G012X8I_1_1,G013X4I_1_1,G014X7I_1_1,G016X8I_1_1,G017X9I_1_1,G018X6I_1_1,G019X1I_1_1,G021X7I_1_1,G023X6I_1_1,G026X9I_1_1,G027X6I_1_1,G028X1I_1_1,G029X9I_1_1,G030X1I_1_1,G031X6I_1_1,G032X6I_1_1,G033X7I_1_1,G034X6I_1_1,G035X6I_1_1,G036X6I_1_1,G037X6I_1_1,G038X6I_1_1,G039X4I_1_1,G040X6I_1_1,G041X6I_1_1,G042X2I_1_1,G043X8I_1_1,G044X7I_1_1,G045X9I_1_1,G046X1I_1_1,G047X4I_1_1,G049X3I_1_1,G050X7I_1_1,G051X6I_1_1,G052X9I_1_1,G053X6I_1_1,G055X3I_1_1,G056X9I_1_1,G057X4I_1_1,G058X4I_1_1,G059X1I_1_1,G060X1I_1_1,G061X4I_1_1,G062X9I_1_1,G063X2I_1_1,G064X1I_1_1,G065X6I_1_1,G066X4I_1_1,G068X6I_1_1,G069X7I_1_1,G070X2I_1_1,G071X2I_1_1,G072X1I_1_1,G073X8I_1_1,G074X3I_1_1,G075X3I_1_1,G076X3I_1_1,G077X1I_1_1,G078X3I_1_1,G079X1I_1_1,G080X8I_1_1,G081X1I_1_1,G082X6I_1_1,G083X8I_1_1,G084X6I_1_1,G085X2I_1_1,G086X9I_1_1,G087X8I_1_1,G088X7I_1_1,G089X0I_1_1,G090X5I_1_1,G092X3I_1_1,G093X8I_1_1,G094X6I_1_1,G095X6I_1_1,G096X2I_1_1,G099X9I_1_1,U201X6I_1_1,U202X8I_1_1,U204X2I_1_1,U205X4I_1_1,U206X3I_1_1,U209X7I_1_1,U212X2I_1_1,U214X5I_1_1,U215X8I_1_1,U216X4I_1_1,U217X6I_1_1,U220X5I_1_1,U221X9I_1_1,U223X6I_1_1,U224X6I_1_1,U225X6I_1_1,U226X3I_1_1,U227X6I_1_1,U228X3I_1_1,U229X2I_1_1,U230X6I_1_1,U231X2I_1_1,U232X4I_1_1,U233X6I_1_1,U236X2I_1_1,U237X1I_1_1,U238X1I_1_1,U240X1I_1_1,U241X6I_1_1,U242X1I_1_1,U245X7I_1_1,U246X8I_1_1,U247X1I_1_1,U249X3I_1_1,U250X1I_1_1,U251X1I_1_1,U252X6I_1_1,U253X9I_1_1,U254X3I_1_1,U255X1I_1_1,U256X7I_1_1,U257X3I_1_1,U258X1I_1_1,U260X8I_1_1,U261X6I_1_1,U263X1I_1_1,U265X3I_1_1,U267X3I_1_1,U268X4I_1_1,U269X3I_1_1,U270X6I_1_1,U271X6I_1_1,U272X9I_1_1,U273X6I_1_1,U276X6I_1_1,U277X9I_1_1,U280X5I_1_1,U281X7I_1_1,U282X2I_1_1,U283X6I_1_1,U284X2I_1_1,U285X4I_1_1,U286X6I_1_1,U287X3I_1_1,U288X6I_1_1,U289X6I_1_1,U290X4I_1_1,U291X6I_1_1,U293X1I_1_1,U294X6I_1_1,U295X1I_1_1,U296X6I_1_1,U298X2I_1_1,U299X8I_1_1,U300X2I_1_1}
@attribute minutia {v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81}
@attribute r15 numeric
@attribute r30 numeric
@attribute r45 numeric
@attribute r60 numeric
@attribute r75 numeric
@attribute r90 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute l4 numeric
@attribute l5 numeric
@attribute l6 numeric
@attribute d0 numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute d11 numeric
@attribute q0 numeric
@attribute q1 numeric
@attribute q2 numeric
@attribute q3 numeric
@attribute q4 numeric
@attribute q5 numeric
@attribute q6 numeric
@attribute q7 numeric
@attribute q8 numeric
@attribute q9 numeric
@attribute q10 numeric
@attribute q11 numeric
@attribute alpha0 numeric
@attribute alpha0r numeric
@attribute alpha1 numeric
@attribute alpha1r numeric
@attribute alpha2 numeric
@attribute alpha2r numeric
@attribute alpha3 numeric
@attribute alpha3r numeric
@attribute alpha4 numeric
@attribute alpha4r numeric
@attribute alpha5 numeric
@attribute alpha5r numeric
@attribute alpha6 numeric
@attribute alpha6r numeric
@attribute alpha7 numeric
@attribute alpha7r numeric
@attribute alpha8 numeric
@attribute alpha8r numeric
@attribute alpha9 numeric
@attribute alpha9r numeric
@attribute alpha10 numeric
@attribute alpha10r numeric
@attribute alpha11 numeric
@attribute alpha11r numeric
@attribute beta0 numeric
@attribute beta0r numeric
@attribute beta1 numeric
@attribute beta1r numeric
@attribute beta2 numeric
@attribute beta2r numeric
@attribute beta3 numeric
@attribute beta3r numeric
@attribute beta4 numeric
@attribute beta4r numeric
@attribute beta5 numeric
@attribute beta5r numeric
@attribute beta6 numeric
@attribute beta6r numeric
@attribute beta7 numeric
@attribute beta7r numeric
@attribute beta8 numeric
@attribute beta8r numeric
@attribute beta9 numeric
@attribute beta9r numeric
@attribute beta10 numeric
@attribute beta10r numeric
@attribute beta11 numeric
@attribute beta11r numeric
@attribute score_change numeric

@data
G017X9I_1_1,v6,0,2,4,8,9,11,2,2,4,1,2,11,23.853721,25.942244,42.047592,44.418465,48.083261,48.918299,53.665631,55.317267,66.573268,83.09633,89.693924,98.086696,0.05,0.070833,0.191667,0.229167,0.258333,0.270833,0.333333,0.354167,0.529167,0.747917,0.80625,0.858333,13.863986,188.005579,12.806724,340.948316,16.476787,352.335194,15.402688,186.261095,13.583052,88.724645,12.429876,108.571468,15.965556,176.823963,14.149781,66.291374,13.858948,71.000541,13.335767,290.477359,16.040416,28.898823,12.878703,291.020296,171,-164.716815,325,-318.716815,339,-332.716815,174,-167.716815,72,-65.716815,93,-86.716815,164,-157.716815,49,-42.716815,54,-47.716815,274,-267.716815,16,-9.716815,275,-268.716815,0
G018X6I_1_1,v6,0,0,2,5,6,8,0,2,3,1,2,8,35.608988,41.231056,50.219518,57.706152,59.941638,62.169124,79.177017,87.418534,104.560987,105.475116,130.172962,145.220522,0.079365,0.103175,0.174603,0.214286,0.230159,0.261905,0.380952,0.436508,0.59127,0.599206,0.781746,0.857143,357.095173,339.95358,355.746887,165.605294,357.044824,331.903231,353.77451,29.916103,354.372375,35.513968,352.838351,339.979944,356.915446,143.773854,352.339724,305.481316,353.875614,66.017206,352.095561,109.237153,352.094468,111.236061,357.944883,131.803291,-7.716815,14,-180.716815,187,-15.716815,22,-320.716815,327,-315.716815,322,-9.716815,16,-203.716815,210,-43.716815,50,-284.716815,291,-239.716815,246,-237.716815,244,-216.716815,223,1
G019X1I_1_1,v6,2,3,4,4,6,8,1,1,0,2,2,6,8.602325,14.866069,22.022716,31.780497,68,69.641941,80.504658,85.381497,92.070625,97.005155,101.044545,104.393486,0.012821,0.025641,0.051282,0.102564,0.452991,0.470085,0.600427,0.651709,0.720085,0.799145,0.850427,0.886752,17.478657,188.337064,19.262185,15.120592,15.333034,21.474627,14.138234,187.279827,16.36845,204.510043,14.72749,19.869082,15.39964,209.541233,14.96586,33.107453,13.869464,161.011057,13.727124,1.868716,15.257917,216.399509,19.836426,168.694833,174,-167.716815,5.283185,1,3,3.283185,170,-163.716815,185,-178.716815,2,4.283185,191,-184.716815,15,-8.716815,144,-137.716815,-8.716815,15,198,-191.716815,152,-145.716815,1
G021X7I_1_1,v6,0,0,1,2,5,10,0,1,1,3,5,10,35.846897,45.177428,62.936476,72.111026,72.449983,81.437092,82.152298,87.572827,88.29496,89.944427,94.371606,104.235311,0.095238,0.206349,0.396825,0.452381,0.468254,0.531746,0.547619,0.626984,0.642857,0.654762,0.674603,0.765873,334.903137,321.761545,336.516553,326.37496,334.165084,187.023491,333.913906,173.772313,331.830136,347.971729,334.998511,96.856919,334.409265,232.267672,335.314763,262.173171,332.059114,5.483892,334.930744,70.789152,334.307838,235.166245,333.369014,179.510607,-3.716815,10,-0.716815,7,-137.716815,144,-150.716815,157,13,-6.716815,-228.716815,235,-92.716815,99,-63.716815,70,-329.716815,336,-254.716815,261,-89.716815,96,-150.716815,157,0
G023X6I_1_1,v6,0,3,3,9,11,15,3,0,6,2,4,15,21.023796,26.172505,28.635642,52.201533,54.626001,55.217751,55.578773,58.821765,59.008474,62.369865,73.824115,79.22752,0.024242,0.060606,0.078788,0.309091,0.348485,0.357576,0.360606,0.381818,0.384848,0.433333,0.587879,0.634848,56.240028,231.381621,60.885123,45.743531,55.855203,70.996796,56.639655,82.781248,57.4439,67.585493,58.811059,41.669467,56.143169,243.284762,55.976613,237.118205,60.983052,343.84146,55.570289,156.711882,55.210756,328.352349,56.363415,272.505008,172,-165.716815,-5.716815,12,12,-5.716815,23,-16.716815,7,-0.716815,-7.716815,14,184,-177.716815,178,-171.716815,286,-279.716815,98,-91.716815,270,-263.716815,213,-206.716815,0
G026X9I_1_1,v6,0,3,6,10,12,14,3,3,4,2,2,14,27,27.294688,29.832868,33.734256,39.849718,44.777226,49.578221,50.774009,53.338541,57.58472,63.285069,65,0.151852,0.162963,0.181481,0.22963,0.333333,0.418519,0.472222,0.490741,0.52037,0.574074,0.627778,0.644444,342.429204,278.287611,341.932781,305.791188,341.548854,310.407261,341.06743,332.925838,342.123325,271.981732,341.915598,264.774005,341.700886,268.559294,341.419094,277.277502,342.541931,110.400339,341.213113,282.07152,342.977753,288.83616,341.107117,289.965525,-54.716815,61,-26.716815,33,-21.716815,28,1.283185,5,-60.716815,67,-67.716815,74,-63.716815,70,-54.716815,61,-222.716815,229,-49.716815,56,-44.716815,51,-41.716815,48,1
G027X6I_1_1,v6,1,1,1,1,2,2,0,0,0,1,0,1,14.21267,64.124878,105.75916,110.276924,121.655251,129.034879,136.341483,138.917242,145.041373,151.092687,151.476071,167.026944,0.004386,0.414474,0.66886,0.682018,0.714912,0.736842,0.760965,0.767544,0.791667,0.796053,0.798246,0.828947,1.172678,186.31427,3.491622,4.633215,4.127574,337.985981,1.325764,181.467356,3.907556,335.765963,3.736249,5.594657,1.636556,355.778149,3.595536,31.453943,3.192586,217.050993,2.894459,171.752867,3.508507,46.366915,3.447166,51.305573,182,-175.716815,4.283185,2,337,-330.716815,177,-170.716815,335,-328.716815,5,1.283185,351,-344.716815,31,-24.716815,217,-210.716815,172,-165.716815,46,-39.716815,51,-44.716815,1
G028X1I_1_1,v6,0,1,1,2,4,5,1,0,1,2,1,5,28.861739,52.392748,63.06346,72.006944,86.76981,95.885348,101.400197,106.09901,106.381389,108.706026,109.836242,116.180893,0.104167,0.270833,0.395833,0.479167,0.671875,0.71875,0.760417,0.802083,0.8125,0.828125,0.833333,0.885417,315.674182,130.53259,315.016793,148.875201,312.765442,282.907035,313.690976,63.832568,312.766721,273.908314,313.72241,60.864003,312.198737,70.340329,312.088367,73.22996,312.372314,52.513906,312.775945,158.917538,312.865513,105.007106,313.133909,89.275502,-175.716815,182,-156.716815,163,-26.716815,33,-246.716815,253,-35.716815,42,-249.716815,256,-238.716815,245,-235.716815,242,-256.716815,263,-150.716815,157,-204.716815,211,-220.716815,227,1
G029X9I_1_1,v6,0,2,3,5,5,7,2,1,2,0,2,7,22.36068,27.294688,39.812058,50.219518,53.037722,75.286121,76.419893,105.68349,107.042048,137.640837,143.136299,146.208755,0.087719,0.114035,0.184211,0.333333,0.350877,0.54386,0.587719,0.811404,0.833333,0.916667,0.925439,0.938596,337.965556,141.823963,335.140533,336.282125,335.085289,331.226882,337.813584,187.671991,336.820689,35.962282,337.154953,204.013361,336.110029,47.251622,335.173819,298.315412,335.315641,115.457234,335.643831,80.785423,335.413699,93.555292,335.942056,63.083648,-186.716815,193,4.283185,2,-0.716815,7,-140.716815,147,-297.716815,304,-123.716815,130,-285.716815,292,-33.716815,40,-216.716815,223,-251.716815,258,-238.716815,245,-269.716815,276,1
G030X1I_1_1,v6,1,3,8,10,11,11,2,5,2,1,0,10,14.866069,27.202941,27.784888,31.304952,38.832976,40,42.107007,45,51.971146,57.723479,69.065187,91.411159,0.014493,0.057971,0.072464,0.123188,0.173913,0.181159,0.188406,0.231884,0.297101,0.333333,0.471014,0.612319,208.059839,210.201431,208.658815,182.800407,211.386482,208.244889,209.751259,173.892851,213.792504,209.650911,209.287611,170.429204,213.928693,210.7871,208.360316,178.501908,211.905284,222.763692,210.613429,177.755021,213.029254,224.887661,212.253264,51.111671,5.283185,1,-22.716815,29,6.283185,6.283185,-32.716815,39,5.283185,1,-35.716815,42,6.283185,6.283185,-26.716815,33,14,-7.716815,-29.716815,36,15,-8.716815,-151.716815,158,0
G031X6I_1_1,v6,0,1,3,5,7,12,1,2,2,2,5,12,25.96151,31.890437,32.893768,56.859476,58.5235,63.56886,70.724819,75.106591,77.620873,85.959293,87.982953,88.526832,0.086538,0.157051,0.169872,0.496795,0.528846,0.628205,0.764423,0.825321,0.841346,0.897436,0.911859,0.919872,350.156195,330.014602,351.28117,341.139577,349.199386,329.057794,349.456166,315.314573,350.723934,325.582341,350.092529,317.950936,349.623808,312.482216,348.805124,334.946717,349.241306,317.099713,348.347919,358.489512,349.879038,132.737445,349.097907,322.956314,-10.716815,17,-0.716815,7,-10.716815,17,-24.716815,31,-15.716815,22,-22.716815,29,-27.716815,34,-10.716815,17,-22.716815,29,7,-0.716815,-207.716815,214,-16.716815,23,0
G032X6I_1_1,v6,1,5,9,14,18,23,4,4,5,4,5,22,10.198039,18.11077,22.203603,22.36068,23.769729,31.780497,41.484937,42.426407,43.566042,46.861498,47.434165,52.009614,0.007246,0.061594,0.097826,0.105072,0.134058,0.199275,0.307971,0.318841,0.326087,0.376812,0.398551,0.471014,62.090215,82.231808,63.74775,73.889343,61.662126,83.803719,65.892851,183.751259,66.611681,179.470089,61.138234,87.279827,64.126774,49.985181,66.214602,6.073009,66.838625,351.697032,61.592873,89.734465,65.107453,40.96586,65.409975,23.268383,17,-10.716815,7,-0.716815,19,-12.716815,121,-114.716815,116,-109.716815,23,-16.716815,-4.716815,11,-50.716815,57,288,-281.716815,25,-18.716815,-14.716815,21,-32.716815,39,0
G033X7I_1_1,v6,0,0,2,4,6,8,0,2,2,2,2,8,36.619667,44.14748,51.855569,55.072679,61.854668,70.178344,77.987178,81.271151,93.407708,97.046381,102.313244,102.610916,0.205556,0.294444,0.4,0.472222,0.594444,0.702778,0.797222,0.830556,0.911111,0.936111,0.952778,0.958333,353.389274,338.247681,352.6577,158.516108,348.406615,1.548207,352.941593,331.8,353.398545,337.256953,353.928693,349.7871,353.287201,326.145609,353.030857,145.889265,353.085552,319.943959,352.460122,316.318529,347.795086,3.936678,353.773932,355.632339,-5.716815,12,-184.716815,191,-343.716815,350,-11.716815,18,-6.716815,13,5.283185,1,-17.716815,24,-197.716815,204,-23.716815,30,-26.716815,33,-340.716815,347,5,1.283185,0
G034X6I_1_1,v6,0,1,4,5,8,8,1,3,1,3,0,8,23.600847,39.824616,40.012498,43.416587,50.328918,63.560994,63.82006,70.611614,90.785461,91.241438,97.015463,97.18539,0.060897,0.240385,0.24359,0.285256,0.38141,0.548077,0.551282,0.636218,0.846154,0.847756,0.892628,0.895833,56.351841,69.493434,58.179745,64.321338,57.312606,82.454198,61.743849,64.602256,57.653358,68.794951,60.651286,61.509693,58.239979,54.381572,61.785939,80.644347,57.756185,112.897777,56.809259,112.950851,61.750021,93.608429,60.490981,50.349388,10,-3.716815,3,3.283185,22,-15.716815,6,0.283185,8,-1.716815,4,2.283185,-0.716815,7,22,-15.716815,52,-45.716815,53,-46.716815,35,-28.716815,-0.716815,7,1
G035X6I_1_1,v6,0,0,0,1,2,3,0,0,1,1,1,3,53.084838,74.1485,75.66373,108.908218,128.140548,141.014184,147.959454,150.479234,152.46311,157.442053,161.505418,182.016483,0.25,0.431818,0.439394,0.75,0.844697,0.905303,0.931818,0.943182,0.94697,0.950758,0.962121,0.984848,317.37266,133.231068,315.682173,311.823765,314.420163,122.561755,315.329011,317.470604,315.811567,1.953159,315.22909,107.370682,315.626543,53.768135,314.207781,303.349374,315.321362,99.462955,315.411804,81.553396,315.721764,50.863357,315.397217,89.538809,-174.716815,181,-0.716815,7,-188.716815,195,5.283185,1,-310.716815,317,-204.716815,211,-258.716815,265,-7.716815,14,-212.716815,219,-230.716815,237,-261.716815,268,-222.716815,229,1
G036X6I_1_1,v6,0,0,1,2,3,5,0,1,1,1,2,5,38.626416,53.235327,73.498299,83.486526,89.274856,91.787799,96.674712,102.615788,109.635761,115.520561,123.967738,141.509717,0.05,0.108333,0.166667,0.25,0.266667,0.283333,0.325,0.391667,0.408333,0.458333,0.525,0.608333,63.087706,75.229299,63.205667,221.34726,67.167725,53.026132,65.039124,72.180717,64.209121,257.350714,68.487611,353.346018,68.317182,153.175589,65.592155,74.733748,64.029359,263.170951,67.219924,40.078331,64.466022,274.607614,63.729012,280.870604,9,-2.716815,155,-148.716815,-4.716815,11,4,2.283185,190,-183.716815,288,-281.716815,88,-81.716815,6,0.283185,196,-189.716815,-17.716815,24,207,-200.716815,214,-207.716815,0
G037X6I_1_1,v6,0,1,2,5,6,8,1,1,3,1,2,8,25.96151,42.296572,51.351728,51.623638,57.31492,73.552702,86.005814,88.842557,96.896852,103.097042,115.935327,118.869677,0.077381,0.169643,0.25,0.255952,0.303571,0.488095,0.641369,0.671131,0.72619,0.758929,0.822917,0.848214,39.585399,219.726991,39.976897,41.835305,39.975516,213.833923,37.267201,194.408793,36.821692,18.963284,39.092238,228.23383,38.299238,61.440831,38.491629,62.633222,37.745422,184.887014,36.862827,353.00442,37.692432,16.834024,41.251608,198.110015,177,-170.716815,5,1.283185,177,-170.716815,154,-147.716815,-14.716815,21,186,-179.716815,20,-13.716815,21,-14.716815,144,-137.716815,313,-306.716815,-17.716815,24,160,-153.716815,0
G038X6I_1_1,v6,1,2,3,4,4,7,1,1,1,0,3,6,7.28011,24.33105,39.204592,51.86521,80.454956,81.437092,88.073833,95.131488,105.513032,105.645634,108.166538,150.764717,0.004065,0.060976,0.150407,0.239837,0.487805,0.497967,0.575203,0.642276,0.739837,0.743902,0.772358,0.953252,1.849096,174.707503,4.54724,346.122462,4.814596,345.389818,4.378444,330.953666,4.14852,313.723742,5.143081,332.718304,0.217437,356.075845,5.692267,347.267489,6.024414,349.599636,5.571479,326.146701,0.339293,174.1977,5.202736,296.777959,176,-169.716815,351,-344.716815,350,-343.716815,336,-329.716815,319,-312.716815,337,-330.716815,359,-352.716815,351,-344.716815,353,-346.716815,330,-323.716815,177,-170.716815,301,-294.716815,1
G039X4I_1_1,v6,0,1,3,6,8,11,1,2,3,2,3,11,28.600699,33.526109,38.052595,48.259714,48.373546,57.489129,65.14599,66.61081,76.243032,84.291162,89.308454,95.414884,0.058824,0.107843,0.196078,0.294118,0.303922,0.392157,0.539216,0.588235,0.676471,0.769608,0.828431,0.882353,70.494916,60.353323,68.590496,87.732089,68.340194,97.481787,67.310564,82.452157,67.768465,107.910058,68.986804,85.128396,69.546365,74.687958,68.423139,91.564731,67.009528,87.15112,68.20447,109.346062,69.264194,77.405786,68.863986,87.005579,-0.716815,7,16,-9.716815,26,-19.716815,12,-5.716815,37,-30.716815,13,-6.716815,2,4.283185,20,-13.716815,17,-10.716815,38,-31.716815,5,1.283185,15,-8.716815,0
G040X6I_1_1,v6,0,0,2,3,4,4,0,2,1,1,0,4,31.38471,43.104524,58.249464,60.41523,111.085553,163.44418,167.092789,174.401835,190.779978,196.987309,200.883051,211.06634,0.085586,0.157658,0.274775,0.283784,0.745495,0.952703,0.961712,0.975225,0.993243,0.995495,0.997748,1,323.465045,312.323452,323.930345,143.788753,323.792504,312.650911,322.855831,130.714239,323.592744,129.451151,323.049453,307.907861,322.621904,319.480312,323.068118,301.926525,322.565912,330.424319,323.149944,301.008351,322.921796,301.780204,323.406741,304.265149,-1.716815,8,-170.716815,177,-1.716815,8,-182.716815,189,-184.716815,191,-5.716815,12,6.283185,6.283185,-11.716815,18,11,-4.716815,-12.716815,19,-11.716815,18,-9.716815,16,1
G041X6I_1_1,v6,0,0,0,0,3,6,0,0,0,3,3,6,65.306967,66.407831,71.028163,79.881162,82.764727,89,90.210864,110.440029,112.538882,113.846388,120.266371,121.313643,0.65,0.671429,0.727381,0.780952,0.796429,0.85,0.858333,0.939286,0.947619,0.953571,0.967857,0.971429,33.730714,61.872306,32.038565,9.180158,33.902951,55.044543,32.315234,32.456826,33.494485,65.636078,33.287611,74.429204,37.372019,351.230426,32.001333,338.142926,33.539055,247.680648,32.508424,87.650017,33.221043,83.362636,32.779712,99.921305,25,-18.716815,-19.716815,26,18,-11.716815,3.283185,3,29,-22.716815,38,-31.716815,317,-310.716815,303,-296.716815,211,-204.716815,52,-45.716815,47,-40.716815,64,-57.716815,1
G042X2I_1_1,v6,1,2,5,11,16,17,1,3,6,5,1,16,14.142136,16.03122,33.286634,36.878178,41.629317,46.173586,48.826222,48.836462,51.623638,53.814496,56.435804,61.032778,0.018519,0.024691,0.216049,0.246914,0.302469,0.358025,0.41358,0.419753,0.493827,0.527778,0.570988,0.598765,347.000304,149.858712,345.35003,342.491622,345.858948,13.000541,346.149781,154.291374,347.279071,16.137478,346.771669,40.913262,347.818478,160.676885,346.029558,181.171151,348.584799,144.443206,349.162019,329.020426,343.84117,114.982762,346.247681,59.389274,-187.716815,194,0.283185,6,-329.716815,336,-188.716815,195,-321.716815,328,-302.716815,309,-177.716815,184,-161.716815,168,-194.716815,201,-10.716815,17,-225.716815,232,-283.716815,290,1
G043X8I_1_1,v6,0,1,1,2,3,6,1,0,1,1,3,6,20,48.754487,61.554854,78.00641,82,89.319651,100.657836,103.870111,104.048066,112.008928,112.285351,114.236597,0.055556,0.302469,0.41358,0.580247,0.611111,0.703704,0.787037,0.808642,0.811728,0.87037,0.882716,0.888889,57.858407,61,57.413106,51.554699,55.536682,240.678275,55.65693,92.798522,56.066297,93.207889,55.095242,195.236835,55.082562,58.224155,56.70388,79.845473,54.959462,22.101055,55.072451,72.214043,60.928693,354.7871,57.336004,234.477597,6.283185,6.283185,-2.716815,9,182,-175.716815,34,-27.716815,34,-27.716815,137,-130.716815,6.283185,6.283185,20,-13.716815,-29.716815,36,14,-7.716815,297,-290.716815,174,-167.716815,1
G044X7I_1_1,v6,0,2,3,5,7,9,2,1,2,2,2,9,28.600699,28.635642,34.928498,51.009803,58.796258,66,70.774289,78.057671,83.862983,90.271812,97.693398,100.404183,0.089286,0.095238,0.14881,0.333333,0.482143,0.571429,0.627976,0.720238,0.764881,0.821429,0.863095,0.892857,59.353323,71.494916,59.855203,60.996796,61.445997,261.58759,61.838802,92.980395,61.012841,320.154434,60.287611,239.429204,61.45166,122.593253,61.819965,87.961557,60.825986,335.967578,61.780786,84.922378,60.687127,350.828719,61.278692,125.420284,9,-2.716815,4.283185,2,197,-190.716815,28,-21.716815,256,-249.716815,176,-169.716815,58,-51.716815,23,-16.716815,272,-265.716815,20,-13.716815,287,-280.716815,61,-54.716815,1
G045X9I_1_1,v6,0,2,6,11,12,14,2,4,5,1,2,14,21.18962,30,34.525353,35.805028,42.011903,43.566042,49.729267,52.345009,53.225934,53.935146,57.140179,61.294372,0.045455,0.121212,0.176768,0.191919,0.267677,0.287879,0.373737,0.393939,0.409091,0.424242,0.489899,0.54798,304.092529,112.950936,301.931112,146.072705,301.112939,321.254531,305.373257,303.231664,301.311416,326.453009,303.019782,218.87819,302.593919,203.735512,303.616785,36.475192,301.734453,154.876046,304.615691,6.474098,302.284967,187.426559,303.351244,211.209651,-181.716815,188,-152.716815,159,17,-10.716815,1,5.283185,22,-15.716815,-74.716815,81,-95.716815,102,-257.716815,264,-143.716815,150,-288.716815,295,-111.716815,118,-82.716815,89,0
G046X1I_1_1,v6,0,1,2,4,6,9,1,1,2,2,3,9,23.4094,43.566042,45.891176,59.076222,61.619802,70.767224,76.367532,79.378838,85.287748,95.015788,100.184829,101.597244,0.046099,0.184397,0.198582,0.326241,0.351064,0.450355,0.521277,0.567376,0.632979,0.742908,0.796099,0.822695,64.636382,70.777975,64.126236,82.267829,68.802604,71.661012,65.807604,58.949196,66.701214,48.559621,68.254581,57.112988,63.502213,99.643806,64.621313,91.762906,68.917832,75.77624,65.147498,40.289091,66.952164,53.810571,63.220089,110.361682,3,3.283185,15,-8.716815,6,0.283185,-3.716815,10,-8.716815,15,-1.716815,8,33,-26.716815,24,-17.716815,10,-3.716815,-21.716815,28,-3.716815,10,44,-37.716815,1
G047X4I_1_1,v6,0,3,7,12,14,16,3,4,5,2,2,16,21.095023,24.758837,28.284271,31.112698,31.400637,35.355339,36.069378,49.193496,49.193496,52.554733,54.589376,56.568542,0.049479,0.088542,0.122396,0.161458,0.171875,0.213542,0.226563,0.40625,0.40625,0.46875,0.486979,0.510417,346.192659,12.334252,350.243165,341.101573,348.000304,13.858712,347.073009,18.214602,345.366685,17.508278,350.214602,332.073009,348.663411,315.521818,347.39476,203.536352,348.322055,151.180462,349.79911,317.657517,350.503577,342.361985,348.000304,256.858712,-330.716815,337,0.283185,6,-324.716815,331,-325.716815,332,-324.716815,331,-8.716815,15,-23.716815,30,-140.716815,147,-187.716815,194,-22.716815,29,1.283185,5,-81.716815,88,0
