"","fingerprint","minutia","x","y","angle","score_change","d0","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","d11","r15","r30","r45","r60","r75","r90"
"B101X9I_1_1#v10","B101X9I_1_1","v10",326,481,136,-0.236794148,24.1867732448956,40.4969134626332,41.0365690573664,52.2015325445527,53.5350352572967,56.8858506133116,62.9682459657247,73.5391052434009,83.815273071201,86.2844134244419,106.099010362962,144.170038496215,0,1,3,6,8,10
"B101X9I_1_1#v11","B101X9I_1_1","v11",355,526,120,-0.072112009,14.0356688476182,15.0332963783729,19.1049731745428,24.0416305603426,53.5350352572967,61.2698947281616,67.1863081289633,75.8221603490694,99.9049548320803,101.079176886241,114.756263445618,168.240898713719,1,4,4,5,7,8
"B101X9I_1_1#v12","B101X9I_1_1","v12",369,527,111,0.079240027,10.816653826392,14.0356688476182,15.0332963783729,21.9317121994613,57.4891294072192,62.9682459657247,68.5930025585701,86.3712915267567,90.6090503205943,96.7677632272236,114.157785542643,164.468842033985,2,4,4,5,7,8
"B101X9I_1_1#v13","B101X9I_1_1","v13",378,533,99,0.039080282,10.816653826392,23.259406699226,24.0416305603426,32.5576411921994,62.1288982680363,73.5391052434009,76.1577310586391,89.6270048590267,97.082439194738,100.224747442934,120.037494142455,167.836229700265,1,3,4,4,6,8
"B102X0I_1_1#v0","B102X0I_1_1","v0",494,505,7,-0.602833137,12.1655250605964,48.0520551069359,54.230987451825,73.0616178304313,74.7328575661335,87.4185335040574,94.1912947145329,95.3519795284817,97.7547952787995,98.3107318658548,100.881118153994,105.683489722851,1,1,1,3,5,6
"B102X0I_1_1#v1","B102X0I_1_1","v1",447,515,0,-0.4634499,16.5529453572468,48.0520551069359,49.6487663492256,49.6487663492256,53.3104117410474,53.7121960079831,62.0322496770833,71.175838597097,79.1959594928933,79.6241169495775,85.7029754442633,87.091905479212,0,1,1,6,8,12
"B102X0I_1_1#v2","B102X0I_1_1","v2",363,538,355,-0.08236337,30.8706980808663,35.0570962859162,40,51.9711458407451,53.7587202228625,83.815273071201,85.8661749468322,87.091905479212,97.5909831900468,135.092560861063,140.406552553647,142.130221979704,0,0,3,5,5,8
"B102X0I_1_1#v3","B102X0I_1_1","v3",496,493,350,-0.637055621,12.1655250605964,53.7121960079831,56.4358042380899,65,69.6419413859206,79.2590688817374,83.9523674472614,88.5268320906153,88.8144132446981,96.1873172512884,107,107.018689956474,1,1,1,3,5,9
"B102X0I_1_1#v4","B102X0I_1_1","v4",398,536,353,-0.456768029,34.0587727318528,35.0570962859162,37.0540146272978,43.9317652729776,51.662365412358,53.3104117410474,55.3172667437573,75.5843899227876,77.3175271203108,100.881118153994,107.018689956474,118.431414751323,0,0,4,7,7,9
"B102X0I_1_1#v5","B102X0I_1_1","v5",440,500,343,-0.524791711,16.5529453572468,33.2415402771893,40.0124980474851,51.478150704935,54.230987451825,55.3172667437573,56.4358042380899,63.8905313798532,64.7765389628066,67.0671305484289,77.0259696466069,79.1012010022604,0,1,3,7,10,13
"B102X0I_1_1#v6","B102X0I_1_1","v6",400,499,342,-0.27652791,12.5299640861417,26.4007575648882,37.0135110466435,37.0540146272978,40.0124980474851,41,43.8406204335659,49.6487663492256,53.7587202228625,88.3911760301898,89.5544527089524,94.1912947145329,1,2,7,9,9,11
"B102X0I_1_1#v7","B102X0I_1_1","v7",376,510,342,-0.165557681,17.6918060129541,21.4009345590327,26.4007575648882,30.8706980808663,34.0587727318528,53.160135440008,64.7765389628066,69.2026011071838,71.175838597097,112.004464196745,113.569362065656,118.105884696742,0,3,5,6,9,9
"B102X0I_1_1#v8","B102X0I_1_1","v8",363,498,339,-0.130058157,17.6918060129541,26.4764045897475,37.0135110466435,40,48.0104155366312,51.662365412358,74.3236167042482,77.0259696466069,85.7029754442633,111.758668567588,117.136672310596,131.186889588861,0,2,4,6,7,9
"B102X0I_1_1#v9","B102X0I_1_1","v9",431,468,331,-0.710690251,33.2415402771893,41,43.8406204335659,44.5533388198909,48.7647413609464,48.8773976393997,49.6487663492256,69.2026011071838,69.6419413859206,73.0616178304313,73.8782782690555,74.3236167042482,0,0,4,7,12,13
"B102X0I_1_1#v10","B102X0I_1_1","v10",391,459,325,-0.087761626,34.0587727318528,41,41,48.0104155366312,53.160135440008,63.8905313798532,65.2150289427215,75.2861208988748,77.3175271203108,79.1959594928933,83.815273071201,99.3629709700752,0,0,3,5,7,11
"B102X0I_1_1#v11","B102X0I_1_1","v11",444,421,321,0.182613298,24.8394846967484,35.4400902933387,48.7647413609464,65.2150289427215,79.1012010022604,88.8144132446981,89.5544527089524,90.6035319399857,94.0478601564119,97.7547952787995,111.758668567588,112.004464196745,0,1,2,3,4,7
"B102X0I_1_1#v12","B102X0I_1_1","v12",463,437,320,0.155780053,24.8394846967484,30.0166620396073,44.5533388198909,65,67.0671305484289,74.7328575661335,75.2861208988748,79.6241169495775,88.3911760301898,92.8008620649614,99.0454441153151,103.40696301507,0,1,3,3,6,9
"B102X0I_1_1#v13","B102X0I_1_1","v13",389,493,165,-0.769864366,12.5299640861417,21.4009345590327,26.4764045897475,34.0587727318528,43.9317652729776,48.8773976393997,51.478150704935,51.9711458407451,62.0322496770833,90.6035319399857,92.8008620649614,105.683489722851,1,3,5,8,9,9
"B102X0I_1_1#v14","B102X0I_1_1","v14",478,411,146,0.192721296,30.0166620396073,35.4400902933387,73.8782782690555,83.9523674472614,87.091905479212,95.3519795284817,96.7729300992793,97.0463806640928,99.3629709700752,100.319489631876,108.521887193322,117.592516768713,0,0,2,2,3,5
"B102X0I_1_1#v15","B102X0I_1_1","v15",562,434,132,-0.452585192,20.2237484161567,34.8855270850248,87.091905479212,88.5268320906153,98.3107318658548,99.0454441153151,118.713941893949,135.340311806941,138.708327075198,140.662717164144,172.817823154905,174.553716660517,0,1,2,2,2,4
"B102X0I_1_1#v16","B102X0I_1_1","v16",565,454,117,0.156431631,20.2237484161567,52.6307894677631,79.2590688817374,87.4185335040574,97.0463806640928,103.40696301507,125.419296760905,132.834483474736,133.195345264014,134.729358344794,171.026313764871,174.071824256541,0,1,1,2,2,4
"B102X0I_1_1#v17","B102X0I_1_1","v17",578,403,97,-0.002922417,34.8855270850248,52.6307894677631,100.319489631876,119.920807202086,121.753850041795,132.136293273271,135.203550249245,160.729586573226,168.680170737405,172.35138525698,195.205020427242,202.237484161567,0,0,1,2,2,2
"B104X8I_1_1#v0","B104X8I_1_1","v0",443,399,56,-0.224236003,74.3034319530397,77.8203058333749,86.278618440492,99.7647232241938,115.602768132947,117.720006795786,119.281180409988,119.870763741623,123.713378419636,137.786066058945,138.708327075198,138.798414976541,0,0,0,0,1,3
"B104X8I_1_1#v1","B104X8I_1_1","v1",456,282,20,0.124903594,56.0089278597618,69.7208720542134,73.0068489937759,117.720006795786,147.665161768103,172.307864010903,188.480768249708,193.313217344288,204.012254533888,215.745220109276,251.718096290275,253.221247133806,0,0,0,1,3,3
"B104X8I_1_1#v2","B104X8I_1_1","v2",387,272,356,0.066780872,17.0293863659264,27.0739727413618,69.7208720542134,104.009614940158,138.798414976541,161.607549328613,189.04232330354,193.038856192218,195.739622968882,199.471802518551,249.20072231035,255.049014897137,0,2,2,2,3,3
"B104X8I_1_1#v3","B104X8I_1_1","v3",373,433,356,-0.20142155,29.732137494637,34.132096331752,44.0454310910905,46.0108682813094,77.8203058333749,85.5862138431184,88.090862182181,95.9009906101079,134.536240470737,152.410629550566,161.607549328613,172.307864010903,0,1,3,4,4,7
"B104X8I_1_1#v4","B104X8I_1_1","v4",385,299,343,0.066780872,21.9317121994613,27.0739727413618,73.0068489937759,81.3941029804985,115.602768132947,134.536240470737,162.012345208629,166.460205454637,168.668313562447,172.696265159383,222.144097378256,228.1074308303,0,2,2,2,3,4
"B104X8I_1_1#v5","B104X8I_1_1","v5",330,359,338,0.011141279,81.3941029804985,85.5862138431184,103.324730824716,104.009614940158,109.036691072317,114.947814246292,115.169440391104,119.870763741623,130.207526664168,147.665161768103,168.680170737405,179.075403112767,0,0,0,0,0,2
"B104X8I_1_1#v6","B104X8I_1_1","v6",370,467,338,-0.068920671,14.3178210632764,25,34.132096331752,37.1214223865412,54.4518135602479,63.9061812346818,99.7647232241938,115.169440391104,168.668313562447,186.429611381883,195.739622968882,204.012254533888,1,2,4,5,6,6
"B104X8I_1_1#v7","B104X8I_1_1","v7",377,521,315,-0.162272708,16.1554944214035,54.4518135602479,60.2992537267253,62.7694193059009,64.4127316607517,88.090862182181,138.708327075198,168.680170737405,222.144097378256,239.108761863718,249.20072231035,251.718096290275,0,1,1,2,5,6
"B104X8I_1_1#v8","B104X8I_1_1","v8",345,467,315,-0.384657821,25,38.4707681233427,44.0454310910905,62.072538211354,62.7694193059009,76.2167960491649,109.036691072317,119.281180409988,172.696265159383,192.044265730586,199.471802518551,215.745220109276,0,1,3,3,5,6
"B104X8I_1_1#v9","B104X8I_1_1","v9",407,464,232,-0.209057928,24.1867732448956,37.1214223865412,46.0108682813094,62.072538211354,64.4127316607517,64.7610994347687,74.3034319530397,130.207526664168,166.460205454637,181.135308540328,188.480768249708,193.038856192218,0,1,2,3,7,7
"B104X8I_1_1#v10","B104X8I_1_1","v10",400,283,168,0.041897328,17.0293863659264,21.9317121994613,56.0089278597618,103.324730824716,123.713378419636,152.410629550566,178.809954980141,181.135308540328,186.429611381883,192.044265730586,239.108761863718,244.131112314674,0,2,2,3,3,3
"B104X8I_1_1#v11","B104X8I_1_1","v11",383,461,153,-0.135718795,14.3178210632764,24.1867732448956,29.732137494637,38.4707681233427,60.2992537267253,66.6108099335236,86.278618440492,114.947814246292,162.012345208629,178.809954980141,189.04232330354,193.313217344288,1,3,4,4,6,7
"B104X8I_1_1#v12","B104X8I_1_1","v12",392,527,139,-0.119623098,16.1554944214035,63.9061812346818,64.7610994347687,66.6108099335236,76.2167960491649,95.9009906101079,137.786066058945,179.075403112767,228.1074308303,244.131112314674,253.221247133806,255.049014897137,0,1,1,1,4,5
"B105X2I_1_1#v0","B105X2I_1_1","v0",732,369,72,0.088481622,11.4017542509914,19.2093727122985,30.4138126514911,30.4630924234556,57.3149195236284,61,67.0074622710038,98.4123975929862,116.760438505514,117.720006795786,142.045767272383,150.3595690337,1,2,4,5,7,7
"B105X2I_1_1#v1","B105X2I_1_1","v1",720,397,68,-0.082316902,20.5182845286832,30.4630924234556,38.6005181312376,39.4081209904761,40.1123422402632,40.5215991787096,52.8866712887094,70.2922470831599,89.0056178002265,95.2942810456115,111.825757319144,120.066648158429,0,1,6,7,8,9
"B105X2I_1_1#v2","B105X2I_1_1","v2",743,366,58,0.056005926,11.4017542509914,27.5136329843952,38.6005181312376,41.6293165929973,53,63,71.0211236182588,108.189648303338,117.085438889727,122.376468326227,148.408220796558,158.473972626422,1,2,4,5,7,7
"B105X2I_1_1#v3","B105X2I_1_1","v3",691,505,352,-0.033197367,31.2569992161756,31.9061122670876,33.8378486313773,50.1198563445667,62.4259561400544,67.7790528113222,77.7946013551069,79.7558775263617,92.0869154657707,92.4770241735751,93.0483745156249,107.200746266059,0,0,3,4,6,8
"B105X2I_1_1#v4","B105X2I_1_1","v4",674,532,351,-0.313530653,31.9061122670876,34.0147027033899,35.1710107901379,61.0737259384099,64.3506021727847,70.2566722810012,89.6771988857814,90.3548559846121,92.097774131626,104.316825105062,111.64676439557,123.97580409096,0,0,3,3,6,7
"B105X2I_1_1#v5","B105X2I_1_1","v5",640,541,327,-0.001442561,35.1710107901379,36.1247837363769,44.7213595499958,58.5234995535981,62.4259561400544,78.2623792124926,95.7548954362125,96.260064408871,102.357217625334,138.65424623862,138.946032688954,152.161098839355,0,0,3,4,5,6
"B105X2I_1_1#v6","B105X2I_1_1","v6",604,538,319,-0.146754449,25.4950975679639,36.1247837363769,67.0074622710038,67.1192967781993,70.2566722810012,93.0483745156249,114.280357017293,126.210142223199,131.308796354243,162.889533119842,170.79227148791,176.640878621003,0,1,2,2,5,5
"B105X2I_1_1#v7","B105X2I_1_1","v7",605,471,319,0.259738969,53.851648071345,62.6498204307083,67.0074622710038,67.5425791630731,78.2623792124926,92.097774131626,92.4770241735751,114.982607380421,130.770791845886,133.206606442774,136.751599625014,142.351677194194,0,0,0,1,4,5
"B105X2I_1_1#v8","B105X2I_1_1","v8",660,501,317,-0.322387607,31.2569992161756,34.0147027033899,44.7213595499958,59.3043000127309,60.8769250208977,62.6498204307083,67.1192967781993,77.6208734813001,80.0562302385017,96.260064408871,106.88779163216,109.87720418722,0,0,3,4,7,9
"B105X2I_1_1#v9","B105X2I_1_1","v9",585,521,310,-0.137298804,25.4950975679639,53.851648071345,58.5234995535981,77.6208734813001,89.6771988857814,107.200746266059,113.145923479372,138.495487291103,150.213181845003,168.940818039928,182.833257368565,182.877007849538,0,1,1,3,3,5
"B105X2I_1_1#v10","B105X2I_1_1","v10",666,442,309,-0.321961896,59.3043000127309,65.2763356814704,67.5425791630731,67.7790528113222,68.8839603971781,70.2922470831599,70.7248188403477,78.0896920214186,90.3548559846121,98.4123975929862,99.1261822123701,102.357217625334,0,0,0,1,7,8
"B105X2I_1_1#v11","B105X2I_1_1","v11",771,411,238,-0.481005652,33.2866339541865,47.169905660283,52.8866712887094,53,57.3149195236284,70.2566722810012,71.6937933157397,76.3675323681471,91.2633551870629,109.48059188733,123.369364106329,123.434192993676,0,0,1,5,7,8
"B105X2I_1_1#v12","B105X2I_1_1","v12",743,429,231,-0.109008683,13.8924439894498,33.2866339541865,39.4081209904761,56.4623768539724,59.6657355607052,61,61.8465843842649,63,76.5506368360186,78.0896920214186,92.0869154657707,100.319489631876,1,1,3,5,8,10
"B105X2I_1_1#v13","B105X2I_1_1","v13",731,436,210,-0.177263277,13.8924439894498,40.5215991787096,47.169905660283,51.4198405287298,56.4003546088143,59.0338885725818,65.2763356814704,67.0074622710038,71.0211236182588,79.7558775263617,80.2309167341368,93.0859817588019,1,1,2,6,9,11
"B105X2I_1_1#v14","B105X2I_1_1","v14",765,481,203,-0.274775101,46.2709412050371,56.4003546088143,56.4623768539724,56.6038867923396,70.2566722810012,77.7946013551069,95.2942810456115,104.316825105062,106.404887105809,106.88779163216,114.908659377786,116.760438505514,0,0,0,4,5,6
"B105X2I_1_1#v15","B105X2I_1_1","v15",735,529,182,-0.123046448,45.8802789878178,50.1198563445667,56.6038867923396,61.0737259384099,80.0562302385017,93.0859817588019,95.7548954362125,100.319489631876,111.04053313993,123.369364106329,131.308796354243,132.849538952907,0,0,0,3,4,5
"B105X2I_1_1#v16","B105X2I_1_1","v16",719,486,175,-0.086436504,33.8378486313773,45.8802789878178,46.2709412050371,51.4198405287298,60.8769250208977,61.8465843842649,64.3506021727847,68.8839603971781,89.0056178002265,91.2633551870629,96.260064408871,103.947101931704,0,0,1,4,8,9
"B105X2I_1_1#v17","B105X2I_1_1","v17",717,357,122,0.270943282,19.2093727122985,27.5136329843952,28.6356421265527,40.1123422402632,76.3675323681471,76.5506368360186,80.2309167341368,99.1261822123701,129.015502944414,132.966161108757,150.266430050095,154.870913989684,0,3,4,4,4,7
"B105X2I_1_1#v18","B105X2I_1_1","v18",705,383,119,0.400123013,20.5182845286832,28.6356421265527,30.4138126514911,41.6293165929973,59.0338885725818,59.6657355607052,70.7248188403477,71.6937933157397,103.947101931704,114.908659377786,122.80065146407,126.289350303183,0,2,4,6,8,8
"B106X8I_1_1#v0","B106X8I_1_1","v0",454,437,87,0.373825738,26.9258240356725,28.6356421265527,34.9857113690718,39.4588393138977,40.3112887414927,46.8401537145215,58.6941223633168,59.1354377678901,74.2428447730823,77.1038261048049,88.1192374002408,94.5409963983879,0,2,5,8,9,11
"B106X8I_1_1#v1","B106X8I_1_1","v1",460,398,83,0.019045449,15,19.6977156035922,22.3606797749979,25.6124969497314,38.0525951808809,39.4588393138977,52,60.2079728939615,75.8946638440411,77.0778826901725,78.4346862045103,86.1220064791805,1,4,6,7,8,13
"B106X8I_1_1#v2","B106X8I_1_1","v2",472,407,78,-0.248001846,15,27.2946881279124,32.7566787083184,34.9857113690718,36.4005494464026,49.0407993409569,60.8276253029822,65.3681879816169,75.2927619363243,81.1541742610939,81.8840643837371,90.3548559846121,1,2,5,6,8,11
"B106X8I_1_1#v3","B106X8I_1_1","v3",468,380,60,-0.108691853,18.1107702762748,19.6977156035922,22.3606797749979,27.2946881279124,41.0365690573664,44.0454310910905,56.3205113613149,58.6941223633168,65.2150289427215,79.7558775263617,93.6482781475452,98.0815986819138,0,4,6,8,9,10
"B106X8I_1_1#v4","B106X8I_1_1","v4",430,327,315,0.036024663,25.0798724079689,29.4108823397055,43.2781700167648,54.0092584655631,54.7813836992093,65.2150289427215,68.9637585982667,77.0778826901725,87.5728268357257,90.3548559846121,112.587743560301,115.394973894013,0,2,3,5,7,9
"B106X8I_1_1#v5","B106X8I_1_1","v5",364,347,304,-0.179303423,68.9637585982667,74.5184540902453,76.0591874792257,85.5102333057278,91.4166286842826,94.8946784598589,101.316336293808,107.042047812997,108.706025591961,109.110036201992,120.415945787923,121.823643025482,0,0,0,0,2,4
"B106X8I_1_1#v6","B106X8I_1_1","v6",380,431,297,-0.850274765,29.8328677803526,51.2640224719052,62.3618473106755,67.8011799307357,74.2428447730823,79.5110055275369,85.5102333057278,86.5390085452797,87.8009111570034,95.0789145920377,100.801785698469,101.71037311897,0,1,1,2,5,9
"B106X8I_1_1#v7","B106X8I_1_1","v7",484,326,207,-0.37707,42.8018691180654,50.1198563445667,54.0092584655631,56.3205113613149,62.1288982680363,68.5419579527752,75.8946638440411,81.8840643837371,98.3869910099908,114.982607380421,121.823643025482,135.14806694881,0,0,1,4,6,8
"B106X8I_1_1#v8","B106X8I_1_1","v8",361,454,132,0.290075754,29.8328677803526,67.1863081289633,75.1864349467376,84.7584804016684,88.5494212290515,94.5409963983879,107.042047812997,113.740933704625,117.034183040683,120.540449642433,130.096118312577,130.602450206725,0,1,1,1,2,5
"B106X8I_1_1#v9","B106X8I_1_1","v9",421,299,131,-0.662560597,29.4108823397055,54.4242592967511,68.5419579527752,71.3442359269479,74.5184540902453,84.154619599877,93.6482781475452,106.404887105809,116.558997936667,119.436175424366,138.220837792281,141.890803084626,0,1,1,2,5,6
"B106X8I_1_1#v10","B106X8I_1_1","v10",440,350,128,-0.250518198,20.591260281974,25.0798724079689,29.732137494637,41.0365690573664,50.1198563445667,52,54.4242592967511,64,65.3681879816169,76.0591874792257,88.1192374002408,99.724620831568,0,3,4,7,9,11
"B106X8I_1_1#v11","B106X8I_1_1","v11",458,360,129,-0.255117424,19.6977156035922,20.591260281974,22.3606797749979,38.0525951808809,42.8018691180654,43.2781700167648,49.0407993409569,56.9209978830308,71.3442359269479,77.1038261048049,93.9201788754685,94.8946784598589,0,3,6,8,9,10
"B106X8I_1_1#v12","B106X8I_1_1","v12",450,378,102,-0.268214863,18.1107702762748,19.6977156035922,22.3606797749979,29.732137494637,36.4005494464026,37.3630833845388,54.7813836992093,59.1354377678901,62.1288982680363,74.3303437365925,84.154619599877,87.8009111570034,0,4,6,8,10,12
"B106X8I_1_1#v13","B106X8I_1_1","v13",428,449,105,-0.186061287,23.7697286480094,28.6356421265527,35.4682957019364,37,51.2640224719052,60.2079728939615,60.8276253029822,67.1863081289633,74.3303437365925,79.7558775263617,93.9201788754685,99.724620831568,0,2,4,5,9,10
"B106X8I_1_1#v14","B106X8I_1_1","v14",434,472,103,-0.175445108,12.2065556157337,23.7697286480094,40.3112887414927,58.309518948453,67.8011799307357,75.1864349467376,75.2927619363243,78.4346862045103,95.3519795284817,98.0815986819138,114.542568506211,122.14745187682,1,2,3,4,5,8
"B106X8I_1_1#v15","B106X8I_1_1","v15",440,414,103,-0.374353502,25.6124969497314,26.9258240356725,32.7566787083184,37,37.3630833845388,44.0454310910905,56.9209978830308,58.309518948453,62.3618473106755,64,68.0073525436772,87.5728268357257,0,2,6,8,11,13
"B106X8I_1_1#v16","B106X8I_1_1","v16",441,482,92,-0.125496802,12.2065556157337,35.4682957019364,46.8401537145215,68.0073525436772,79.5110055275369,81.1541742610939,84.7584804016684,86.1220064791805,104.388696706109,105.513032370414,123.178731930476,132.003787824441,1,1,2,3,4,8
"B107X9I_1_1#v0","B107X9I_1_1","v0",392,405,88,0.077858067,10.1980390271856,18.6010752377383,27.8028775489157,58.1377674149945,58.5234995535981,64.2806347199528,83.6002392341075,98.0051019080129,102.786185842262,109.384642432107,118.473625756959,121.433109158911,1,3,3,5,6,7
"B107X9I_1_1#v1","B107X9I_1_1","v1",540,308,80,-0.155036681,28.0178514522438,56.0802995712398,65.2150289427215,82.0060973342836,84.5990543682375,87.091905479212,100.404183179786,100.702532242243,101.533245786787,102.489023802552,132.638606747809,132.909743811355,0,1,1,2,3,6
"B107X9I_1_1#v2","B107X9I_1_1","v2",403,390,80,0.457858505,18.6010752377383,24.6981780704569,33.8378486313773,57.0087712549569,62.4339651151519,65,70.5761999543756,97.3087868591526,98.4123975929862,103.16006979447,104.651803615609,106.531685427388,0,2,3,4,7,7
"B107X9I_1_1#v3","B107X9I_1_1","v3",485,224,9,0.195666585,17.2046505340853,42.4264068711929,66.4830805543786,68.4105255059483,100.404183179786,104.995237987254,120.598507453451,121.840059093879,138.050715318683,171.020466611456,185.14858897653,189.235303260253,0,1,2,2,4,4
"B107X9I_1_1#v4","B107X9I_1_1","v4",412,460,356,0.05533946,29.4108823397055,38.0525951808809,58.5234995535981,64.4127316607517,65.8559033041078,66.4830805543786,70.5761999543756,81.6088230524127,82.0365772079747,84.380092438916,109.165012710117,116.726175299288,0,1,2,3,7,10
"B107X9I_1_1#v5","B107X9I_1_1","v5",484,504,345,0.181438201,52.3450093132096,53.0377224247045,57.706152185014,68.264192663504,77.1038261048049,77.6208734813001,84.380092438916,97.1236325515062,107.814655775548,116.760438505514,135.14806694881,139.84634424968,0,0,0,3,4,7
"B107X9I_1_1#v6","B107X9I_1_1","v6",461,286,325,-0.380068862,19.6977156035922,32.5576411921994,55.3624421426656,64.4049687524185,66.4830805543786,67.6756972627545,68.264192663504,82.0060973342836,85.4751425854324,119.079805172834,119.883276565166,125.099960031968,0,1,2,3,7,9
"B107X9I_1_1#v7","B107X9I_1_1","v7",478,452,322,0.21167442,15.8113883008419,20,42.9534631898291,45.2216762183801,46.5295604965274,50.4479930225178,52.3450093132096,66.4830805543786,70.6823881882892,71.5611626512594,94.1116358374457,97.3087868591526,0,2,3,7,10,10
"B107X9I_1_1#v8","B107X9I_1_1","v8",443,278,312,-0.272654633,19.6977156035922,26.8328157299975,60.00833275471,68.4105255059483,71.2179752590594,85.2760224213114,87.1320836431679,101.533245786787,101.833196944808,118.928549978548,133.63382805263,135.911736064256,0,2,2,2,5,7
"B107X9I_1_1#v9","B107X9I_1_1","v9",521,466,289,0.0589671,26.6833281282527,33.8378486313773,43.139309220246,45.2216762183801,53.0377224247045,74.1080292545956,85.146931829632,88.0567998510053,106.705201372754,109.165012710117,115.693560754262,124.338248338956,0,1,3,5,6,8
"B107X9I_1_1#v10","B107X9I_1_1","v10",517,392,284,-0.299700188,34.4383507154451,49.0306026885251,51.6236379965612,52,60.00833275471,63.8905313798532,68,71.5611626512594,74.1080292545956,87.091905479212,92.4175308044962,95.7183368012629,0,0,1,4,9,10
"B107X9I_1_1#v11","B107X9I_1_1","v11",414,422,236,0.818705892,27.8028775489157,30.4138126514911,33.8378486313773,37.2155881318568,38.0525951808809,43.4165866921848,70.6823881882892,77.2787163454466,82.8613299434664,88.5437744847146,107.074740251845,107.280007457121,0,1,6,6,7,10
"B107X9I_1_1#v12","B107X9I_1_1","v12",499,234,176,-0.040944186,17.2046505340853,48.3321838943783,64.4049687524185,71.2179752590594,84.5990543682375,91.7823512446701,110.018180315801,118.595952713404,127.035428129321,159.022011055074,182.148291235466,183.172050269685,0,1,1,2,4,5
"B107X9I_1_1#v13","B107X9I_1_1","v13",436,443,175,-0.136609544,29.4108823397055,30.4138126514911,37.7359245282264,42.9534631898291,54.4518135602479,57.1401785086466,58.1377674149945,62.4339651151519,67.2011904656458,77.6208734813001,88.0567998510053,91.0494371207203,0,1,4,7,9,11
"B107X9I_1_1#v14","B107X9I_1_1","v14",456,411,153,-0.083600969,37.7359245282264,42.2018956920184,43.4165866921848,46.5295604965274,51.6236379965612,57.0087712549569,63.8905313798532,64.2806347199528,65.8559033041078,67.9411510058521,74.3303437365925,74.4311762637136,0,0,3,6,12,15
"B107X9I_1_1#v15","B107X9I_1_1","v15",493,447,142,0.172491003,11.4017542509914,15.8113883008419,33.8378486313773,34.7131099154196,51.6236379965612,57.1401785086466,57.706152185014,60.00833275471,82.0365772079747,82.8613299434664,86.4696478540303,103.077640640442,1,2,4,7,8,11
